wavelength_nm,p_value,q_FDR_BH
400.0,4.626605199545363e-15,4.9166669763044246e-14
401.0,4.441243067624977e-15,4.7691044668580246e-14
402.0,4.844101953520213e-15,5.121264487974205e-14
403.0,5.4212218087806654e-15,5.6729213927597675e-14
404.0,5.969576358146157e-15,6.215025944445568e-14
405.0,6.6165781813490605e-15,6.785300924973461e-14
406.0,1.104860616983147e-14,1.0739664101575519e-13
407.0,1.7145624899696582e-14,1.5756743621172884e-13
408.0,9.94090851604678e-15,9.755408309288012e-14
409.0,7.525793434102054e-15,7.603646469627247e-14
410.0,1.1340862950336184e-14,1.0971749958084675e-13
411.0,1.41889533256008e-14,1.3472936699447797e-13
412.0,1.532969684248065e-14,1.44225725797834e-13
413.0,1.6319950443856188e-14,1.5214644709249565e-13
414.0,1.928272018376851e-14,1.7183389486982752e-13
415.0,1.811237942923181e-14,1.6358407072476694e-13
416.0,1.7091552505570766e-14,1.5756743621172884e-13
417.0,1.5197650229835446e-14,1.4364230701102535e-13
418.0,2.008619366986067e-14,1.775723414520872e-13
419.0,2.6521134564435337e-14,2.1520207940149753e-13
420.0,3.667842177513243e-14,2.883201274850985e-13
421.0,4.621325225925453e-14,3.5104955697678167e-13
422.0,5.0208129144551924e-14,3.7310461186766665e-13
423.0,6.131036280378988e-14,4.381447878417179e-13
424.0,5.711928554672549e-14,4.183987666297642e-13
425.0,4.8439668215303166e-14,3.612718527621338e-13
426.0,3.536164721827069e-14,2.800260171609003e-13
427.0,2.983550019134246e-14,2.399710231076211e-13
428.0,2.654613656195947e-14,2.1520207940149753e-13
429.0,2.555499892021621e-14,2.1049519190909012e-13
430.0,2.5728870271663365e-14,2.1107965170872626e-13
431.0,2.4317108858754654e-14,2.0368763677032955e-13
432.0,2.287068320973551e-14,1.946380550338902e-13
433.0,2.1285654219629958e-14,1.8471286092326222e-13
434.0,1.88226403397764e-14,1.6858181369817204e-13
435.0,1.7048251563426493e-14,1.5756743621172884e-13
436.0,1.7875602182433555e-14,1.629460447829832e-13
437.0,2.2566299431110354e-14,1.928478338883639e-13
438.0,1.9353305565543713e-14,1.7183389486982752e-13
439.0,1.7208730234728063e-14,1.5756743621172884e-13
440.0,1.8184869880666438e-14,1.6358407072476694e-13
441.0,2.1351733745262007e-14,1.8471286092326222e-13
442.0,2.1955533312443667e-14,1.884133842000919e-13
443.0,2.4588161874626364e-14,2.050013008327588e-13
444.0,2.605332424799034e-14,2.1288991248059038e-13
445.0,2.3508018869713452e-14,1.9923531694951358e-13
446.0,2.5122997155657603e-14,2.085882951123899e-13
447.0,2.5221792875608337e-14,2.085882951123899e-13
448.0,2.8086054412322557e-14,2.2678936062863609e-13
449.0,3.201770620934414e-14,2.565168571693939e-13
450.0,4.1253487441264315e-14,3.2049584371982237e-13
451.0,4.3438995243395276e-14,3.324379822544915e-13
452.0,4.817051335989235e-14,3.605756310260555e-13
453.0,4.293710386071046e-14,3.298277154244088e-13
454.0,4.201217703927423e-14,3.2393599664493024e-13
455.0,4.576767898976247e-14,3.4895728478811457e-13
456.0,4.680606884596649e-14,3.5424076458700097e-13
457.0,5.2755128619502863e-14,3.906164938577631e-13
458.0,5.3934566468304684e-14,3.964867233924477e-13
459.0,6.075656388524405e-14,4.3570528856166276e-13
460.0,6.658191199150479e-14,4.644881003216882e-13
461.0,6.697393784026458e-14,4.656391407131616e-13
462.0,7.004052726987697e-14,4.77252895117999e-13
463.0,6.84920865154988e-14,4.69823643623037e-13
464.0,6.739376814943056e-14,4.669750624137908e-13
465.0,8.245885359363302e-14,5.491010023394199e-13
466.0,7.70921206709745e-14,5.201182220268707e-13
467.0,7.562533559938107e-14,5.119061495522462e-13
468.0,6.313010226979717e-14,4.4648220605294486e-13
469.0,6.794532557942339e-14,4.676371233671053e-13
470.0,6.260968821123774e-14,4.4433380803200206e-13
471.0,6.492561480302525e-14,4.560357395924821e-13
472.0,6.052469724147122e-14,4.3556545277985074e-13
473.0,5.823713063097785e-14,4.2356154228416875e-13
474.0,5.735704525661598e-14,4.1864519509366326e-13
475.0,5.993958199807718e-14,4.3440311900373253e-13
476.0,6.339469549330593e-14,4.468127850748126e-13
477.0,7.964883896150604e-14,5.338554533008135e-13
478.0,8.39292660599034e-14,5.57083898669456e-13
479.0,8.238209603969972e-14,5.491010023394199e-13
480.0,7.478842203892098e-14,5.079173960325395e-13
481.0,6.91632638136659e-14,4.728461802727625e-13
482.0,6.772810665703659e-14,4.676371233671053e-13
483.0,6.594791237177959e-14,4.616353866024571e-13
484.0,6.022704617732077e-14,4.3494954827353843e-13
485.0,5.376470013108517e-14,3.964867233924477e-13
486.0,4.7620956599765514e-14,3.577676995828537e-13
487.0,4.1632924962562194e-14,3.2222312867250966e-13
488.0,3.669017712023925e-14,2.883201274850985e-13
489.0,3.224613721439875e-14,2.573417409600461e-13
490.0,2.403385840799886e-14,2.0285367734487929e-13
491.0,2.1375398035801248e-14,1.8471286092326222e-13
492.0,2.0450345966078954e-14,1.7924640844627324e-13
493.0,1.8014948703701593e-14,1.6348964509421223e-13
494.0,1.3977166312314811e-14,1.3333566561189619e-13
495.0,1.150837912217547e-14,1.1081542525625301e-13
496.0,1.0313733791646473e-14,1.0073080003174722e-13
497.0,9.74677027192998e-15,9.610877801792495e-14
498.0,9.582011949180305e-15,9.540148790179031e-14
499.0,8.37588345244282e-15,8.37996924924889e-14
