data_coleta,turno,analysis,rank,wavelength_nm,p_value,q_FDR_BH
D02M,MANHA,gen_cond,1,521.0,4.1851433796354565e-27,2.7984717507812795e-25
D02M,MANHA,gen_cond,2,710.0,2.0219824415855853e-25,4.937007128204804e-24
D02M,MANHA,gen_cond,3,630.0,8.43844932048159e-21,1.1773645956671935e-19
D02M,MANHA,gen_cond,4,401.0,4.441243067624977e-15,4.7691044668580246e-14
D02M,MANHA,gen_cond,5,730.0,2.1434256898945104e-14,1.8471286092326222e-13
D02M,MANHA,cond,1,400.0,1.2163683693201977e-14,3.1603615371730914e-12
D02M,MANHA,cond,2,649.0,1.0350024631728897e-09,1.6847540094980926e-08
D02M,MANHA,cond,3,510.0,1.4399658075459816e-05,0.00017475561368501824
D02M,MANHA,cond,4,1595.0,2.5491463876451283e-05,0.00029538413791300327
D02M,MANHA,gen,1,522.0,1.0495719788968856e-28,7.613600663222552e-27
D02M,MANHA,gen,2,710.0,1.3813617236059697e-26,3.4977443149578314e-25
D02M,MANHA,gen,3,630.0,4.687212741289141e-19,6.366538630717899e-18
D02M,MANHA,gen,4,730.0,3.7430657183974747e-13,4.38687302196184e-12
D02M,MANHA,gen,5,679.0,5.220782146231245e-08,5.248933422509942e-07
D02T,TARDE,gen_cond,1,528.0,1.835038394028832e-23,1.0004076412120175e-21
D02T,TARDE,gen_cond,2,1510.0,6.31783205910782e-17,1.10751056010514e-15
D02T,TARDE,gen_cond,3,720.0,1.2100969753657122e-14,7.299732048456105e-14
D02T,TARDE,gen_cond,4,620.0,4.417088111966115e-14,1.668406577834715e-13
D02T,TARDE,gen_cond,5,1389.0,1.5873724572432829e-12,2.7802740476566807e-12
D02T,TARDE,cond,1,1520.0,1.5667698746162163e-17,3.6933804373783e-15
D02T,TARDE,cond,2,1580.0,3.103364516237459e-11,1.0503301357760772e-10
D02T,TARDE,cond,3,739.0,1.0668281850869339e-10,2.4447649247075995e-10
D02T,TARDE,cond,4,1919.0,1.1622893297643496e-10,2.634094381598543e-10
D02T,TARDE,cond,5,1340.0,4.4779916455306046e-10,8.25189655434256e-10
D02T,TARDE,gen,1,550.0,7.689428270432604e-24,7.399571712781317e-22
D02T,TARDE,gen,2,610.0,7.15087221190009e-15,1.1827773311779907e-13
D02T,TARDE,gen,3,720.0,7.298037905021975e-15,1.1974620594560056e-13
D02T,TARDE,gen,4,679.0,3.809626885359209e-08,3.774659295590211e-07
D02T,TARDE,gen,5,2189.0,2.028233535825147e-07,1.8571013312399e-06
D03M,MANHA,gen_cond,1,400.0,6.531778183055284e-29,1.728522632715259e-26
D03M,MANHA,gen_cond,2,550.0,1.1138382952444314e-25,1.6087903827791048e-24
D03M,MANHA,gen_cond,3,720.0,4.601773293859065e-25,4.790983261779158e-24
D03M,MANHA,gen_cond,4,1527.0,8.002740674575226e-23,5.507926551528117e-22
D03M,MANHA,gen_cond,5,741.0,1.8016607420682094e-18,8.03305691735195e-18
D03M,MANHA,cond,1,400.0,1.2603563747672772e-30,3.1565425930535725e-28
D03M,MANHA,cond,2,1541.0,1.34723540737144e-22,1.918874875360294e-21
D03M,MANHA,cond,3,629.0,1.337818623839713e-16,9.42909277489777e-16
D03M,MANHA,cond,4,1590.0,3.3978693563175415e-15,2.1509352005578018e-14
D03M,MANHA,cond,5,1353.0,1.627575232748186e-09,4.974898364182607e-09
D03M,MANHA,gen,1,707.0,2.244345017231987e-27,5.484888861730042e-25
D03M,MANHA,gen,2,730.0,5.207931835389966e-24,3.6832648946154555e-22
