analysis,wavelength_nm,count
cond,400.0,5
cond,579.0,2
cond,406.0,1
cond,411.0,1
cond,415.0,1
cond,432.0,1
cond,510.0,1
cond,530.0,1
cond,629.0,1
cond,649.0,1
cond,728.0,1
cond,739.0,1
cond,1347.0,1
cond,1383.0,1
cond,1510.0,1
cond,1520.0,1
cond,1530.0,1
cond,1536.0,1
cond,1539.0,1
cond,1541.0,1
cond,1580.0,1
cond,1600.0,1
cond,1900.0,1
cond,1906.0,1
cond,1907.0,1
gen,730.0,3
gen,740.0,3
gen,550.0,2
gen,707.0,2
gen,721.0,2
gen,522.0,1
gen,540.0,1
gen,551.0,1
gen,552.0,1
gen,580.0,1
gen,610.0,1
gen,630.0,1
gen,704.0,1
gen,705.0,1
gen,706.0,1
gen,710.0,1
gen,712.0,1
gen,720.0,1
gen,980.0,1
gen,1375.0,1
gen,1381.0,1
gen,1391.0,1
gen,1730.0,1
gen_cond,400.0,4
gen_cond,550.0,2
gen_cond,720.0,2
gen_cond,401.0,1
gen_cond,417.0,1
gen_cond,520.0,1
gen_cond,521.0,1
gen_cond,528.0,1
gen_cond,530.0,1
gen_cond,630.0,1
gen_cond,706.0,1
gen_cond,707.0,1
gen_cond,710.0,1
gen_cond,717.0,1
gen_cond,719.0,1
gen_cond,723.0,1
gen_cond,730.0,1
gen_cond,740.0,1
gen_cond,1374.0,1
gen_cond,1383.0,1
gen_cond,1510.0,1
gen_cond,1521.0,1
gen_cond,1522.0,1
gen_cond,1526.0,1
gen_cond,1590.0,1
