analysis,family_nm,count
cond,400,5
cond,1540,3
cond,410,2
cond,580,2
cond,1910,2
cond,420,1
cond,430,1
cond,510,1
cond,530,1
cond,630,1
cond,650,1
cond,730,1
cond,740,1
cond,1350,1
cond,1380,1
cond,1510,1
cond,1520,1
cond,1530,1
cond,1580,1
cond,1600,1
cond,1900,1
gen,710,5
gen,550,4
gen,720,3
gen,730,3
gen,740,3
gen,700,2
gen,1380,2
gen,520,1
gen,540,1
gen,580,1
gen,610,1
gen,630,1
gen,980,1
gen,1390,1
gen,1730,1
gen_cond,400,5
gen_cond,720,5
gen_cond,710,3
gen_cond,520,2
gen_cond,530,2
gen_cond,550,2
gen_cond,1520,2
gen_cond,420,1
gen_cond,630,1
gen_cond,730,1
gen_cond,740,1
gen_cond,1370,1
gen_cond,1380,1
gen_cond,1510,1
gen_cond,1530,1
gen_cond,1590,1
