wavelength_nm,p_value,q_FDR_BH
400.0,5.358665413899604e-08,2.53825006094875e-07
401.0,3.8255836604584036e-08,2.06822313822753e-07
402.0,3.4502823996881177e-08,2.0571305819070725e-07
403.0,3.501622628724308e-08,2.0637436814694124e-07
404.0,3.157232987815451e-08,1.9742331884175275e-07
405.0,3.157232987815451e-08,1.9742331884175275e-07
406.0,2.5263169161516756e-08,1.6768530728243e-07
407.0,3.157232987815451e-08,1.9742331884175275e-07
408.0,3.553703490515275e-08,2.06822313822753e-07
409.0,5.129225187217501e-08,2.457953471725022e-07
410.0,7.480138308889538e-08,3.2435018333049557e-07
411.0,7.69900138005698e-08,3.31040918878341e-07
412.0,8.038966402234368e-08,3.4065950601203903e-07
413.0,9.018145139037215e-08,3.7215725714618367e-07
414.0,7.588805732488194e-08,3.2698824700280017e-07
415.0,7.924060569560745e-08,3.378845785482139e-07
416.0,7.588805732488194e-08,3.2698824700280017e-07
417.0,7.810745989596291e-08,3.337466671804582e-07
418.0,8.393448418727518e-08,3.5132576952673756e-07
419.0,8.393448418727518e-08,3.5132576952673756e-07
420.0,7.588805732488194e-08,3.2698824700280017e-07
421.0,6.56760945765065e-08,2.921945118794248e-07
422.0,6.760569896714638e-08,2.9948010492789896e-07
423.0,6.959017235693119e-08,3.0760655927600404e-07
424.0,7.060345374609521e-08,3.100806930047993e-07
425.0,7.267306513926363e-08,3.17809075907526e-07
426.0,6.37998927360067e-08,2.898779887428354e-07
427.0,6.473140850522605e-08,2.898779887428354e-07
428.0,8.155485047143175e-08,3.4488453261217843e-07
429.0,9.968854885141044e-08,4.009043405769467e-07
430.0,1.0405369227289886e-07,4.088393158078842e-07
431.0,1.2343845451803937e-07,4.6710750962453647e-07
432.0,1.5478814501410055e-07,5.659010435363997e-07
433.0,1.5921077029416977e-07,5.779491856165349e-07
434.0,1.7080854350689926e-07,6.124621026794587e-07
435.0,1.9377487757415173e-07,6.770566846756136e-07
436.0,1.9650373548667902e-07,6.819444356737371e-07
437.0,2.0779532184647376e-07,7.091317888637566e-07
438.0,2.4556021751776395e-07,8.071218046938042e-07
439.0,2.489906699115384e-07,8.157825303331713e-07
440.0,2.4556021751776395e-07,8.071218046938042e-07
441.0,2.8202064715787275e-07,9.109044839697591e-07
442.0,3.6621194684921677e-07,1.1414904300725588e-06
443.0,4.680241836405077e-07,1.428448810486133e-06
444.0,5.732529948512865e-07,1.7239617191202178e-06
445.0,5.889004462896964e-07,1.7658403733043384e-06
446.0,7.011108342397232e-07,2.0571935923114053e-06
447.0,7.801190461394643e-07,2.2567336581552063e-06
448.0,8.337823671397692e-07,2.398439880790556e-06
449.0,8.011726356985408e-07,2.3111182500952282e-06
450.0,8.22772950467711e-07,2.370094552541117e-06
451.0,9.774718516428195e-07,2.776724055013051e-06
452.0,1.0862058933637237e-06,3.068606456320933e-06
453.0,1.4113657002329544e-06,3.927694777717489e-06
454.0,1.6709199609863533e-06,4.563324687061266e-06
455.0,1.9011986767263432e-06,5.03143030447191e-06
456.0,2.304652198624657e-06,5.908552074223964e-06
457.0,2.754469535600438e-06,6.82296741245954e-06
458.0,3.048152381957712e-06,7.3205626878164725e-06
459.0,3.5456511978463533e-06,8.301518957514693e-06
460.0,3.6816911304294513e-06,8.571110679353921e-06
461.0,3.968933860892285e-06,9.044759276322305e-06
462.0,4.172232035865789e-06,9.382947264869225e-06
463.0,4.224594704444043e-06,9.469555998704627e-06
464.0,4.331215409719369e-06,9.624401739257232e-06
465.0,4.843747598675826e-06,1.0316226713275307e-05
466.0,5.41408261504667e-06,1.0994340043030417e-05
467.0,5.758159191755469e-06,1.1366683832810843e-05
468.0,6.275200874909562e-06,1.1721709466702651e-05
469.0,7.17847418485262e-06,1.2605351500969799e-05
470.0,7.722279819529821e-06,1.3198663258213054e-05
471.0,8.612428034571927e-06,1.4396161286802789e-05
472.0,9.038788865966383e-06,1.4866524429909422e-05
473.0,9.952781287630536e-06,1.6136880965162236e-05
474.0,1.05681610948491e-05,1.7094083916037462e-05
475.0,1.1909634726359428e-05,1.9068431556411542e-05
476.0,1.35725880464066e-05,2.1529294727904053e-05
477.0,1.5274656630773917e-05,2.4135840331061096e-05
478.0,1.6391620741014643e-05,2.5821209016759625e-05
479.0,1.842813242784818e-05,2.891820934163475e-05
480.0,2.0946067124622357e-05,3.2719256414775666e-05
481.0,2.3789437200925042e-05,3.7019829817220986e-05
482.0,2.4911647837939458e-05,3.864885757610728e-05
483.0,2.9584998003815477e-05,4.56575100871524e-05
484.0,3.315130687294367e-05,5.104604384114675e-05
485.0,3.7544747239703685e-05,5.759482168184911e-05
486.0,4.751079341600142e-05,7.23419727514617e-05
487.0,6.061516353976193e-05,9.181809484494218e-05
488.0,8.22747128061498e-05,0.00012344216237411356
489.0,9.567280235536208e-05,0.00014291691014628376
490.0,0.0001196870696598546,0.00017698498909326732
491.0,0.00015731183955390663,0.00022996905411622415
492.0,0.00019758019494472398,0.00028618430779069835
493.0,0.00025502998316998367,0.0003639989530143608
494.0,0.00037304472842481916,0.0005201323847717907
495.0,0.0005201840974398278,0.0007141215420676619
496.0,0.0006932894373002662,0.0009373346314455149
497.0,0.0009102404420599309,0.0012154317361099728
498.0,0.001177947493736356,0.001556681900549785
499.0,0.0017957297675360836,0.002356392676402116
500.0,0.0025868132426533617,0.003364333519773015
501.0,0.0034480484746556377,0.004431044750325008
502.0,0.004489227329290399,0.005718885249922117
503.0,0.005670624516837049,0.007188164946868224
504.0,0.007880394540371297,0.009873359317227567
505.0,0.00911259125929275,0.011361656336054364
506.0,0.011839524666214773,0.014663565875849336
507.0,0.016746989567066283,0.020494078521511302
508.0,0.02383690268517427,0.028809362054974915
509.0,0.03275511815909311,0.03914961966451047
510.0,0.04692021493243763,0.05527476210593313
511.0,0.05362212449608097,0.06280923891574076
512.0,0.06668778341546922,0.07766987154180997
