wavelength_nm,p_value,q_FDR_BH
400.0,3.963761694857789e-24,1.94164811026957e-22
401.0,5.033177328923721e-24,1.94164811026957e-22
402.0,5.595914437576628e-24,1.94164811026957e-22
403.0,6.220903349031411e-24,1.94164811026957e-22
404.0,6.058459527929459e-24,1.94164811026957e-22
405.0,6.558842944633961e-24,1.94164811026957e-22
406.0,6.914955636815782e-24,1.94164811026957e-22
407.0,6.220903349031411e-24,1.94164811026957e-22
408.0,5.307163340603672e-24,1.94164811026957e-22
409.0,5.449644985320178e-24,1.94164811026957e-22
410.0,5.033177328923721e-24,1.94164811026957e-22
411.0,4.0704762532682985e-24,1.94164811026957e-22
412.0,4.180035898378739e-24,1.94164811026957e-22
413.0,4.526546144568869e-24,1.94164811026957e-22
414.0,5.307163340603672e-24,1.94164811026957e-22
415.0,6.3876600374978105e-24,1.94164811026957e-22
416.0,7.100127170659081e-24,1.94164811026957e-22
417.0,7.100127170659081e-24,1.94164811026957e-22
418.0,8.318893158020743e-24,2.0311964127500648e-22
419.0,7.485328730054095e-24,1.9682575929924295e-22
420.0,8.318893158020743e-24,2.0311964127500648e-22
421.0,8.318893158020743e-24,2.0311964127500648e-22
422.0,7.891217569011912e-24,2.0231109042554288e-22
423.0,7.100127170659081e-24,1.94164811026957e-22
424.0,6.914955636815782e-24,1.94164811026957e-22
425.0,7.100127170659081e-24,1.94164811026957e-22
426.0,6.220903349031411e-24,1.94164811026957e-22
427.0,4.773208415879644e-24,1.94164811026957e-22
428.0,4.526546144568869e-24,1.94164811026957e-22
429.0,4.773208415879644e-24,1.94164811026957e-22
430.0,5.168372350367982e-24,1.94164811026957e-22
431.0,5.307163340603672e-24,1.94164811026957e-22
432.0,4.773208415879644e-24,1.94164811026957e-22
433.0,5.033177328923721e-24,1.94164811026957e-22
434.0,4.901485995924263e-24,1.94164811026957e-22
435.0,4.648256939176888e-24,1.94164811026957e-22
436.0,4.292515723389872e-24,1.94164811026957e-22
437.0,4.292515723389872e-24,1.94164811026957e-22
438.0,4.180035898378739e-24,1.94164811026957e-22
439.0,4.0704762532682985e-24,1.94164811026957e-22
440.0,3.859819042105404e-24,1.94164811026957e-22
441.0,3.1198786244396728e-24,1.94164811026957e-22
442.0,3.4703681266115844e-24,1.94164811026957e-22
443.0,3.6599660022017605e-24,1.94164811026957e-22
444.0,3.758576977927886e-24,1.94164811026957e-22
445.0,3.6599660022017605e-24,1.94164811026957e-22
446.0,3.6599660022017605e-24,1.94164811026957e-22
447.0,3.6599660022017605e-24,1.94164811026957e-22
448.0,3.859819042105404e-24,1.94164811026957e-22
449.0,3.758576977927886e-24,1.94164811026957e-22
450.0,3.2040664544180287e-24,1.94164811026957e-22
451.0,3.1198786244396728e-24,1.94164811026957e-22
452.0,3.4703681266115844e-24,1.94164811026957e-22
453.0,3.4703681266115844e-24,1.94164811026957e-22
454.0,3.37925090457101e-24,1.94164811026957e-22
455.0,3.2040664544180287e-24,1.94164811026957e-22
456.0,3.2905040405862565e-24,1.94164811026957e-22
457.0,3.2040664544180287e-24,1.94164811026957e-22
458.0,3.2905040405862565e-24,1.94164811026957e-22
459.0,3.758576977927886e-24,1.94164811026957e-22
460.0,4.901485995924263e-24,1.94164811026957e-22
461.0,5.595914437576628e-24,1.94164811026957e-22
462.0,6.3876600374978105e-24,1.94164811026957e-22
463.0,6.558842944633961e-24,1.94164811026957e-22
464.0,6.558842944633961e-24,1.94164811026957e-22
465.0,6.558842944633961e-24,1.94164811026957e-22
466.0,6.220903349031411e-24,1.94164811026957e-22
467.0,5.449644985320178e-24,1.94164811026957e-22
468.0,5.595914437576628e-24,1.94164811026957e-22
469.0,5.595914437576628e-24,1.94164811026957e-22
470.0,5.746071381411808e-24,1.94164811026957e-22
471.0,5.746071381411808e-24,1.94164811026957e-22
472.0,5.595914437576628e-24,1.94164811026957e-22
473.0,6.220903349031411e-24,1.94164811026957e-22
474.0,6.558842944633961e-24,1.94164811026957e-22
475.0,6.3876600374978105e-24,1.94164811026957e-22
476.0,6.558842944633961e-24,1.94164811026957e-22
477.0,6.914955636815782e-24,1.94164811026957e-22
478.0,7.100127170659081e-24,1.94164811026957e-22
479.0,7.100127170659081e-24,1.94164811026957e-22
480.0,7.290208578320002e-24,1.9418464667706915e-22
481.0,7.290208578320002e-24,1.9418464667706915e-22
482.0,7.891217569011912e-24,2.0231109042554288e-22
483.0,8.318893158020743e-24,2.0311964127500648e-22
484.0,8.769512776030141e-24,2.1160318474868023e-22
485.0,9.491144240042773e-24,2.237509981187095e-22
486.0,9.244294516393227e-24,2.2046567503630824e-22
487.0,1.054553819675774e-23,2.457829413812514e-22
488.0,1.1411714671094623e-23,2.629823234878098e-22
489.0,1.371642757161013e-23,3.0724164709341946e-22
490.0,1.4840075055824932e-23,3.1705202020309307e-22
491.0,1.8301862311878595e-23,3.6443805438507765e-22
492.0,2.2561539368532804e-23,4.245295160078971e-22
493.0,2.853509627500958e-23,5.179246235402182e-22
494.0,3.250501235377164e-23,5.797198290224837e-22
495.0,3.899669896891299e-23,6.836087998738508e-22
496.0,5.324250596090064e-23,9.100031643817266e-22
497.0,8.478538838951955e-23,1.4023776740879402e-21
498.0,1.31309055610767e-22,2.1205895516353002e-21
499.0,1.8323267767264024e-22,2.9132575341595746e-21
500.0,2.4269757822034154e-22,3.799791854426874e-21
501.0,3.4666507971448233e-22,5.2280152830470824e-21
502.0,4.46853688469023e-22,6.641281993115697e-21
503.0,6.69839049570295e-22,9.743545323891312e-21
504.0,7.599014913283375e-22,1.0823319157739028e-20
505.0,8.619292689150948e-22,1.2108335140718216e-20
506.0,1.0278976924796814e-21,1.434162018554984e-20
507.0,1.6550742272506395e-21,2.263038160060708e-20
508.0,2.3473421513519834e-21,3.086153046424947e-20
509.0,3.76379508295361e-21,4.5949664971058653e-20
510.0,5.065143093919495e-21,5.645982872624394e-20
511.0,6.324731293314308e-21,6.863504699781824e-20
512.0,8.291001368714507e-21,8.675940717976251e-20
513.0,1.1129088743713626e-20,1.0422721923907145e-19
514.0,1.7702693342641977e-20,1.488041969088471e-19
515.0,2.313477142229879e-20,1.9132829107715652e-19
516.0,3.24849281839631e-20,2.58242588005071e-19
517.0,3.492989748719606e-20,2.7136825661454207e-19
518.0,5.01629583734672e-20,3.6613604136648124e-19
519.0,9.139256577247941e-20,6.419388780799838e-19
520.0,2.85791249511155e-19,1.884751938094466e-18
521.0,6.653091700783828e-19,4.2246102409621144e-18
522.0,1.336500673961645e-18,8.256514705708837e-18
523.0,2.993043136057718e-18,1.794950722822918e-17
524.0,1.0933497666814319e-17,6.334633817693832e-17
525.0,4.176994969767369e-17,2.347127858354212e-16
526.0,2.620130134265918e-16,1.4179121122373081e-15
527.0,1.0729824470900184e-15,5.17808705642736e-15
528.0,3.616277162479559e-15,1.6373034128577427e-14
529.0,1.0332914516086923e-14,4.369651066493666e-14
530.0,2.060759843821402e-14,8.453236879355392e-14
531.0,4.330087359905966e-14,1.717796745680297e-13
532.0,1.03475054602747e-13,3.9742947001916496e-13
533.0,2.2591151107760125e-13,8.393922268481163e-13
534.0,4.350624053717362e-13,1.584925387952808e-12
535.0,7.144152547452406e-13,2.557182700667519e-12
536.0,1.2591284511464348e-12,4.4069495790125216e-12
537.0,2.466007899598285e-12,8.429637003460138e-12
538.0,4.3690445478891485e-12,1.461812458029469e-11
539.0,6.651071497732548e-12,2.200217361588622e-11
540.0,1.0650517195007215e-11,3.45636246312655e-11
541.0,1.369841032526589e-11,4.396782406435108e-11
542.0,1.8896033188279692e-11,5.971612337313043e-11
543.0,2.7427000973475565e-11,8.536081790075628e-11
544.0,4.3326858309371555e-11,1.3243425691880932e-10
545.0,5.629103499560336e-11,1.690379396427269e-10
546.0,6.581706444745023e-11,1.9620755695017503e-10
547.0,8.679095494481084e-11,2.550261441143367e-10
548.0,9.960176578683047e-11,2.897634349344529e-10
549.0,1.1425521529586544e-10,3.295885324498172e-10
550.0,1.2879035249805695e-10,3.6840866523502757e-10
551.0,1.451276332616369e-10,4.134121886383573e-10
552.0,1.662855039434098e-10,4.697680008098257e-10
553.0,1.7497306033219227e-10,4.922767445011335e-10
554.0,1.6913345615774191e-10,4.771564217049913e-10
555.0,1.5273399845717884e-10,4.326760094415384e-10
556.0,1.2879035249805695e-10,3.6840866523502757e-10
557.0,1.0668281850869339e-10,3.081781137483523e-10
558.0,1.0668281850869339e-10,3.081781137483523e-10
559.0,7.559590971242537e-11,2.240566630349486e-10
560.0,5.436494332833492e-11,1.637334783647796e-10
561.0,3.7658473369177396e-11,1.1579839412321266e-10
562.0,1.7284559549069975e-11,5.496221958936824e-11
563.0,9.557749797013697e-12,3.1165254107591564e-11
564.0,3.771810736590418e-12,1.2702764894494167e-11
565.0,1.576857704167834e-12,5.4815850021156394e-12
566.0,5.472785334898585e-13,1.9692425827854385e-12
567.0,2.2157307078068035e-13,8.24766548405037e-13
568.0,9.378289616485056e-14,3.6155774442501597e-13
569.0,3.690694424982384e-14,1.4755583363818458e-13
570.0,9.718726788805164e-15,4.1184108768263204e-14
571.0,4.448949912630355e-15,1.9879730437483348e-14
572.0,1.77875669835989e-15,8.348352376055226e-15
573.0,8.1468408728836845e-16,4.006995354984277e-15
574.0,3.777739696860295e-16,1.9370360295651163e-15
575.0,2.2524073698042047e-16,1.225381303837778e-15
576.0,1.0993206244267394e-16,6.061039249191512e-16
577.0,4.876385047845198e-17,2.7251950226513627e-16
578.0,2.928559591026463e-17,1.6592474367942752e-16
579.0,1.752589678559366e-17,1.0012705935167855e-16
580.0,8.923705581685805e-18,5.199579587510678e-17
581.0,6.499169026129955e-18,3.81942569415259e-17
582.0,3.762728145266479e-18,2.2369146162149414e-17
583.0,2.7307126038475013e-18,1.642431539733497e-17
584.0,2.120730683844613e-18,1.2906880215327302e-17
585.0,1.5003991740866375e-18,9.241197315470551e-18
586.0,1.163023503621248e-18,7.250338011936717e-18
587.0,9.007823726046512e-19,5.667192166294907e-18
588.0,6.202769296554795e-19,3.950894356283815e-18
589.0,5.143876636832465e-19,3.2969034319198078e-18
590.0,4.1649717590723215e-19,2.7032775562839655e-18
591.0,3.3705363865063836e-19,2.2015828435428637e-18
592.0,2.726160418025542e-19,1.8036629088291568e-18
593.0,2.422461743763446e-19,1.618393822950758e-18
594.0,1.9118365021563058e-19,1.2856316937451092e-18
595.0,1.6581660442470696e-19,1.1261253499174635e-18
596.0,1.5441075599637773e-19,1.0521477094636902e-18
597.0,1.3387466771440076e-19,9.183175367298861e-19
598.0,1.2764844200428418e-19,8.785468273516338e-19
599.0,1.1063622151271492e-19,7.692030180426384e-19
600.0,8.305162064925592e-20,5.853569551602196e-19
601.0,6.534892128871481e-20,4.67005705794962e-19
602.0,5.523180802698858e-20,3.988747826174422e-19
603.0,4.7803830471724477e-20,3.526822168975068e-19
604.0,4.1364885686014855e-20,3.0963277570079003e-19
605.0,3.4095343905865166e-20,2.679293116893849e-19
606.0,3.0209283983942313e-20,2.420282869182253e-19
607.0,2.313477142229879e-20,1.9132829107715652e-19
608.0,1.7702693342641977e-20,1.488041969088471e-19
609.0,1.5670883581548556e-20,1.339207592739837e-19
610.0,1.4924330305363098e-20,1.2861261116092318e-19
611.0,1.421296306462942e-20,1.2299910230191957e-19
612.0,1.3208319122176176e-20,1.1577035264779204e-19
613.0,1.227395125940681e-20,1.1188388459130386e-19
614.0,1.2889301974585284e-20,1.1444137813798448e-19
615.0,1.3208319122176176e-20,1.1577035264779204e-19
616.0,1.2889301974585284e-20,1.1444137813798448e-19
617.0,1.3208319122176176e-20,1.1577035264779204e-19
618.0,1.2889301974585284e-20,1.1444137813798448e-19
619.0,1.2889301974585284e-20,1.1444137813798448e-19
620.0,1.2889301974585284e-20,1.1444137813798448e-19
621.0,1.2577906025965687e-20,1.1414727990821074e-19
622.0,1.227395125940681e-20,1.1188388459130386e-19
623.0,1.227395125940681e-20,1.1188388459130386e-19
624.0,1.1687666120496839e-20,1.0797929375287845e-19
625.0,1.1404996341427514e-20,1.0584455880664177e-19
626.0,1.0859783375633899e-20,1.0217163166708774e-19
627.0,1.0859783375633899e-20,1.0217163166708774e-19
628.0,1.0859783375633899e-20,1.0217163166708774e-19
629.0,1.0859783375633899e-20,1.0217163166708774e-19
630.0,1.0859783375633899e-20,1.0217163166708774e-19
631.0,1.0859783375633899e-20,1.0217163166708774e-19
