analysis,family_nm,count
cond,400,5
cond,1540,3
cond,410,2
cond,530,2
cond,580,2
cond,740,2
cond,1350,2
cond,1380,2
cond,1530,2
cond,1580,2
cond,1590,2
cond,1600,2
cond,1910,2
cond,420,1
cond,430,1
cond,510,1
cond,590,1
cond,630,1
cond,650,1
cond,730,1
cond,1340,1
cond,1370,1
cond,1390,1
cond,1510,1
cond,1520,1
cond,1610,1
cond,1630,1
cond,1640,1
cond,1900,1
cond,1920,1
cond,1940,1
cond,1960,1
cond,1990,1
gen,550,5
gen,710,5
gen,1380,5
gen,730,4
gen,740,4
gen,720,3
gen,1390,3
gen,520,2
gen,580,2
gen,680,2
gen,700,2
gen,1360,2
gen,400,1
gen,540,1
gen,610,1
gen,630,1
gen,980,1
gen,1370,1
gen,1730,1
gen,1840,1
gen,2190,1
gen_cond,400,6
gen_cond,720,5
gen_cond,530,4
gen_cond,710,3
gen_cond,730,3
gen_cond,1390,3
gen_cond,520,2
gen_cond,550,2
gen_cond,740,2
gen_cond,1370,2
gen_cond,1520,2
gen_cond,1530,2
gen_cond,420,1
gen_cond,570,1
gen_cond,620,1
gen_cond,630,1
gen_cond,1360,1
gen_cond,1380,1
gen_cond,1490,1
gen_cond,1510,1
gen_cond,1590,1
gen_cond,1600,1
gen_cond,1730,1
gen_cond,1900,1
gen_cond,1910,1
gen_cond,1970,1
