wavelength_nm,p_value,q_FDR_BH
400.0,0.010340429684068014,0.011329178035268962
401.0,0.013019051645254642,0.014090804709455024
402.0,0.014794454357168021,0.015886610411807126
403.0,0.018284526385268417,0.01954224263480225
404.0,0.02028413289532008,0.021634298787468267
405.0,0.02100610359568063,0.022381048558307002
406.0,0.022245321031006134,0.023689072395946822
407.0,0.016895027802493124,0.01809488356287906
408.0,0.013240609622245594,0.014300416184952982
409.0,0.011089396379576188,0.012104498123741756
410.0,0.011145085973112982,0.012158814537688684
411.0,0.010782965201994718,0.011788838821583778
412.0,0.012173650963001308,0.013217659145111532
413.0,0.01444348048443882,0.015517851479090634
414.0,0.017652879233438862,0.018886831146470058
415.0,0.017961382364498103,0.01920687968174432
416.0,0.015207495503071565,0.016313061337238376
417.0,0.011485843317431452,0.012510602572518273
418.0,0.0107975427874987,0.011798487084262033
419.0,0.009853735360115808,0.010848100495758198
420.0,0.009021639034042767,0.009980249006915702
421.0,0.008388438701237715,0.009299831230399219
422.0,0.0092474583946918,0.010213536439156103
423.0,0.009993221726174445,0.010989864750876025
424.0,0.010691366917372403,0.011694929892016424
425.0,0.010082307113293656,0.011075957091250824
426.0,0.01087606364602548,0.011877958752927721
427.0,0.013590862956879089,0.014640157523402843
428.0,0.014120824744935038,0.01517914651565082
429.0,0.01372604205248636,0.014762512978316478
430.0,0.013083041478802212,0.014152593920370958
431.0,0.01213908230284552,0.013187106887254324
432.0,0.012059189799726202,0.013121166195882461
433.0,0.01190730330998134,0.012962780832681384
434.0,0.01208778025244493,0.013145300794148754
435.0,0.012544142477068866,0.01359832781208681
436.0,0.012684112205760692,0.013735540725456801
437.0,0.013276837086203596,0.014331996244107146
438.0,0.013662017701382596,0.014701363224310444
439.0,0.013662017701382596,0.014701363224310444
440.0,0.013202142744701549,0.014273903410323077
441.0,0.013469277167517479,0.014524441362028575
442.0,0.0126001863287589,0.013651865906119652
443.0,0.012211159952799557,0.013251369874704705
444.0,0.011273380015789588,0.01228570797682489
445.0,0.01052156575797887,0.01151533157396727
446.0,0.010125251382396212,0.011111230917760638
447.0,0.010125251382396212,0.011111230917760638
448.0,0.010047066079407915,0.011043157839692192
449.0,0.009420643827557742,0.010399214472723859
450.0,0.009724557276009984,0.010711636398010997
451.0,0.009966054860049313,0.010965868303627222
452.0,0.009649759015175704,0.010634957410061992
453.0,0.009468815514684058,0.010442207550299145
454.0,0.009109388957476323,0.01007189043222854
455.0,0.008509593684189442,0.009420210222990116
456.0,0.00810304221305311,0.009002892512985876
457.0,0.008278470004042292,0.009182878300860325
458.0,0.008197728673274807,0.009098236747233025
459.0,0.007835994463651356,0.00872036063209383
460.0,0.00794535026472257,0.008832473383710564
461.0,0.007885753208862261,0.008770976047384218
462.0,0.0077015210148544825,0.008584684566014427
463.0,0.00743242170053697,0.008293741516758067
464.0,0.0073882519762481485,0.00824894110140716
465.0,0.007730099213459496,0.00861185958001381
466.0,0.007760079104411593,0.008640565821470237
467.0,0.007533972189323693,0.008402488831051057
468.0,0.006781179160923374,0.0075918113859464184
469.0,0.006778331850271709,0.0075918113859464184
470.0,0.006629625980504404,0.007430252943177341
471.0,0.006053073501429672,0.006798934146457972
472.0,0.005836136582551585,0.00656605382929967
473.0,0.0058954374174729,0.0066291349469500644
474.0,0.005899316642427615,0.006629862155407693
475.0,0.005771121301128031,0.006496470795067833
476.0,0.005553516459056438,0.006261826419749728
477.0,0.005192606191471986,0.005864556882549032
478.0,0.00489164573230854,0.005533792276318156
479.0,0.004811374941737556,0.0054459878617570245
480.0,0.004363683430137869,0.004950174068148655
481.0,0.003942239505396528,0.004482002896656474
482.0,0.0036206971453747144,0.0041255832473130775
483.0,0.003402913922308199,0.0038860670682929377
484.0,0.003175911563335262,0.003632902741997001
485.0,0.0030024836334864124,0.003440275939821582
486.0,0.0027511103417747194,0.003157541864006687
487.0,0.0022608270735005273,0.0026021079280300684
488.0,0.0018095981743655196,0.0020921566266198875
489.0,0.0014765773704059858,0.001713899369950581
490.0,0.0011435305410489825,0.0013356384622388742
491.0,0.0008650972789180334,0.0010144737101548808
492.0,0.0006476263761997457,0.0007633802859687807
493.0,0.000539449958602423,0.0006384373139605133
494.0,0.000371639063081132,0.0004467946766585004
495.0,0.00023256578302060425,0.00028443197434422144
496.0,0.0001325361289351382,0.0001645469736355741
497.0,8.600932048106804e-05,0.00010749854741418071
498.0,6.45782446243145e-05,8.120783551469592e-05
499.0,4.155037247447432e-05,5.276768665334169e-05
500.0,2.7642405620611542e-05,3.574689402766348e-05
501.0,1.5718799633106763e-05,2.0812949030020643e-05
502.0,8.271749295583675e-06,1.1708321466695733e-05
503.0,4.080438151530249e-06,6.158188851205696e-06
504.0,1.87383148737996e-06,3.0357254191281976e-06
505.0,8.505460642340881e-07,1.72719799776645e-06
506.0,3.664414745324421e-07,9.994301386516472e-07
507.0,1.5685509015625976e-07,5.291279439317249e-07
508.0,7.141417409749229e-08,2.6108818373254315e-07
509.0,2.553317833046474e-08,1.0558175152375641e-07
510.0,6.536592299667012e-09,3.318453169954713e-08
511.0,1.3693609960958002e-09,8.587195541864472e-09
512.0,2.4895680665781214e-10,2.1325646920131892e-09
513.0,4.7675591266254464e-11,4.5907341637130474e-10
514.0,1.1502562687964002e-11,1.1975510696961508e-10
515.0,1.1864660938569249e-12,1.4571508733536244e-11
516.0,1.4407456837059138e-13,1.9188112969356035e-12
517.0,2.4494458140458452e-14,3.5378967356394566e-13
518.0,8.170354910306588e-15,1.2412887348917638e-13
519.0,1.8541241824997987e-15,3.066781208312167e-14
520.0,2.440859409225823e-16,4.315691938208761e-15
521.0,2.2878122003938253e-17,4.3853297411287247e-16
522.0,3.895768041855564e-18,7.911109162223525e-17
523.0,7.604710329761984e-19,1.6247146756606074e-17
524.0,2.200111764222149e-19,4.958713437823767e-18
525.0,7.35228122477653e-20,1.733279171496168e-18
526.0,2.600096092376621e-20,6.583700105511667e-19
527.0,9.266003877554857e-21,2.500601835903291e-19
528.0,2.6219013707936745e-21,7.366465358216201e-20
529.0,9.828610827451904e-22,2.839222648887867e-20
530.0,4.1150423533397085e-22,1.2411693921617268e-20
531.0,2.122480157868096e-22,6.697241236596101e-21
532.0,1.243726516923249e-22,4.0490207717612435e-21
533.0,8.673345442673595e-23,2.916234672610417e-21
534.0,5.211662007368926e-23,1.84295151329546e-21
535.0,3.7237400477474885e-23,1.3886165159872907e-21
536.0,2.883692450344132e-23,1.095269114010336e-21
537.0,2.448993152197552e-23,9.659394144533038e-22
538.0,2.2067565392942337e-23,8.874622866847986e-22
539.0,1.97654296720553e-23,8.107779251477084e-22
540.0,1.848756036583764e-23,7.738364553129183e-22
541.0,1.7743274977373102e-23,7.583433506952072e-22
542.0,1.718954203668783e-23,7.583433506952072e-22
543.0,1.6036040855985553e-23,7.308871065694749e-22
544.0,1.4392809187430084e-23,6.709011737140705e-22
545.0,1.2435912034425374e-23,5.992639773287362e-22
546.0,1.1932359788267911e-23,5.969090225789631e-22
547.0,1.0371421093940479e-23,5.684575959488619e-22
548.0,9.244765436104284e-24,5.327954960265477e-22
549.0,8.894383631739607e-24,5.327954960265477e-22
550.0,8.424698397902531e-24,5.327954960265477e-22
551.0,8.639421859080058e-24,5.327954960265477e-22
552.0,9.057656290036294e-24,5.327954960265477e-22
553.0,9.351846834205615e-24,5.327954960265477e-22
554.0,1.0683495356395327e-23,5.684575959488619e-22
555.0,1.0922799954934592e-23,5.684575959488619e-22
556.0,1.2563798647067605e-23,5.992639773287362e-22
557.0,1.7747674711540685e-23,7.583433506952072e-22
558.0,2.6354015129544394e-23,1.01985066095652e-21
559.0,4.389814291239237e-23,1.6077694841663704e-21
560.0,6.418243206881748e-23,2.1939694695524108e-21
561.0,1.1380091320403771e-22,3.764607628733571e-21
562.0,1.9639170662367583e-22,6.2937404732056115e-21
563.0,3.770523658764758e-22,1.154230451362167e-20
564.0,8.663805541097922e-22,2.5435479558420667e-20
565.0,2.0876138020069746e-21,5.946799872105979e-20
566.0,4.176198181983181e-21,1.1574841177361491e-19
567.0,8.025065428331353e-21,2.194587892467681e-19
568.0,1.7188281665867018e-20,4.519636627781186e-19
569.0,2.967870796554938e-20,7.24655119492164e-19
570.0,4.8036260665389667e-20,1.1456089607524909e-18
571.0,8.283768503746063e-20,1.930682863770815e-18
572.0,1.6012690232160896e-19,3.649114185129111e-18
573.0,4.37734910149657e-19,9.551003199116453e-18
574.0,1.2854942506515118e-18,2.690355824577807e-17
575.0,3.7483438326119855e-18,7.687853200687183e-17
576.0,7.184801111504085e-18,1.4169256807398922e-16
577.0,1.3703658859611255e-17,2.676781363910732e-16
578.0,2.5507413449276915e-17,4.844046757821014e-16
579.0,3.4415800147299613e-17,6.475853770835918e-16
580.0,6.358315302130416e-17,1.1748562778981517e-15
581.0,1.210460931700226e-16,2.1777678692255826e-15
582.0,1.935241091375826e-16,3.4514604160102774e-15
583.0,4.050896424989745e-16,7.101186809960656e-15
584.0,7.264014888671029e-16,1.2519743308121245e-14
585.0,1.2754937381398392e-15,2.1442931614137792e-14
586.0,1.8414740930965445e-15,3.066781208312167e-14
587.0,2.3587517793175296e-15,3.870239919504202e-14
588.0,2.9613532265634136e-15,4.7451058341262194e-14
589.0,4.051009220457829e-15,6.440790628805433e-14
590.0,4.726485753781795e-15,7.456940216158817e-14
591.0,5.821447969587956e-15,9.114343347805266e-14
592.0,7.48976608841603e-15,1.1463813617418863e-13
593.0,1.0290477101711362e-14,1.5405670463948906e-13
594.0,1.3702376746616357e-14,2.0364909208195758e-13
595.0,1.757133544183471e-14,2.592720071309568e-13
596.0,2.1928156520824084e-14,3.2124749303007285e-13
597.0,2.9569736394497346e-14,4.241085968189794e-13
598.0,3.8067939777203126e-14,5.384644447106456e-13
599.0,4.8246727709157023e-14,6.77767387201925e-13
600.0,5.744709965232607e-14,7.961081174791943e-13
601.0,7.966302090432955e-14,1.0965695025153013e-12
602.0,1.011600644030438e-13,1.3831952806042855e-12
603.0,1.4987677761475436e-13,1.983208199276524e-12
604.0,1.9664678834896533e-13,2.5689335216797956e-12
605.0,2.720118123287945e-13,3.5309887790275797e-12
606.0,3.5508995682865356e-13,4.580437116072757e-12
607.0,4.836833313668556e-13,6.1617050474125516e-12
608.0,6.893265798353976e-13,8.673673713143561e-12
609.0,1.132683924779179e-12,1.3994787528446363e-11
610.0,1.798029333297306e-12,2.1821054216525295e-11
611.0,2.777145162009023e-12,3.273519958207187e-11
612.0,4.8884408450685505e-12,5.4195633368841067e-11
613.0,7.875524150200645e-12,8.412864600032043e-11
