wavelength_nm,p_value,q_FDR_BH
400.0,2.2716045688030337e-23,1.9741783773792465e-22
401.0,1.0251001521086918e-23,1.1007750848036268e-22
402.0,6.255552078690844e-24,7.207942310896023e-23
403.0,4.029894903811083e-24,5.039825882753983e-23
404.0,3.1518966876815404e-24,4.2251896120489146e-23
405.0,2.8761545051914138e-24,4.0965228403802704e-23
406.0,2.7606820159766345e-24,3.988750696784524e-23
407.0,3.0376873604516142e-24,4.159513299115923e-23
408.0,3.62641262845844e-24,4.737434586603987e-23
409.0,4.47230011236356e-24,5.398553658862202e-23
410.0,3.2890939167916066e-24,4.38047508009064e-23
411.0,2.6299674757464075e-24,3.8701401424826507e-23
412.0,2.551883075520591e-24,3.8701401424826507e-23
413.0,2.761592388802547e-24,3.988750696784524e-23
414.0,2.6403390560904457e-24,3.8701401424826507e-23
415.0,2.605475064996395e-24,3.8701401424826507e-23
416.0,2.5518990304072516e-24,3.8701401424826507e-23
417.0,2.203853567660124e-24,3.7353848844405313e-23
418.0,2.0006972321140062e-24,3.7353848844405313e-23
419.0,2.0035370389554154e-24,3.7353848844405313e-23
420.0,2.053730132349861e-24,3.7353848844405313e-23
421.0,2.0133921722599103e-24,3.7353848844405313e-23
422.0,2.4360239526592934e-24,3.8701401424826507e-23
423.0,3.344005555407275e-24,4.4015945700194075e-23
424.0,3.7728553120866625e-24,4.866746066094179e-23
425.0,3.968573121690778e-24,5.0244095509801145e-23
426.0,4.4746666114411234e-24,5.398553658862202e-23
427.0,4.417450092151221e-24,5.392970320834616e-23
428.0,3.7255994758708974e-24,4.836205395576716e-23
429.0,2.9171574336841393e-24,4.104491200681915e-23
430.0,2.208553109184069e-24,3.7353848844405313e-23
431.0,2.113329229797487e-24,3.7353848844405313e-23
432.0,1.945157104224581e-24,3.7353848844405313e-23
433.0,1.739947102625333e-24,3.7353848844405313e-23
434.0,1.737572258040268e-24,3.7353848844405313e-23
435.0,1.8541450916165495e-24,3.7353848844405313e-23
436.0,1.9210510785496575e-24,3.7353848844405313e-23
437.0,1.7714987884363313e-24,3.7353848844405313e-23
438.0,1.9030869354045323e-24,3.7353848844405313e-23
439.0,2.030506465699932e-24,3.7353848844405313e-23
440.0,2.1371136215712934e-24,3.7353848844405313e-23
441.0,2.3916150356785597e-24,3.832189404825567e-23
442.0,2.5792136956334747e-24,3.8701401424826507e-23
443.0,2.6415982811249244e-24,3.8701401424826507e-23
444.0,2.458602090674348e-24,3.8701401424826507e-23
445.0,2.3633143866023434e-24,3.832189404825567e-23
446.0,2.218849552310918e-24,3.7353848844405313e-23
447.0,2.1883301152717788e-24,3.7353848844405313e-23
448.0,2.1432389411201224e-24,3.7353848844405313e-23
449.0,2.2651789321614592e-24,3.7353848844405313e-23
450.0,2.2656329396558118e-24,3.7353848844405313e-23
451.0,2.2765631913947655e-24,3.7353848844405313e-23
452.0,2.161022632857432e-24,3.7353848844405313e-23
453.0,2.01342463977572e-24,3.7353848844405313e-23
454.0,1.9500379604546917e-24,3.7353848844405313e-23
455.0,2.012484618859568e-24,3.7353848844405313e-23
456.0,2.0623940318950006e-24,3.7353848844405313e-23
457.0,2.093494118090152e-24,3.7353848844405313e-23
458.0,2.155617470141819e-24,3.7353848844405313e-23
459.0,2.14469801949967e-24,3.7353848844405313e-23
460.0,2.1290949507658055e-24,3.7353848844405313e-23
461.0,2.007090812875824e-24,3.7353848844405313e-23
462.0,1.874178931591704e-24,3.7353848844405313e-23
463.0,1.678333867760287e-24,3.7353848844405313e-23
464.0,1.4927910330048129e-24,3.7353848844405313e-23
465.0,1.4475876802953586e-24,3.7353848844405313e-23
466.0,1.4189044615484381e-24,3.7353848844405313e-23
467.0,1.283455918582595e-24,3.7353848844405313e-23
468.0,1.2683488547116768e-24,3.7353848844405313e-23
469.0,1.3019062476505048e-24,3.7353848844405313e-23
470.0,1.3490047183787044e-24,3.7353848844405313e-23
471.0,1.3535970639050268e-24,3.7353848844405313e-23
472.0,1.431358678214853e-24,3.7353848844405313e-23
473.0,1.4402261066819976e-24,3.7353848844405313e-23
474.0,1.4649955072400294e-24,3.7353848844405313e-23
475.0,1.4209926499750415e-24,3.7353848844405313e-23
476.0,1.4958527017222286e-24,3.7353848844405313e-23
477.0,1.5469233086564661e-24,3.7353848844405313e-23
478.0,1.5445525329722292e-24,3.7353848844405313e-23
479.0,1.4716342883967326e-24,3.7353848844405313e-23
480.0,1.530546509508105e-24,3.7353848844405313e-23
481.0,1.4694344706226403e-24,3.7353848844405313e-23
482.0,1.4372049233278586e-24,3.7353848844405313e-23
483.0,1.47575962655763e-24,3.7353848844405313e-23
484.0,1.5139572865069167e-24,3.7353848844405313e-23
485.0,1.6247624937842874e-24,3.7353848844405313e-23
486.0,1.6294563299773571e-24,3.7353848844405313e-23
487.0,1.6512209912956102e-24,3.7353848844405313e-23
488.0,1.742852822336631e-24,3.7353848844405313e-23
489.0,1.6515661200920882e-24,3.7353848844405313e-23
490.0,1.6477763775003038e-24,3.7353848844405313e-23
491.0,1.6093152834025674e-24,3.7353848844405313e-23
492.0,1.5777035631637829e-24,3.7353848844405313e-23
493.0,1.5289001251244391e-24,3.7353848844405313e-23
494.0,1.4091057584356661e-24,3.7353848844405313e-23
495.0,1.2737102446922147e-24,3.7353848844405313e-23
496.0,1.3619242186897182e-24,3.7353848844405313e-23
497.0,1.3934405471315277e-24,3.7353848844405313e-23
498.0,1.2655847663599401e-24,3.7353848844405313e-23
499.0,1.2536964063732607e-24,3.7353848844405313e-23
500.0,1.1423556982754576e-24,3.7353848844405313e-23
501.0,1.0908350566306925e-24,3.7353848844405313e-23
502.0,1.1156077022028785e-24,3.7353848844405313e-23
503.0,1.3647692476198877e-24,3.7353848844405313e-23
504.0,1.360334667399037e-24,3.7353848844405313e-23
505.0,1.9814290508984505e-24,3.7353848844405313e-23
506.0,2.599051965641602e-24,3.8701401424826507e-23
507.0,3.347873003037677e-24,4.4015945700194075e-23
508.0,4.0228648641499124e-24,5.039825882753983e-23
509.0,6.105519049130498e-24,7.074813316252346e-23
510.0,7.094297547970604e-24,8.12871746976967e-23
511.0,8.865003750446412e-24,9.671341857534889e-23
512.0,1.2477511062942585e-23,1.312378214876679e-22
513.0,9.548309232996667e-24,1.0307148545724297e-22
514.0,1.6144586513072644e-23,1.5619125914298108e-22
515.0,2.2176941365983154e-23,1.9355279464524023e-22
516.0,2.7568737738938464e-23,2.28920976123736e-22
517.0,3.210100039678685e-23,2.5819275221101895e-22
518.0,8.11046014045335e-23,5.166010480767024e-22
519.0,1.0407286129392228e-22,6.547651488154436e-22
520.0,1.4760415089140753e-22,9.257985121659842e-22
521.0,1.8883565977122616e-22,1.1772095385738143e-21
522.0,2.176152928805805e-22,1.3403272243185304e-21
523.0,2.175454835839651e-22,1.3403272243185304e-21
524.0,2.0048029163171072e-22,1.2422509913493616e-21
525.0,1.5007033396439775e-22,9.38397118783475e-22
526.0,9.88244407578589e-23,6.236582399826726e-22
527.0,7.518488298579472e-23,4.849188522134119e-22
528.0,7.097629480941552e-23,4.592188664167547e-22
529.0,6.397311525589282e-23,4.316080900981453e-22
530.0,5.427499697644459e-23,3.7480814410332613e-22
531.0,4.7977563390059485e-23,3.416735503924028e-22
532.0,3.4595789347116274e-23,2.7186193084649607e-22
533.0,3.3190359368454824e-23,2.638504924988405e-22
534.0,3.8793227680206234e-23,2.957803344687843e-22
535.0,4.2379660898835946e-23,3.1493001631707438e-22
536.0,4.3566039361259827e-23,3.1976353387506616e-22
537.0,4.712063689915465e-23,3.379175744061755e-22
538.0,4.523834791316926e-23,3.30191642597545e-22
539.0,4.780852304431919e-23,3.4165603053623224e-22
540.0,4.5995938090623296e-23,3.330730800085094e-22
541.0,4.365372476110118e-23,3.1976353387506616e-22
542.0,4.628270492560955e-23,3.330730800085094e-22
543.0,4.2346107119913393e-23,3.1493001631707438e-22
544.0,3.8435411869141573e-23,2.9414563337167676e-22
545.0,3.555649187904621e-23,2.783449039844419e-22
546.0,3.225237928504192e-23,2.5839699185008196e-22
547.0,2.833215860513244e-23,2.343115213674461e-22
548.0,2.864465017619604e-23,2.359444879975023e-22
549.0,2.747452351044806e-23,2.28920976123736e-22
550.0,2.727018344754039e-23,2.2829039286083813e-22
551.0,2.4876962769807364e-23,2.1171224332313238e-22
552.0,2.4659567478514414e-23,2.1161829664616345e-22
553.0,2.3307377584622717e-23,2.0170224230405568e-22
554.0,2.3828918497763024e-23,2.0534920940719313e-22
555.0,2.4863742594615024e-23,2.1171224332313238e-22
556.0,2.719159055094772e-23,2.2829039286083813e-22
557.0,3.0702744061041277e-23,2.508817851362377e-22
558.0,3.691396915219724e-23,2.872357517746344e-22
559.0,3.96451721037264e-23,2.989420881792016e-22
560.0,3.9555952332423003e-23,2.989420881792016e-22
561.0,4.61779481061523e-23,3.330730800085094e-22
562.0,4.896661052258897e-23,3.4512205560766315e-22
563.0,4.1887474515581585e-23,3.135445628885322e-22
564.0,3.6972324948075804e-23,2.872357517746344e-22
565.0,3.1126367278180066e-23,2.5333404479185446e-22
566.0,3.139228120756894e-23,2.544884140581973e-22
567.0,3.339425719806013e-23,2.6444641510896265e-22
568.0,3.985819535324035e-23,2.9944746765383136e-22
569.0,4.857464140734939e-23,3.443470058293827e-22
570.0,6.760350577415367e-23,4.483718175297923e-22
571.0,6.366962167647175e-23,4.30978198212685e-22
572.0,5.507604984213511e-23,3.7906368532288296e-22
573.0,6.104871094840251e-23,4.159830769274869e-22
574.0,6.776950923170922e-23,4.483718175297923e-22
575.0,6.441286416974312e-23,4.331501128266989e-22
576.0,6.907398968485024e-23,4.551544096787172e-22
577.0,7.084574738686145e-23,4.592188664167547e-22
578.0,6.533791291418351e-23,4.379348345980078e-22
579.0,6.088301591109867e-23,4.159830769274869e-22
580.0,6.556101437698586e-23,4.379988289485277e-22
581.0,7.024604707658849e-23,4.575741762195281e-22
582.0,7.977557037946359e-23,5.097186755398126e-22
583.0,7.89954439891738e-23,5.07898606964876e-22
584.0,7.976534883485858e-23,5.097186755398126e-22
585.0,8.240958577127154e-23,5.216730259780183e-22
586.0,8.208394044345047e-23,5.212203153235818e-22
587.0,7.027589737159988e-23,4.575741762195281e-22
588.0,6.609375765165479e-23,4.4012434072579215e-22
589.0,6.92385060067088e-23,4.551544096787172e-22
590.0,6.954170076407997e-23,4.556869912687796e-22
591.0,6.224359614499801e-23,4.227205817661951e-22
592.0,5.929509392403545e-23,4.0673658072975486e-22
593.0,5.357357875845264e-23,3.7121422308644044e-22
594.0,5.346922856303041e-23,3.7121422308644044e-22
595.0,5.2087182244281375e-23,3.633701047041534e-22
596.0,4.9819830624942033e-23,3.487388143745942e-22
597.0,4.8688752652618716e-23,3.443470058293827e-22
598.0,4.927839913291408e-23,3.4613012541646155e-22
599.0,4.2748122585712454e-23,3.1652129755702616e-22
600.0,4.6123801690675217e-23,3.330730800085094e-22
601.0,4.3203095100501205e-23,3.187393814788776e-22
602.0,3.908895172559332e-23,2.969312592192292e-22
603.0,3.720758886081434e-23,2.8797269718313287e-22
604.0,3.838620181809394e-23,2.9414563337167676e-22
605.0,3.7977477689977147e-23,2.9282634113587645e-22
606.0,3.4543919139593405e-23,2.7186193084649607e-22
607.0,3.1676662822669614e-23,2.5578281672950937e-22
608.0,3.007918249532717e-23,2.467696131916641e-22
609.0,2.582960051147108e-23,2.1801033188900076e-22
610.0,2.5137565756509257e-23,2.130460634983491e-22
611.0,1.8943309977409018e-23,1.6791628355965122e-22
612.0,1.599802925334483e-23,1.5619125914298108e-22
613.0,1.4266257987362802e-23,1.4805851055204281e-22
614.0,1.5121979467811304e-23,1.5203519553176953e-22
615.0,1.4678961441147828e-23,1.493482965224229e-22
616.0,1.5860199972567558e-23,1.5619125914298108e-22
617.0,1.739546144632379e-23,1.599914413740363e-22
618.0,1.6345686321952078e-23,1.563568242710986e-22
619.0,1.6541178900487876e-23,1.5676140726109137e-22
620.0,1.7962482908843065e-23,1.6229538522483317e-22
621.0,1.7784046372442704e-23,1.6211146271057774e-22
622.0,1.6068786966684157e-23,1.5619125914298108e-22
623.0,1.4826743307434784e-23,1.4980123410615146e-22
624.0,1.4681867359162046e-23,1.493482965224229e-22
625.0,1.42933130615819e-23,1.4805851055204281e-22
626.0,1.468438757413556e-23,1.493482965224229e-22
627.0,1.5514730597648533e-23,1.552229875891568e-22
628.0,1.5776156503963766e-23,1.5619125914298108e-22
629.0,1.5647351677575e-23,1.5578989461507926e-22
630.0,1.6390403324371625e-23,1.563568242710986e-22
