data_coleta,turno,analysis,rank,wavelength_nm,p_value,q_FDR_BH
D02M,MANHA,gen_cond,1,521.0,4.1851433796354565e-27,2.7984717507812795e-25
D02M,MANHA,gen_cond,2,720.0,3.3643286478283728e-21,4.8937858558127604e-20
D02M,MANHA,gen_cond,3,640.0,5.316791747101088e-18,6.569120405605019e-17
D02M,MANHA,gen_cond,4,401.0,4.441243067624977e-15,4.7691044668580246e-14
D02M,MANHA,gen_cond,5,1355.0,1.650659602260503e-08,1.0046002505152202e-07
D02M,MANHA,cond,1,400.0,1.2163683693201977e-14,3.1603615371730914e-12
D02M,MANHA,cond,2,680.0,4.493410951869602e-07,6.185225410929231e-06
D02M,MANHA,cond,3,1595.0,2.5491463876451283e-05,0.00029538413791300327
D02M,MANHA,cond,4,619.0,4.4932501936746984e-05,0.0004306381377208788
D02M,MANHA,cond,5,1518.0,0.0001508759854952082,0.0011131174325563742
D02M,MANHA,gen,1,522.0,1.0495719788968856e-28,7.613600663222552e-27
D02M,MANHA,gen,2,720.0,1.1884757781455455e-21,1.8607357412034457e-20
D02M,MANHA,gen,3,640.0,9.226564693252184e-15,1.1131578932858958e-13
D02M,MANHA,gen,4,1689.0,6.086657602146321e-08,6.089626703415662e-07
D02M,MANHA,gen,5,1369.0,5.491802190794041e-06,3.487209378736402e-05
D02T,TARDE,gen_cond,1,528.0,1.835038394028832e-23,1.0004076412120175e-21
D02T,TARDE,gen_cond,2,1510.0,6.31783205910782e-17,1.10751056010514e-15
D02T,TARDE,gen_cond,3,720.0,1.2100969753657122e-14,7.299732048456105e-14
D02T,TARDE,gen_cond,4,620.0,4.417088111966115e-14,1.668406577834715e-13
D02T,TARDE,gen_cond,5,1340.0,1.1224258400276348e-10,1.4469487101801878e-10
D02T,TARDE,cond,1,1506.0,3.272835537191901e-17,3.6933804373783e-15
D02T,TARDE,cond,2,1580.0,3.103364516237459e-11,1.0503301357760772e-10
D02T,TARDE,cond,3,739.0,1.0668281850869339e-10,2.4447649247075995e-10
D02T,TARDE,cond,4,1340.0,4.4779916455306046e-10,8.25189655434256e-10
