wavelength_nm,p_value,q_FDR_BH
400.0,1.2163683693201977e-14,3.1603615371730914e-12
401.0,1.0985259775736848e-14,3.1603615371730914e-12
402.0,1.241387648663399e-14,3.1603615371730914e-12
403.0,1.3742813519502194e-14,3.1603615371730914e-12
404.0,1.6165711007581955e-14,3.1603615371730914e-12
405.0,1.9791747102602813e-14,3.1603615371730914e-12
406.0,2.7321660734925193e-14,3.1603615371730914e-12
407.0,3.8412496350957107e-14,3.1603615371730914e-12
408.0,2.060759843821402e-14,3.1603615371730914e-12
409.0,1.3466284230065636e-14,3.1603615371730914e-12
410.0,2.2339799487731712e-14,3.1603615371730914e-12
411.0,2.6244880667124353e-14,3.1603615371730914e-12
412.0,3.2729965889672214e-14,3.1603615371730914e-12
413.0,3.765232096718404e-14,3.1603615371730914e-12
414.0,3.765232096718404e-14,3.1603615371730914e-12
415.0,3.617608303757278e-14,3.1603615371730914e-12
416.0,3.475680098685182e-14,3.1603615371730914e-12
417.0,3.5459459489469313e-14,3.1603615371730914e-12
418.0,4.5062467294035694e-14,3.1603615371730914e-12
419.0,5.284122439453361e-14,3.1603615371730914e-12
420.0,6.573001290741771e-14,3.179130636520998e-12
421.0,8.010037098498688e-14,3.5554763836293518e-12
422.0,8.667665489101296e-14,3.5554763836293518e-12
423.0,8.667665489101296e-14,3.5554763836293518e-12
424.0,6.317641298103206e-14,3.1603615371730914e-12
425.0,5.952785213085431e-14,3.1603615371730914e-12
426.0,5.835833104854638e-14,3.1603615371730914e-12
427.0,5.72114073259738e-14,3.1603615371730914e-12
428.0,6.072040775359393e-14,3.1603615371730914e-12
429.0,6.072040775359393e-14,3.1603615371730914e-12
430.0,6.193644339418716e-14,3.1603615371730914e-12
431.0,5.835833104854638e-14,3.1603615371730914e-12
432.0,5.3901969797423935e-14,3.1603615371730914e-12
433.0,5.180100968932707e-14,3.1603615371730914e-12
434.0,4.4173036513391313e-14,3.1603615371730914e-12
435.0,3.9187758982652054e-14,3.1603615371730914e-12
436.0,4.1607039632202673e-14,3.1603615371730914e-12
437.0,5.284122439453361e-14,3.1603615371730914e-12
438.0,5.498364381440663e-14,3.1603615371730914e-12
439.0,5.180100968932707e-14,3.1603615371730914e-12
440.0,5.3901969797423935e-14,3.1603615371730914e-12
441.0,5.72114073259738e-14,3.1603615371730914e-12
442.0,6.317641298103206e-14,3.1603615371730914e-12
