wavelength_nm,p_value,q_FDR_BH
400.0,8.155485047143175e-08,1.1829490687192824e-07
401.0,2.3883576595534213e-07,3.274412807315553e-07
402.0,4.808934780880228e-07,6.518919521206442e-07
403.0,7.801190461394643e-07,1.0491961728734696e-06
404.0,1.3930928517240737e-06,1.8674728358732517e-06
405.0,1.9507784825119803e-06,2.6082442422634104e-06
406.0,3.048152381957712e-06,4.064863807149069e-06
407.0,4.018849478751467e-06,5.345434682827016e-06
408.0,4.3854879309195074e-06,5.825541286474035e-06
409.0,4.3854879309195074e-06,5.825541286474035e-06
410.0,3.50138542497254e-06,4.66320877053161e-06
411.0,5.153082799941846e-06,6.831915205352764e-06
412.0,7.091477397640136e-06,9.389683758915377e-06
413.0,7.536777003344724e-06,9.96000620738404e-06
414.0,9.952781287630536e-06,1.3135878005746607e-05
415.0,1.4230491382369266e-05,1.8745496355323932e-05
416.0,1.4570741500549114e-05,1.9169076855436968e-05
417.0,1.620020504256212e-05,2.1299115732240327e-05
418.0,2.0465144126653495e-05,2.6871965815471392e-05
419.0,2.608410150496583e-05,3.416251097489459e-05
420.0,3.0614677796462763e-05,4.0045091939123165e-05
421.0,3.7544747239703685e-05,4.904730992906514e-05
422.0,4.5947476616935215e-05,5.994801179474181e-05
423.0,5.929526258215778e-05,7.7117681392521e-05
424.0,5.86455634633015e-05,7.636955597665484e-05
425.0,6.690657298694031e-05,8.685150708621176e-05
426.0,5.929526258215778e-05,7.7117681392521e-05
427.0,5.673667721715019e-05,7.397770182604898e-05
428.0,6.764256990890581e-05,8.775136678252107e-05
429.0,6.19628508072319e-05,8.048499493706943e-05
430.0,7.06638720360839e-05,9.155502308654963e-05
431.0,8.498706862194404e-05,0.00010997380299281212
432.0,8.77837681397751e-05,0.00011352112765112152
433.0,9.46512752954395e-05,0.00012232499409637454
434.0,0.00010534678404182404,0.000135890725830051
435.0,0.00010993631442910351,0.0001417217981735332
436.0,0.00011471401687860306,0.00014778797023744654
437.0,0.00013729018191838775,0.00017665129430025927
438.0,0.0001508759854952082,0.0001936462116712591
439.0,0.00016745183770044096,0.0002147865660560378
440.0,0.0001915689247437936,0.0002455674154059504
441.0,0.00023513033207323166,0.0003008436126526501
442.0,0.00027097965665479556,0.00034627992261619043
443.0,0.0003150385543174554,0.00040208094269141324
444.0,0.0003446043189107838,0.0004392687744474938
445.0,0.00039971532285114667,0.0005088864848961526
446.0,0.0004366264985500786,0.0005548456930150007
447.0,0.0004323734372195621,0.0005501227789933759
448.0,0.00045403233493517995,0.0005762501973713206
449.0,0.000490803361884303,0.0006225341343380986
450.0,0.0005354816156934789,0.0006787841741578031
451.0,0.0006009607942974811,0.0007613159907993414
452.0,0.0007065510044726948,0.0008928749908647547
453.0,0.0007619896395304255,0.0009617481542627093
454.0,0.0009273110081660719,0.0011682523819094676
455.0,0.0010266205517252798,0.0012917783752076986
456.0,0.0011150996346328977,0.0014005323641347663
457.0,0.0010457016279008448,0.0013149810170598605
458.0,0.0010848519735016477,0.001363377081894534
459.0,0.0011461254459074269,0.001438618904257119
460.0,0.0011672505422806788,0.001463344047810313
461.0,0.0012668405132165471,0.0015862575656942237
462.0,0.0012900113065541527,0.0016142850456025426
463.0,0.0013866604918398003,0.0017341711394898967
464.0,0.0014118445764166807,0.0017645906314628958
465.0,0.0014504122602519813,0.0018105876724143724
466.0,0.0014374497699370216,0.001795499073167376
467.0,0.0015860931082247764,0.001971561796950919
468.0,0.0017957297675360836,0.002228095434492745
469.0,0.0019266701663761942,0.002386232192776313
470.0,0.0021582653994383577,0.002666627912197634
471.0,0.002293287776819285,0.002830044061526085
472.0,0.002609040462855992,0.0032081186986316784
473.0,0.002865327037338362,0.003519033385377833
474.0,0.003279267191600531,0.004017787939051785
475.0,0.00365493031035148,0.004470042973482937
476.0,0.003937491470710069,0.00480988386326763
477.0,0.004205158138637667,0.005130743213769099
478.0,0.004416625081975171,0.0053855517497806635
479.0,0.004675487210236896,0.0056910529781577885
480.0,0.00515137925654926,0.006262880174974827
481.0,0.005319480375465075,0.006459593990573635
482.0,0.005580931309558593,0.006773071074499808
483.0,0.005900572887954482,0.007156756353160641
484.0,0.006436295526462444,0.007797307811443869
485.0,0.007015386541155599,0.008488824658354061
486.0,0.0074654900679036506,0.009028136868673578
487.0,0.0083797677926502,0.010098063303599037
488.0,0.009181968145197821,0.011058259932942297
489.0,0.01083236698139806,0.013022968744928148
490.0,0.012373581610725076,0.014849745982210142
491.0,0.015049859089577823,0.018029942168647263
492.0,0.016746989567066283,0.020028032421022125
493.0,0.0190034923055791,0.022700153010333568
494.0,0.021374314636913028,0.02550245452024934
495.0,0.024489713401728702,0.029168642384985812
496.0,0.03089295200788535,0.036625112467151937
497.0,0.0394227138319332,0.046656656704728794
498.0,0.05140796142255737,0.06066612708726419
499.0,0.06478200742450377,0.07622943042321127
500.0,0.09748946631308336,0.11419240171795202
501.0,0.1346252678522006,0.15706281249423404
502.0,0.1887485815150797,0.21896116554718806
503.0,0.22414171098098118,0.25899416857577034
504.0,0.27875492453934875,0.3206541504375795
