wavelength_nm,p_value,q_FDR_BH
400.0,6.531778183055284e-29,1.728522632715259e-26
401.0,6.37264994451796e-29,1.728522632715259e-26
402.0,6.833687198699115e-29,1.728522632715259e-26
403.0,8.238606871922594e-29,1.728522632715259e-26
404.0,9.188754289204229e-29,1.728522632715259e-26
405.0,1.0911761702940617e-28,1.728522632715259e-26
406.0,1.3644520887612715e-28,1.728522632715259e-26
407.0,2.0049754196220526e-28,1.728522632715259e-26
408.0,2.1193787366594465e-28,1.728522632715259e-26
409.0,1.9200544589994187e-28,1.728522632715259e-26
410.0,1.9150777510762533e-28,1.728522632715259e-26
411.0,1.5666831786784582e-28,1.728522632715259e-26
412.0,1.6285253763453554e-28,1.728522632715259e-26
413.0,2.216622801640025e-28,1.728522632715259e-26
414.0,2.0278051169036894e-28,1.728522632715259e-26
415.0,1.6089140756053455e-28,1.728522632715259e-26
416.0,1.56645039197714e-28,1.728522632715259e-26
417.0,1.890986300940188e-28,1.728522632715259e-26
418.0,1.7090170724733569e-28,1.728522632715259e-26
419.0,1.601741844095001e-28,1.728522632715259e-26
420.0,1.9342382275958395e-28,1.728522632715259e-26
421.0,2.1140949584872882e-28,1.728522632715259e-26
422.0,2.3992769096273985e-28,1.728522632715259e-26
423.0,2.444034926803633e-28,1.728522632715259e-26
424.0,2.3312457090712147e-28,1.728522632715259e-26
425.0,2.0337796595715487e-28,1.728522632715259e-26
426.0,2.2321341750133187e-28,1.728522632715259e-26
427.0,2.305000913855923e-28,1.728522632715259e-26
428.0,2.2472197681798343e-28,1.728522632715259e-26
429.0,2.7672871891078706e-28,1.8919020082867473e-26
430.0,3.5971176180063145e-28,1.9414969038239344e-26
431.0,3.4444816123115523e-28,1.9220148618630843e-26
432.0,3.306202583018852e-28,1.9220148618630843e-26
433.0,3.0979767740067482e-28,1.9220148618630843e-26
434.0,2.919845341216893e-28,1.9220148618630843e-26
435.0,3.1111987676219557e-28,1.9220148618630843e-26
436.0,3.4673110623566125e-28,1.9220148618630843e-26
437.0,3.728642010726758e-28,1.9608832728206618e-26
438.0,3.440424416620349e-28,1.9220148618630843e-26
439.0,3.9271719216364032e-28,1.964543807628357e-26
440.0,4.028170366757113e-28,1.967089862433057e-26
441.0,3.8819679550838635e-28,1.964543807628357e-26
442.0,4.397675016311212e-28,2.0975887112684408e-26
443.0,4.549756109941828e-28,2.0980937422959004e-26
444.0,4.603326104501e-28,2.0980937422959004e-26
445.0,5.106995809957873e-28,2.2347497768512862e-26
446.0,5.384483297261194e-28,2.3007448422255646e-26
447.0,5.121074573964429e-28,2.2347497768512862e-26
448.0,5.699969183898253e-28,2.3858442441174116e-26
449.0,6.824513727948809e-28,2.7994155312046016e-26
450.0,7.1697549481029805e-28,2.8833661565802377e-26
451.0,7.428980334021714e-28,2.930161281745872e-26
452.0,8.907282043325372e-28,3.383117679788951e-26
453.0,8.733153397375513e-28,3.3795655883051275e-26
454.0,1.003157974263343e-27,3.7408672822074846e-26
455.0,1.1074043107834437e-27,4.0558682882443626e-26
456.0,1.2905179359261109e-27,4.5635384251456096e-26
457.0,1.443509688735957e-27,4.853505527208931e-26
458.0,1.5041367366887092e-27,4.975781366046036e-26
459.0,1.3624088891200721e-27,4.6754144926698145e-26
460.0,1.2765154439137267e-27,4.5635384251456096e-26
461.0,1.3677468042915107e-27,4.6754144926698145e-26
462.0,1.5787387176671552e-27,5.059364234273961e-26
463.0,1.6195944573843146e-27,5.0670056766591755e-26
464.0,1.5616409987095832e-27,5.059364234273961e-26
465.0,1.6305332747903734e-27,5.0670056766591755e-26
466.0,1.784936434622427e-27,5.46403675732925e-26
467.0,2.0982294527533777e-27,6.328630305289968e-26
468.0,2.4255522317555086e-27,7.106868039043641e-26
469.0,2.3760095729424847e-27,7.062602368268168e-26
470.0,2.817464776275785e-27,8.13890176921357e-26
471.0,3.039697438038418e-27,8.658915896412217e-26
472.0,3.279550084991615e-27,9.214187978517537e-26
473.0,3.6086242984724136e-27,9.981889607910451e-26
474.0,3.797458848976341e-27,1.0115049479546072e-25
475.0,3.698798684549948e-27,9.981889607910451e-26
476.0,4.0457909344127944e-27,1.0379789593787311e-25
477.0,4.202324629352002e-27,1.0640701005927107e-25
478.0,4.323300275188778e-27,1.081352300538071e-25
479.0,5.053600122585054e-27,1.219403982520229e-25
480.0,6.496932911400089e-27,1.5142283410547253e-25
481.0,7.592963176559116e-27,1.7494250427213667e-25
482.0,8.390238250741165e-27,1.8910306211285855e-25
483.0,1.0605336550863556e-26,2.3388758350345327e-25
484.0,1.1738039056427302e-26,2.534180853129726e-25
485.0,1.3041502639059936e-26,2.786262699240826e-25
486.0,1.4740323956734218e-26,3.0849392280879468e-25
487.0,1.5679729611646216e-26,3.2418780079137296e-25
488.0,1.666430505596642e-26,3.3840088781967454e-25
489.0,2.014217494570515e-26,4.010835030450608e-25
490.0,2.4571734367393898e-26,4.754398791275932e-25
491.0,2.6851086247460307e-26,5.1468764386487e-25
492.0,2.7588886775311927e-26,5.239333960755997e-25
493.0,3.443941886865775e-26,6.306718580322951e-25
494.0,4.4209727998222374e-26,7.884708880378616e-25
495.0,5.332670923845948e-26,9.249997084287263e-25
496.0,5.825817359865224e-26,9.875001161226094e-25
497.0,5.97851643659657e-26,1.0024004410018012e-24
498.0,7.281536705353824e-26,1.185272363704817e-24
499.0,9.327062307760949e-26,1.4267345944826496e-24
500.0,9.390988310831677e-26,1.4267345944826496e-24
501.0,8.942897386296174e-26,1.3895365560070799e-24
502.0,9.359849656018279e-26,1.4267345944826496e-24
503.0,7.344287346882745e-26,1.1860734920044496e-24
504.0,7.594958896578267e-26,1.2075395889055834e-24
505.0,7.575837344083088e-26,1.2075395889055834e-24
506.0,8.026946310041591e-26,1.2664051447611771e-24
507.0,1.0898681607062806e-25,1.6087903827791048e-24
508.0,1.9572238466038197e-25,2.375305390168304e-24
509.0,2.5797099313650046e-25,2.9892571012596746e-24
510.0,4.121804139388021e-25,4.357639324682903e-24
511.0,5.491309928235521e-25,5.631338331405527e-24
512.0,5.87457206815883e-25,5.964726391977109e-24
513.0,8.653480411076013e-25,8.371834114677783e-24
514.0,1.1277719164355029e-24,1.0610367892702827e-23
515.0,8.447856611774336e-25,8.248620960215691e-24
516.0,1.2277934698953669e-24,1.1394590075816277e-23
517.0,2.6855414547888454e-24,2.3438491590518818e-23
518.0,5.4263723522732e-24,4.52418280264729e-23
519.0,9.966508279144875e-24,7.922987783149666e-23
520.0,1.3069928988056293e-23,1.0270660672223547e-22
