comparison,pair,group_a,group_b,n_a,n_b,top5_SR_noncollinear_10nm,deviations
genotipo,BR16_vs_CD202,BR16,CD202,576,580,"1881,1871,1891,695,1392","1.730,0.113,0.083,0.080,0.069"
genotipo,BR16_vs_EMB48,BR16,EMB48,576,576,"1882,695,731,569,741","1.000,0.102,0.093,0.092,0.081"
genotipo,CD202_vs_EMB48,CD202,EMB48,580,576,"1884,1874,1393,1894,365","1.434,0.175,0.092,0.090,0.069"
condicao,irrigado_vs_nao_irrigado,irrigado,nao_irrigado,868,864,"1884,1894,1874,731,569","1.201,0.114,0.099,0.081,0.076"
turno,manha_vs_tarde,manha,tarde,1156,576,"1883,358,1000,375,1873","0.198,0.034,0.028,0.026,0.016"
dia,2017-02-23_vs_2017-02-24,2017-02-23,2017-02-24,384,384,"1883,1001,1831,1395,371","0.921,0.197,0.061,0.042,0.039"
dia,2017-02-23_vs_2017-02-25,2017-02-23,2017-02-25,384,192,"1881,360,1871,1891,1830","5.583,0.110,0.108,0.094,0.070"
dia,2017-02-23_vs_2017-02-26,2017-02-23,2017-02-26,384,192,"1884,1874,1894,358,381","1.086,0.100,0.082,0.080,0.067"
dia,2017-02-23_vs_2017-02-27,2017-02-23,2017-02-27,384,192,"1882,1892,360,374,1872","1.000,0.093,0.083,0.079,0.071"
dia,2017-02-23_vs_2017-03-02,2017-02-23,2017-03-02,384,388,"1878,1831,695,358,1385","0.099,0.051,0.041,0.039,0.035"
dia,2017-02-24_vs_2017-02-25,2017-02-24,2017-02-25,384,192,"1881,1001,1891,1871,1393","6.712,0.161,0.128,0.122,0.096"
dia,2017-02-24_vs_2017-02-26,2017-02-24,2017-02-26,384,192,"1882,1001,358,1892,1872","1.000,0.150,0.086,0.066,0.062"
dia,2017-02-24_vs_2017-02-27,2017-02-24,2017-02-27,384,192,"1882,1000,357,374,1872","1.000,0.133,0.084,0.066,0.057"
dia,2017-02-24_vs_2017-03-02,2017-02-24,2017-03-02,384,388,"1883,1001,1873,1393,694","0.446,0.148,0.087,0.071,0.054"
dia,2017-02-25_vs_2017-02-26,2017-02-25,2017-02-26,192,192,"1884,1874,1894,1393,355","2.586,0.239,0.156,0.110,0.076"
dia,2017-02-25_vs_2017-02-27,2017-02-25,2017-02-27,192,192,"1884,1874,1894,1392,356","2.402,0.232,0.146,0.105,0.073"
dia,2017-02-25_vs_2017-03-02,2017-02-25,2017-03-02,192,388,"1883,361,1893,1873,695","2.144,0.115,0.093,0.073,0.063"
dia,2017-02-26_vs_2017-02-27,2017-02-26,2017-02-27,192,192,"1882,695,1831,730,361","0.337,0.052,0.049,0.042,0.041"
dia,2017-02-26_vs_2017-03-02,2017-02-26,2017-03-02,192,388,"1881,1871,358,1393,1891","1.174,0.119,0.110,0.098,0.091"
dia,2017-02-27_vs_2017-03-02,2017-02-27,2017-03-02,192,388,"1883,1873,361,1392,374","1.000,0.162,0.095,0.091,0.077"
genotipo,BR16_vs_CD202,BR16,CD202,576,580,"1881,1871,1891,695,1392","1.730,0.113,0.083,0.080,0.069"
genotipo,BR16_vs_EMB48,BR16,EMB48,576,576,"1882,695,731,569,741","1.000,0.102,0.093,0.092,0.081"
genotipo,CD202_vs_EMB48,CD202,EMB48,580,576,"1884,1874,1393,1894,365","1.434,0.175,0.092,0.090,0.069"
