level,n_amostras,PCA,KPCA_RBF,KPCA_POLY,SR_pair,SR_bands
GLOBAL,1732,"1913,1914,1912,1911,701","352,351,350","352,350,351",,
genotipo=BR16,576,"1911,1912,1910,1913,1909","351,350,352","352,351,350",,
genotipo=CD202,580,"1886,1885,1887,1884,1888","352,351,350","351,352,350",,
genotipo=EMB48,576,"725,726,724,727,728","350,351,352","350,352,351",,
condicao=irrigado,868,"1364,1363,1365,1362,1366","352,351,350","351,352,350",,
condicao=nao_irrigado,864,"698,699,697,700,696","351,352,350","352,350,351",,
turno=manha,1156,"1912,1913,1911,1914,1910","351,352,350","352,350,351",,
turno=tarde,576,"1440,1443,1441,1439,1442","352,351,350","352,350,351",,
dia=2017-02-23,384,"2111,2112,2110,2113,2114","351,350,352","350,352,351",,
dia=2017-02-24,384,"1914,1913,1915,1912,1916","351,350,352","352,351,350",,
dia=2017-02-25,192,"1578,1579,1585,1577,1584","352,351,350","351,350,352",,
dia=2017-02-26,192,"1912,1913,1911,1914,1910","350,352,351","352,350,351",,
dia=2017-02-27,192,"615,614,616,613,617","352,351,350","352,350,351",,
dia=2017-03-02,388,"1451,1450,1449,1452,1448","352,350,351","350,352,351",,
G|C=BR16|irrigado,288,"1913,1912,1914,1911,1910","350,352,351","352,351,350",,
G|C=BR16|nao_irrigado,288,"750,751,749,752,748","352,351,350","352,351,350",,
G|C=CD202|irrigado,292,"2130,2131,1407,1406,2129","351,352,350","350,352,351",,
G|C=CD202|nao_irrigado,288,"702,703,701,700,704","351,352,350","351,352,350",,
G|C=EMB48|irrigado,288,"466,467,1877,1876,468","352,351,350","351,350,352",,
G|C=EMB48|nao_irrigado,288,"695,694,696,693,697","352,351,350","350,352,351",,
G|T=BR16|manha,384,"1910,1911,1909,1908,1912","351,352,350","351,352,350",,
G|T=BR16|tarde,192,"1914,1913,1423,1424,1422","352,351,350","350,352,351",,
G|T=CD202|manha,388,"1887,1886,1888,1885,1889","351,352,350","351,352,350",,
G|T=CD202|tarde,192,"1471,1472,1470,1473,1474","352,351,350","351,352,350",,
G|T=EMB48|manha,384,"724,723,725,722,726","351,350,352","350,352,351",,
G|T=EMB48|tarde,192,"1915,1916,488,1914,486","352,351,350","350,352,351",,
C|T=irrigado|manha,580,"744,743,745,742,746","351,352,350","351,350,352",,
C|T=irrigado|tarde,288,"1308,1309,1307,1301,1302","352,350,351","352,351,350",,
C|T=nao_irrigado|manha,576,"700,699,698,701,697","350,352,351","352,350,351",,
C|T=nao_irrigado|tarde,288,"728,729,727,726,730","351,352,350","352,350,351",,
G|C|T|D=BR16|irrigado|manha|2017-02-23,32,"1411,1412,1639,1410,1642","352,350,351","352,351,350",,
G|C|T|D=BR16|irrigado|manha|2017-02-24,32,"498,497,499,496,493","352,351,350","350,352,351",,
G|C|T|D=BR16|irrigado|manha|2017-02-25,32,"708,709,1472,707,1473","352,350,351","352,351,350",,
G|C|T|D=BR16|irrigado|manha|2017-02-26,32,"1397,1396,1395,1605,1398","352,350,351","350,351,352",,
G|C|T|D=BR16|irrigado|manha|2017-02-27,32,"749,748,750,747,746","352,350,351","352,350,351",,
G|C|T|D=BR16|irrigado|manha|2017-03-02,32,"1144,1146,1145,1143,1142","351,350,352","350,351,352",,
G|C|T|D=BR16|irrigado|tarde|2017-02-23,32,"1411,1412,1639,1410,1642","352,350,351","352,351,350",,
G|C|T|D=BR16|irrigado|tarde|2017-02-24,32,"498,497,499,496,493","352,351,350","350,352,351",,
G|C|T|D=BR16|irrigado|tarde|2017-03-02,32,"1144,1146,1145,1143,1142","351,350,352","350,351,352",,
G|C|T|D=BR16|nao_irrigado|manha|2017-02-23,32,"883,906,884,907,882","352,351,350","351,352,350",,
G|C|T|D=BR16|nao_irrigado|manha|2017-02-24,32,"1291,1292,1290,1289,1293","351,352,350","351,350,352",,
