genotipo,condicao,turno,dia,n_amostras,PCA,Var,Kruskal,MWU,SPCM,RF,MI,PLS
BR16,irrigado,manha,2017-02-23,32,"1411,1412,1639,1410,1642","357,358,356,359,352",,,,,,
BR16,irrigado,manha,2017-02-24,32,"498,497,499,496,493","353,357,356,354,355",,,,,,
BR16,irrigado,manha,2017-02-25,32,"708,709,1472,707,1473","358,357,353,1000,1001",,,,,,
BR16,irrigado,manha,2017-02-26,32,"1397,1396,1395,1605,1398","354,355,353,356,369",,,,,,
BR16,irrigado,manha,2017-02-27,32,"749,748,750,747,746","354,353,352,355,358",,,,,,
BR16,irrigado,manha,2017-03-02,32,"1144,1146,1145,1143,1142","353,354,352,359,358",,,,,,
BR16,irrigado,tarde,2017-02-23,32,"1411,1412,1639,1410,1642","357,358,356,359,352",,,,,,
BR16,irrigado,tarde,2017-02-24,32,"498,497,499,496,493","353,357,356,354,355",,,,,,
BR16,irrigado,tarde,2017-03-02,32,"1144,1146,1145,1143,1142","353,354,352,359,358",,,,,,
BR16,nao_irrigado,manha,2017-02-23,32,"883,906,884,907,882","700,701,699,702,698",,,,,,
BR16,nao_irrigado,manha,2017-02-24,32,"1291,1292,1290,1289,1293","353,354,1000,1001,999",,,,,,
BR16,nao_irrigado,manha,2017-02-25,32,"889,888,887,917,890","354,1000,359,1001,999",,,,,,
BR16,nao_irrigado,manha,2017-02-26,32,"554,553,2238,555,908","354,355,353,700,699",,,,,,
BR16,nao_irrigado,manha,2017-02-27,32,"728,727,729,726,730","353,354,358,359,355",,,,,,
BR16,nao_irrigado,manha,2017-03-02,32,"1296,1295,1298,1297,1301","354,355,353,362,366",,,,,,
BR16,nao_irrigado,tarde,2017-02-23,32,"883,906,884,907,882","700,701,699,702,698",,,,,,
BR16,nao_irrigado,tarde,2017-02-24,32,"1291,1292,1290,1289,1293","353,354,1000,1001,999",,,,,,
BR16,nao_irrigado,tarde,2017-03-02,32,"658,657,659,662,656","354,355,353,352,356",,,,,,
CD202,irrigado,manha,2017-02-23,32,"1597,1598,1596,1595,1594","698,697,699,696,700",,,,,,
CD202,irrigado,manha,2017-02-24,32,"1402,1403,1401,2038,2037","698,699,697,700,696",,,,,,
CD202,irrigado,manha,2017-02-25,32,"1337,1156,1338,1155,1340","354,698,699,697,353",,,,,,
CD202,irrigado,manha,2017-02-26,32,"2022,2023,2024,2025,2021","698,699,697,700,696",,,,,,
CD202,irrigado,manha,2017-02-27,32,"667,668,669,666,660","699,698,700,697,701",,,,,,
CD202,irrigado,manha,2017-03-02,36,"823,1157,1158,1156,792","354,353,355,356,357",,,,,,
CD202,irrigado,tarde,2017-02-23,32,"1607,1606,1608,1605,1602","698,699,697,700,696",,,,,,
CD202,irrigado,tarde,2017-02-24,32,"1402,1403,1401,2038,2037","698,699,697,700,696",,,,,,
CD202,irrigado,tarde,2017-03-02,32,"823,824,547,546,548","354,353,355,356,357",,,,,,
CD202,nao_irrigado,manha,2017-02-23,32,"605,606,604,603,652","353,352,354,360,359",,,,,,
CD202,nao_irrigado,manha,2017-02-24,32,"453,452,896,895,929","697,698,696,699,695",,,,,,
CD202,nao_irrigado,manha,2017-02-25,32,"632,631,633,620,621","698,697,699,696,700",,,,,,
CD202,nao_irrigado,manha,2017-02-26,32,"834,833,835,847,832","699,698,700,697,701",,,,,,
CD202,nao_irrigado,manha,2017-02-27,32,"1924,1923,1427,1428,1426","359,358,354,352,357",,,,,,
CD202,nao_irrigado,manha,2017-03-02,32,"624,625,626,623,627","354,353,355,352,356",,,,,,
