level,n_amostras,PCA,Var,Kruskal,MWU,SPCM,RF,MI,PLS
,1732,"1913,1914,1912,1911,701","354,353,355,699,698",,,,,,
genotipo_normalizado=BR16,576,"1911,1912,1910,1913,1909","354,353,355,352,356",,,,,,
genotipo_normalizado=CD202,580,"1886,1885,1887,1884,1888","354,353,355,356,357",,,,,,
genotipo_normalizado=EMB48,576,"725,726,724,727,728","354,355,353,356,357",,,,,,
condicao_normalizada=irrigado,868,"1364,1363,1365,1362,1366","354,353,355,356,357",,,,,,
condicao_normalizada=nao_irrigado,864,"698,699,697,700,696","698,354,699,697,700",,,,,,
turno=manha,1156,"1912,1913,1911,1914,1910","354,699,698,353,700",,,,,,
turno=tarde,576,"1440,1443,1441,1439,1442","354,353,355,356,357",,,,,,
data_coleta_iso=2017-02-23,384,"2111,2112,2110,2113,2114","698,699,697,700,696",,,,,,
data_coleta_iso=2017-02-24,384,"1914,1913,1915,1912,1916","698,699,697,700,696",,,,,,
data_coleta_iso=2017-02-25,192,"1578,1579,1585,1577,1584","698,697,699,696,700",,,,,,
data_coleta_iso=2017-02-26,192,"1912,1913,1911,1914,1910","698,699,697,700,696",,,,,,
data_coleta_iso=2017-02-27,192,"615,614,616,613,617","699,700,698,701,697",,,,,,
data_coleta_iso=2017-03-02,388,"1451,1450,1449,1452,1448","354,353,355,356,357",,,,,,
genotipo_normalizado=BR16 | condicao_normalizada=irrigado,288,"1913,1912,1914,1911,1910","353,354,358,357,355",,,,,,
genotipo_normalizado=BR16 | condicao_normalizada=nao_irrigado,288,"750,751,749,752,748","354,353,355,352,700",,,,,,
genotipo_normalizado=CD202 | condicao_normalizada=irrigado,292,"2130,2131,1407,1406,2129","354,353,355,356,357",,,,,,
genotipo_normalizado=CD202 | condicao_normalizada=nao_irrigado,288,"702,703,701,700,704","354,353,355,356,352",,,,,,
genotipo_normalizado=EMB48 | condicao_normalizada=irrigado,288,"466,467,1877,1876,468","354,355,353,356,357",,,,,,
genotipo_normalizado=EMB48 | condicao_normalizada=nao_irrigado,288,"695,694,696,693,697","354,355,353,697,696",,,,,,
genotipo_normalizado=BR16 | turno=manha,384,"1910,1911,1909,1908,1912","354,353,355,358,352",,,,,,
genotipo_normalizado=BR16 | turno=tarde,192,"1914,1913,1423,1424,1422","354,353,355,352,356",,,,,,
genotipo_normalizado=CD202 | turno=manha,388,"1887,1886,1888,1885,1889","354,353,355,356,357",,,,,,
genotipo_normalizado=CD202 | turno=tarde,192,"1471,1472,1470,1473,1474","354,353,355,356,357",,,,,,
genotipo_normalizado=EMB48 | turno=manha,384,"724,723,725,722,726","354,353,355,356,698",,,,,,
genotipo_normalizado=EMB48 | turno=tarde,192,"1915,1916,488,1914,486","354,355,353,356,357",,,,,,
genotipo_normalizado=BR16 | data_coleta_iso=2017-02-23,128,"1443,1440,2199,1439,1442","357,358,356,359,700",,,,,,
genotipo_normalizado=BR16 | data_coleta_iso=2017-02-24,128,"822,821,823,824,825","353,354,357,356,1000",,,,,,
genotipo_normalizado=BR16 | data_coleta_iso=2017-02-25,64,"2044,2327,2045,2046,2043","358,357,353,354,1000",,,,,,
genotipo_normalizado=BR16 | data_coleta_iso=2017-02-26,64,"2264,2263,2265,2262,2266","354,355,353,356,369",,,,,,
genotipo_normalizado=BR16 | data_coleta_iso=2017-02-27,64,"1914,1913,1915,1912,1887","354,353,355,358,359",,,,,,
genotipo_normalizado=BR16 | data_coleta_iso=2017-03-02,128,"1366,1365,1367,1364,1368","354,353,355,352,356",,,,,,
genotipo_normalizado=CD202 | data_coleta_iso=2017-02-23,128,"1422,1421,1423,1420,1424","699,698,700,697,701",,,,,,
genotipo_normalizado=CD202 | data_coleta_iso=2017-02-24,128,"1161,2211,1162,1175,1174","698,699,697,700,696",,,,,,
genotipo_normalizado=CD202 | data_coleta_iso=2017-02-25,64,"582,581,566,565,583","698,699,697,700,354",,,,,,
genotipo_normalizado=CD202 | data_coleta_iso=2017-02-26,64,"764,765,763,718,717","699,698,700,697,701",,,,,,
genotipo_normalizado=CD202 | data_coleta_iso=2017-02-27,64,"1125,1126,1124,1127,1123","358,357,699,698,354",,,,,,
genotipo_normalizado=CD202 | data_coleta_iso=2017-03-02,132,"1476,1477,1479,1480,1478","354,353,355,356,357",,,,,,
