row_number,nomenclaura,bloco_normalizado,genotipo_normalizado,condicao_normalizada,data_coleta_raw,data_coleta_iso,turno
2,B1_BR16_IRRIG_REPROD00000.asd,B1,BR16,irrigado,20170223,2017-02-23,manha
3,B1_BR16_IRRIG_REPROD00001.asd,B1,BR16,irrigado,20170223,2017-02-23,manha
4,B1_BR16_IRRIG_REPROD00002.asd,B1,BR16,irrigado,20170223,2017-02-23,manha
5,B1_BR16_IRRIG_REPROD00003.asd,B1,BR16,irrigado,20170223,2017-02-23,manha
6,B1_BR16_IRRIG_REPROD00004.asd,B1,BR16,irrigado,20170223,2017-02-23,manha
7,B1_BR16_IRRIG_REPROD00005.asd,B1,BR16,irrigado,20170223,2017-02-23,manha
8,B1_BR16_IRRIG_REPROD00006.asd,B1,BR16,irrigado,20170223,2017-02-23,manha
9,B1_BR16_IRRIG_REPROD00007.asd,B1,BR16,irrigado,20170223,2017-02-23,manha
10,B1_BR16_NIRRIG_REPROD00000.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,manha
11,B1_BR16_NIRRIG_REPROD00001.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,manha
12,B1_BR16_NIRRIG_REPROD00002.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,manha
13,B1_BR16_NIRRIG_REPROD00003.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,manha
14,B1_BR16_NIRRIG_REPROD00004.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,manha
15,B1_BR16_NIRRIG_REPROD00005.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,manha
16,B1_BR16_NIRRIG_REPROD00006.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,manha
17,B1_BR16_NIRRIG_REPROD00007.asd,B1,BR16,nao_irrigado,20170223,2017-02-23,manha
18,B1_CD202_IRRIG_REPROD00000.asd,B1,CD202,irrigado,20170223,2017-02-23,manha
19,B1_CD202_IRRIG_REPROD00001.asd,B1,CD202,irrigado,20170223,2017-02-23,manha
20,B1_CD202_IRRIG_REPROD00002.asd,B1,CD202,irrigado,20170223,2017-02-23,manha
21,B1_CD202_IRRIG_REPROD00003.asd,B1,CD202,irrigado,20170223,2017-02-23,manha
22,B1_CD202_IRRIG_REPROD00004.asd,B1,CD202,irrigado,20170223,2017-02-23,manha
23,B1_CD202_IRRIG_REPROD00005.asd,B1,CD202,irrigado,20170223,2017-02-23,manha
24,B1_CD202_IRRIG_REPROD00006.asd,B1,CD202,irrigado,20170223,2017-02-23,manha
25,B1_CD202_IRRIG_REPROD00007.asd,B1,CD202,irrigado,20170223,2017-02-23,manha
26,B1_CD202_NIRRIG_REPROD00000.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,manha
27,B1_CD202_NIRRIG_REPROD00001.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,manha
28,B1_CD202_NIRRIG_REPROD00002.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,manha
29,B1_CD202_NIRRIG_REPROD00003.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,manha
30,B1_CD202_NIRRIG_REPROD00004.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,manha
31,B1_CD202_NIRRIG_REPROD00005.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,manha
32,B1_CD202_NIRRIG_REPROD00006.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,manha
33,B1_CD202_NIRRIG_REPROD00007.asd,B1,CD202,nao_irrigado,20170223,2017-02-23,manha
34,B1_EMB48_IRRIG_REPROD00000.asd,B1,EMB48,irrigado,20170223,2017-02-23,manha
35,B1_EMB48_IRRIG_REPROD00001.asd,B1,EMB48,irrigado,20170223,2017-02-23,manha
36,B1_EMB48_IRRIG_REPROD00002.asd,B1,EMB48,irrigado,20170223,2017-02-23,manha
37,B1_EMB48_IRRIG_REPROD00003.asd,B1,EMB48,irrigado,20170223,2017-02-23,manha
38,B1_EMB48_IRRIG_REPROD00004.asd,B1,EMB48,irrigado,20170223,2017-02-23,manha
39,B1_EMB48_IRRIG_REPROD00005.asd,B1,EMB48,irrigado,20170223,2017-02-23,manha
