data_coleta_iso,genotipo,turno,n_samples,irrigated_count,non_irrigated_count,effective_cv_splits,best_components,rmsecv,r2cv,auc,accuracy
2017-02-23,BR16,manha,64,32,32,5,9,0.0796344966031681,0.97463338780304,1.0,1.0
2017-02-23,BR16,tarde,64,32,32,5,15,0.12481344633587167,0.93768641445505,1.0,1.0
2017-02-23,CD202,manha,64,32,32,5,12,0.1363554557738227,0.9256287587228523,1.0,1.0
2017-02-23,CD202,tarde,64,32,32,5,13,0.10617475500654586,0.9549076855971999,1.0,1.0
2017-02-23,EMB48,manha,64,32,32,5,12,0.1849844215617192,0.8631230551179047,1.0,0.984375
2017-02-23,EMB48,tarde,64,32,32,5,15,0.12106575258722398,0.9413723342019563,1.0,1.0
2017-02-24,BR16,manha,64,32,32,5,14,0.06473867335477096,0.9832356166890571,1.0,1.0
2017-02-24,BR16,tarde,64,32,32,5,14,0.0778353670405793,0.9757666225506332,1.0,1.0
2017-02-24,CD202,manha,64,32,32,5,11,0.03332248949566071,0.9955584467752463,1.0,1.0
2017-02-24,CD202,tarde,64,32,32,5,14,0.1061075516643095,0.9549647499192235,1.0,1.0
2017-02-24,EMB48,manha,64,32,32,5,11,0.03580516078974626,0.9948719618432816,1.0,1.0
2017-02-24,EMB48,tarde,64,32,32,5,15,0.08025179795296486,0.974238595701266,1.0,1.0
2017-02-25,BR16,manha,64,32,32,5,15,0.05894615266187024,0.9861014043454539,1.0,1.0
2017-02-25,CD202,manha,64,32,32,5,14,0.09229328630138464,0.9659277972147626,1.0,1.0
2017-02-25,EMB48,manha,64,32,32,5,14,0.09608992444049126,0.9630669056840827,1.0,1.0
2017-02-26,BR16,manha,64,32,32,5,11,0.06243263358862908,0.9844086650527519,1.0,1.0
2017-02-26,CD202,manha,64,32,32,5,14,0.044318434787944117,0.992143505351787,1.0,1.0
2017-02-26,EMB48,manha,64,32,32,5,13,0.06343128027125237,0.9839058907325993,1.0,1.0
2017-02-27,BR16,manha,64,32,32,5,9,0.027379560555668033,0.997001438655114,1.0,1.0
2017-02-27,CD202,manha,64,32,32,5,9,0.042544145590078075,0.992759982704041,1.0,1.0
2017-02-27,EMB48,manha,64,32,32,5,11,0.0564717519580749,0.9872437649231427,1.0,1.0
2017-03-02,BR16,manha,64,32,32,5,9,0.056899736228001326,0.9870496800687355,1.0,1.0
2017-03-02,BR16,tarde,64,32,32,5,11,0.19042543940662646,0.854952608107173,1.0,0.984375
2017-03-02,CD202,manha,68,36,32,5,15,0.0475138412231577,0.9909383844979408,1.0,1.0
2017-03-02,CD202,tarde,64,32,32,5,7,0.14189433693581982,0.9194639885821762,1.0,1.0
2017-03-02,EMB48,manha,64,32,32,5,15,0.06238863876030396,0.9844306310145452,1.0,1.0
2017-03-02,EMB48,tarde,64,32,32,5,12,0.11156630318940895,0.9502118399705956,1.0,1.0
