direction,wavelength,occurrences,subset_frequency,mean_rank,best_rank,mean_vip,mean_coefficient,mean_abs_coefficient,mean_score
irrigado,1669,2,0.07407407407407407,2.0,2,1.5375818054626014,0.00716645410571536,0.00716645410571536,7.995270854396321
irrigado,1093,2,0.07407407407407407,2.5,1,1.488031452150174,0.0042921310444825524,0.0042921310444825524,8.538691987445645
irrigado,1092,2,0.07407407407407407,2.5,1,1.4611762453541717,0.004350418587689974,0.004350418587689974,8.360998353871146
irrigado,1664,2,0.07407407407407407,3.0,2,1.4821996909092858,0.0030397723440585894,0.0030397723440585894,8.479083052419352
irrigado,1663,2,0.07407407407407407,3.0,2,1.4327869897800767,0.0027981171799359448,0.0027981171799359448,7.683839744829817
irrigado,2231,1,0.037037037037037035,1.0,1,1.5938658479492422,0.00606866600045892,0.00606866600045892,11.799463966853727
irrigado,1665,1,0.037037037037037035,1.0,1,1.5710696298742381,0.004057143065071172,0.004057143065071172,10.873067672588705
irrigado,1274,1,0.037037037037037035,1.0,1,1.848658175565364,0.00450375049947704,0.00450375049947704,9.859281026265542
irrigado,1238,1,0.037037037037037035,1.0,1,1.6963173398861444,0.0024698880344813184,0.0024698880344813184,9.151981575256567
irrigado,919,1,0.037037037037037035,1.0,1,1.51591539726545,0.005502083077382588,0.005502083077382588,8.687836608279046
irrigado,367,1,0.037037037037037035,1.0,1,1.3432856845762078,0.012411443681064472,0.012411443681064472,8.123328824590747
irrigado,2136,1,0.037037037037037035,1.0,1,1.7463850758037216,0.005005782635579714,0.005005782635579714,7.795856978171274
irrigado,2237,1,0.037037037037037035,1.0,1,1.567239710933942,0.003916476171646759,0.003916476171646759,7.46179921814262
irrigado,363,1,0.037037037037037035,1.0,1,1.446550836082208,0.0024450978856304815,0.0024450978856304815,7.377996629934136
irrigado,992,1,0.037037037037037035,1.0,1,1.5624974134316554,0.002365346835705197,0.002365346835705197,7.18341230431116
irrigado,2230,1,0.037037037037037035,2.0,2,1.5544718986892059,0.005678071812744355,0.005678071812744355,10.960474395568923
