interval_label,threshold,rank,region_start,region_end,n_bands_csv,n_bands_used,best_components,rmsecv,r2cv,auc,accuracy,top_vip_band,top_vip,top_abs_coef_band,top_abs_coef,top_positive_band,top_positive_coef,top_negative_band,top_negative_coef,fit_mean_pred
thr_1em05_rank_05_1310_1470,1e-05,5,1310,1470,161,161,15,0.31099090268248486,0.613136570402256,0.9498434566478922,0.8845265588914549,1438,1.2397540229995094,1381,0.39121611476416934,1381,0.39121611476416934,1373,-0.34432073342065006,0.5011547344110856
thr_0p01_rank_05_1280_1471,0.01,5,1280,1471,192,192,15,0.31131609290904494,0.6123270934732472,0.9494207629288274,0.8862586605080831,1438,1.3016020438492637,1373,0.26316359414687307,1381,0.19961717170113785,1373,-0.26316359414687307,0.5011547344110855
thr_0p05_rank_05_1279_1472,0.05,5,1279,1472,194,194,15,0.3111005720433388,0.612863671449006,0.9493647593445981,0.8856812933025404,1438,1.3031983668466465,1373,0.24185616283599787,1285,0.19463287241996935,1373,-0.24185616283599787,0.5011547344110855
thr_0p0001_rank_05_1306_1470,0.0001,5,1306,1470,165,165,15,0.3114965198439397,0.6118776023928894,0.949292754736303,0.8851039260969977,1438,1.2500855927462176,1381,0.3580956308397774,1381,0.3580956308397774,1373,-0.3338199233645247,0.5011547344110855
thr_0p001_rank_05_1281_1471,0.001,5,1281,1471,191,191,14,0.3117974790962209,0.6111272540073069,0.9489980692097628,0.8856812933025404,1438,1.2911122007203153,1373,0.24402123318516306,1445,0.16534208741841908,1373,-0.24402123318516306,0.5011547344110855
thr_0p001_rank_04_1477_1678,0.001,4,1477,1678,202,202,10,0.327281120173202,0.5715459882905676,0.9432950375490697,0.8735565819861432,1653,1.241263391197822,1574,0.09164454508834873,1532,0.0727143675625412,1574,-0.09164454508834873,0.5011547344110855
thr_1em05_rank_04_1478_1677,1e-05,4,1478,1677,200,200,10,0.3273993477708037,0.571236381443547,0.9432750362689879,0.874133949191686,1654,1.2408992007564623,1478,0.0997561068483121,1532,0.07229433140577825,1478,-0.0997561068483121,0.5011547344110855
thr_0p01_rank_03_1476_1679,0.01,3,1476,1679,204,204,10,0.32725317980316687,0.5716191404029032,0.9432683691756274,0.8724018475750578,1653,1.2426809995635943,1574,0.09150338861371396,1532,0.07345481467269438,1574,-0.09150338861371396,0.5011547344110855
thr_0p0001_rank_04_1477_1677,0.0001,4,1477,1677,201,201,10,0.32729741810455054,0.5715033149586468,0.9432577018262502,0.8729792147806005,1654,1.2408677883366404,1574,0.09163043346219374,1532,0.07278213311809931,1574,-0.09163043346219374,0.5011547344110855
thr_0p05_rank_03_1476_1680,0.05,3,1476,1680,205,205,10,0.3272473282101565,0.5716344599670042,0.9432403673835125,0.8724018475750578,1653,1.2448519990031157,1574,0.0914502512186851,1532,0.07361653425992969,1574,-0.0914502512186851,0.5011547344110855
thr_0p01_rank_02_2017_2238,0.01,2,2017,2238,222,222,10,0.32459332110870087,0.5785544557250524,0.9382147124082608,0.878175519630485,2211,1.239556984709387,2044,0.05582803195943423,2111,0.043741723897503824,2044,-0.05582803195943423,0.5011547344110855
thr_0p001_rank_02_2018_2238,0.001,2,2018,2238,221,221,10,0.32466934156693183,0.578357025691515,0.9381733764294248,0.8787528868360277,2211,1.2413615079665934,2044,0.05583612588195835,2111,0.043651797079389355,2044,-0.05583612588195835,0.5011547344110855
thr_0p0001_rank_02_2019_2237,0.0001,2,2019,2237,219,219,10,0.3247649905516114,0.5781085534283191,0.9380627026796382,0.8770207852193995,2211,1.2402036668505338,2044,0.05558193981832388,2111,0.04332749305805271,2044,-0.05558193981832388,0.5011547344110855
