wavelength,vip,coefficient,abs_coefficient,mean_irrigated,mean_non_irrigated,mean_diff,cohen_d,abs_cohen_d,p_value,q_value,neg_log10_q,combined_score,direction_label
350,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,nan,irrigado
351,0.5453941687,0.0017403426,0.0017403426,-0.0035745040,-0.0029088314,-0.0006656726,-0.1268254881,0.1268254881,8.3712730622e-03,9.3308432628e-03,2.0300791057,-4.4533119971,nao_irrigado
352,0.6546976405,-0.0027981539,0.0027981539,-0.0071932561,-0.0057865027,-0.0014067533,-0.1886772631,0.1886772631,8.9335229913e-05,1.0502265267e-04,3.9787170165,-3.7049044284,nao_irrigado
353,0.7006664078,-0.0029181029,0.0029181029,-0.0100146922,-0.0080443993,-0.0019702929,-0.2179568592,0.2179568592,6.1087327388e-06,7.3875445445e-06,5.1314998874,-3.3771342947,nao_irrigado
354,0.7619823489,-0.0017665356,0.0017665356,-0.0117513158,-0.0095878168,-0.0021634989,-0.2173747313,0.2173747313,6.4642758502e-06,7.8087289500e-06,5.1074196518,-3.0538640284,nao_irrigado
355,0.8691044577,-0.0008213338,0.0008213338,-0.0128524949,-0.0104716021,-0.0023808928,-0.2572107642,0.2572107642,9.7757208549e-08,1.2221072785e-07,6.9128906694,-2.3674493695,nao_irrigado
356,0.8615512626,0.0031073830,0.0031073830,-0.0130900917,-0.0104795306,-0.0026105611,-0.3182590861,0.3182590861,4.6558962579e-11,6.1308339818e-11,10.2124804441,-2.2161443463,nao_irrigado
357,0.8141899073,0.0016735149,0.0016735149,-0.0132404240,-0.0104948564,-0.0027455676,-0.3653255704,0.3653255704,4.7421406191e-14,6.5034206704e-14,13.1868581530,-2.3120003688,nao_irrigado
358,0.8483249152,0.0053993378,0.0053993378,-0.0128466091,-0.0101982343,-0.0026483747,-0.3749440198,0.3749440198,1.0383391268e-14,1.4461379025e-14,13.8397902911,-2.0985844336,nao_irrigado
359,0.8269262309,0.0092933374,0.0092933374,-0.0127565075,-0.0101094360,-0.0026470715,-0.4227381300,0.4227381300,3.3227610005e-18,4.9691116145e-18,17.3037212482,-2.0465755570,nao_irrigado
360,0.7943841606,-0.0032715932,0.0032715932,-0.0127788950,-0.0100421582,-0.0027367367,-0.4748153346,0.4748153346,1.9832161882e-22,3.1948512656e-22,21.4955493554,-2.0313948501,nao_irrigado
361,0.7610334069,-0.0099050240,0.0099050240,-0.0127250344,-0.0099513931,-0.0027736413,-0.4926817116,0.4926817116,5.6299572182e-24,9.3139169067e-24,23.0308676409,-2.1420463063,nao_irrigado
362,0.6769201582,0.0089496612,0.0089496612,-0.0125415869,-0.0097975123,-0.0027440746,-0.5034842873,0.5034842873,6.1016071605e-25,1.0324688022e-24,23.9861230624,-2.5473865105,nao_irrigado
363,0.6879998874,-0.0027477662,0.0027477662,-0.0127391878,-0.0097776614,-0.0029615264,-0.5757751884,0.5757751884,8.0227999384e-32,1.5380015225e-31,30.8130432346,-2.2103004650,nao_irrigado
