wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
2124,1.1418485490,-0.0023284801,0.0004094222,1.6833918402,4.891646688200e-203,1.752024788800e-201,5.6192014621,irrigado
2125,1.1447638937,-0.0017563527,0.0004094128,1.6861387444,5.315977855200e-203,1.872792854200e-201,5.6401142606,irrigado
2123,1.1393516085,-0.0029471634,0.0004086169,1.6787510821,1.757653211300e-202,5.995550398500e-201,5.5863947449,irrigado
2126,1.1475984127,-0.0009218589,0.0004095466,1.6824387970,1.355340198200e-201,4.550978259300e-200,5.6225078706,irrigado
2122,1.1334277630,-0.0008662487,0.0004076266,1.6678042433,1.352779853800e-200,4.404733190500e-199,5.4980825029,irrigado
2121,1.1308303210,0.0026556207,0.0004076884,1.6608018279,2.225391579300e-199,7.032891917400e-198,5.4477392761,irrigado
2127,1.1517483916,-0.0002940800,0.0004102531,1.6739620884,3.843367888500e-199,1.197014143800e-197,5.5831326123,irrigado
2120,1.1292919620,0.0067017258,0.0004080368,1.6497164672,2.242922474300e-197,6.788789292000e-196,5.3802646779,irrigado
2128,1.1546211994,-0.0006814612,0.0004110971,1.6564239799,3.231707101500e-195,9.513614467200e-194,5.4910177807,irrigado
2119,1.1283764672,0.0098778240,0.0004077146,1.6364288380,5.933486074900e-195,1.723116429000e-193,5.3038522361,irrigado
2118,1.1259825488,0.0123771970,0.0004074353,1.6173391089,1.944519336800e-191,5.498384282700e-190,5.1874799437,irrigado
2129,1.1560835423,-0.0025758748,0.0004116370,1.6309609984,4.621863357200e-190,1.211266384700e-188,5.3528183786,irrigado
2117,1.1263813953,0.0146672001,0.0004070705,1.6025193187,1.065900271000e-188,2.726928193300e-187,5.1095395604,irrigado
2130,1.1603549905,-0.0036685229,0.0004122722,1.6070632917,3.250335931100e-185,7.848283051600e-184,5.2381158337,irrigado
2116,1.1255834727,0.0168005424,0.0004066790,1.5823052967,5.773078855300e-185,1.378482940000e-183,4.9956355380,irrigado
1653,1.4119435686,0.0020229696,0.0001786175,1.5718552578,1.341040121600e-182,3.166917825600e-181,6.4486742520,irrigado
1654,1.4421700899,0.0017438318,0.0001761340,1.5624596437,9.518547526200e-181,2.153195645700e-179,6.5559239513,irrigado
2115,1.1219243406,0.0176481904,0.0004066062,1.5593108336,1.039030915800e-180,2.325913997900e-179,4.8512331289,irrigado
1652,1.3658062069,-0.0013469905,0.0001808238,1.5593458412,2.127355399100e-180,4.664986482300e-179,6.1384787064,irrigado
2131,1.1645587721,-0.0056382934,0.0004127696,1.5812490798,3.609195484300e-180,7.788260291500e-179,5.1156014366,irrigado
1655,1.4524618762,0.0034571080,0.0001730269,1.5431444838,4.940043224600e-177,1.011062180000e-175,6.5033170607,irrigado
2114,1.1175379743,0.0180167570,0.0004076677,1.5354870215,2.671932367900e-176,5.366338933300e-175,4.6987617081,irrigado
2132,1.1705915141,-0.0109484056,0.0004111898,1.5501971785,1.839099083600e-174,3.560562099700e-173,4.9796177120,irrigado
1651,1.3103901175,-0.0121948362,0.0001817647,1.5117632347,6.885583514900e-172,1.243455375900e-170,5.5918044041,irrigado
2113,1.1132959945,0.0180012453,0.0004089160,1.5116128517,7.034467897700e-172,1.259755959300e-170,4.5468124945,irrigado
1656,1.4323572271,0.0014947164,0.0001690864,1.5077088176,2.039449874200e-170,3.563233967100e-169,6.2035387061,irrigado
2133,1.1759581091,-0.0147352717,0.0004092869,1.5195383375,5.143024798100e-169,8.634656477400e-168,4.8458431713,irrigado
2112,1.1086852899,0.0171526374,0.0004103516,1.4877134770,1.861527781200e-167,3.077248616800e-166,4.3925479512,irrigado
2134,1.1767317006,-0.0138364841,0.0004086989,1.5067320470,1.086836399800e-166,1.782909483400e-165,4.7810198139,irrigado
1646,1.2760341120,0.0134973985,0.0001949864,1.4811375770,1.246649081300e-166,2.029582481600e-165,5.2506295076,irrigado
1647,1.2763030592,0.0077910264,0.0001918276,1.4796808936,2.303357071900e-166,3.721740110900e-165,5.2442145532,irrigado
1657,1.4537103712,0.0034042476,0.0001658015,1.4838718242,6.455630568600e-166,1.035309708400e-164,6.1856770629,irrigado
1650,1.2864923461,-0.0169544572,0.0001833666,1.4733991971,4.179919374600e-165,6.604887306000e-164,5.2623922545,irrigado
2135,1.1757295384,-0.0120042858,0.0004080681,1.4956316523,9.027260098000e-165,1.416027879600e-163,4.7178570767,irrigado
1645,1.2530358153,0.0150646098,0.0001971370,1.4685412392,2.269500360100e-164,3.508745520800e-163,5.0616444260,irrigado
1658,1.5209404356,0.0129891534,0.0001637807,1.4754496971,2.307424166300e-164,3.541896095300e-163,6.4964481258,irrigado
2136,1.1738622848,-0.0076470906,0.0004072078,1.4917513380,4.727920821300e-164,7.205887833300e-163,4.6869848462,irrigado
1648,1.2620752966,-0.0040348481,0.0001889143,1.4637970918,1.703991227600e-163,2.578786724000e-162,5.0838647595,irrigado
2137,1.1748030574,-0.0028943361,0.0004062783,1.4862316058,4.287590485900e-163,6.443378988900e-162,4.6630855137,irrigado
1644,1.2508988174,0.0162434883,0.0001997960,1.4601654759,7.188060777000e-163,1.072718236800e-161,5.0057492808,irrigado
2111,1.1058842522,0.0172275125,0.0004115748,1.4613733428,1.155010178500e-162,1.700080050400e-161,4.2362773578,irrigado
1649,1.2712730173,-0.0128574029,0.0001864115,1.4592543163,1.197838795800e-162,1.751126239500e-161,5.1079713478,irrigado
2138,1.1781190081,-0.0022029722,0.0004046792,1.4767643234,1.965319471800e-161,2.853696989700e-160,4.6308602328,irrigado
1659,1.5599149139,0.0156063272,0.0001622806,1.4576342588,3.818959777200e-161,5.471296374200e-160,6.6076822732,irrigado
1643,1.2431930626,0.0127653009,0.0002027285,1.4413231112,1.687574488800e-159,2.354933491100e-158,4.8646446716,irrigado
2139,1.1770779839,-0.0008355860,0.0004028647,1.4620307636,6.081729140100e-159,8.271921469700e-158,4.5496139277,irrigado
2110,1.0954706301,0.0158444360,0.0004113925,1.4279083120,1.107582027800e-156,1.451337669400e-155,4.0030700083,irrigado
2140,1.1749341418,0.0011166286,0.0004009417,1.4471733921,1.687573610500e-156,2.197936781200e-155,4.4629239148,irrigado
1660,1.5902408821,0.0126645490,0.0001602991,1.4297926393,4.396980844500e-156,5.624471330300e-155,6.6189286746,irrigado
1642,1.2359507456,0.0125698006,0.0002052550,1.4159301976,5.607924981400e-155,7.131024133200e-154,4.6915290016,irrigado
2141,1.1738569487,0.0030853082,0.0003990177,1.4325793935,4.213524430100e-154,5.326390588400e-153,4.3831693080,irrigado
2142,1.1732501265,0.0048448851,0.0003968039,1.4199654067,5.951560848400e-152,7.350519691500e-151,4.3145527261,irrigado
2109,1.0826520086,0.0133855314,0.0004111295,1.3935315802,1.359846780300e-150,1.669891846200e-149,3.7528338904,irrigado
1661,1.6068719174,0.0105176771,0.0001568959,1.3964421004,4.980555560800e-150,6.081371534200e-149,6.5274819097,irrigado
1641,1.2326928179,0.0166998316,0.0002076374,1.3861285343,1.054327447600e-149,1.280084567700e-148,4.5162281561,irrigado
