wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
1924,1.2793988868,0.0013222923,-0.0005657202,-1.9937255058,1.008502990900e-261,2.167272927500e-258,8.0327963516,nao_irrigado
1925,1.2407785342,-0.0000852319,-0.0005794173,-1.9737494814,3.945515593800e-257,4.239456505600e-254,7.7085328451,nao_irrigado
1923,1.3148501309,0.0017206973,-0.0005495084,-1.9496079354,1.767261600600e-252,1.265948393200e-249,7.9691965372,nao_irrigado
1926,1.2030034631,-0.0006942122,-0.0005906294,-1.9071574065,1.687064302000e-242,9.063752962700e-240,7.1092624721,nao_irrigado
1430,1.3574309308,-0.0017139960,-0.0010397674,-1.8955089432,1.582608105100e-240,6.802049635800e-238,7.8690939613,nao_irrigado
1431,1.3550602345,-0.0008844548,-0.0010268935,-1.8941733416,2.583789275900e-240,9.254271923100e-238,7.8512524462,nao_irrigado
1429,1.3594343382,-0.0021952738,-0.0010500215,-1.8940449776,3.375363565200e-240,1.036236614500e-237,7.8732838884,nao_irrigado
1428,1.3613801823,-0.0027715375,-0.0010576921,-1.8934491622,5.474335714700e-240,1.399365790100e-237,7.8799858925,nao_irrigado
1432,1.3525526404,-0.0003399521,-0.0010115541,-1.8920122435,5.860536115100e-240,1.399365790100e-237,7.8300756338,nao_irrigado
1427,1.3630282245,-0.0033186394,-0.0010626640,-1.8934627205,6.535973000600e-240,1.404580597800e-237,7.8887210661,nao_irrigado
1433,1.3498958145,0.0000151974,-0.0009947664,-1.8889001229,1.917089812900e-239,3.745296370900e-237,7.8016403063,nao_irrigado
1426,1.3640022684,-0.0034101148,-0.0010657002,-1.8907849156,2.316591340200e-239,4.148628991800e-237,7.8797142082,nao_irrigado
1434,1.3467998130,-0.0008944978,-0.0009767973,-1.8850794932,8.088030746200e-239,1.337013698000e-236,7.7671170402,nao_irrigado
1425,1.3647469655,-0.0036973761,-0.0010663596,-1.8869388077,1.433818915500e-238,2.200912035300e-236,7.8624384994,nao_irrigado
1435,1.3437288601,-0.0022822418,-0.0009560991,-1.8810350499,3.861869105500e-238,5.532771138500e-236,7.7311015349,nao_irrigado
1424,1.3653247299,-0.0039464766,-0.0010650308,-1.8814350969,1.770595831200e-237,2.238241436000e-235,7.8356588912,nao_irrigado
1436,1.3412777267,-0.0028670461,-0.0009336716,-1.8773231632,1.686650911200e-237,2.238241436000e-235,7.6992690013,nao_irrigado
1437,1.3392748932,-0.0036370665,-0.0009094171,-1.8731518614,8.841929065800e-237,1.055628086800e-234,7.6676308259,nao_irrigado
1423,1.3657484919,-0.0034821614,-0.0010617599,-1.8744402088,4.048715789500e-236,4.579310648200e-234,7.7994337257,nao_irrigado
1438,1.3369668909,-0.0045371698,-0.0008821963,-1.8661926329,1.510466260800e-235,1.622995997300e-233,7.6192065928,nao_irrigado
1422,1.3661546986,-0.0030288460,-0.0010555436,-1.8701816926,2.936493408200e-235,3.005011587800e-233,7.7778287316,nao_irrigado
1421,1.3661728043,-0.0028101256,-0.0010480417,-1.8682900858,7.081602723900e-235,6.917438297100e-233,7.7673862943,nao_irrigado
1420,1.3659841240,-0.0020889666,-0.0010398229,-1.8663963782,1.530494438600e-234,1.430014151500e-232,7.7566718637,nao_irrigado
1439,1.3342433908,-0.0052663876,-0.0008546390,-1.8573640474,5.378613975900e-234,4.816100597600e-232,7.5594478602,nao_irrigado
1419,1.3660167884,-0.0006821467,-0.0010299507,-1.8627689611,6.222704172000e-234,5.349036506200e-232,7.7387904339,nao_irrigado
1418,1.3660219580,0.0008325941,-0.0010200564,-1.8562945594,7.344063177400e-233,6.070150680100e-231,7.7060198143,nao_irrigado
1440,1.3319449384,-0.0063903567,-0.0008268430,-1.8484542412,1.884011498700e-232,1.499533596500e-230,7.5013946756,nao_irrigado
1417,1.3644371677,0.0020111545,-0.0010104715,-1.8506537931,5.050955316100e-232,3.876608205100e-230,7.6710651924,nao_irrigado
1416,1.3611448388,0.0033235624,-0.0010006252,-1.8439037419,3.923843215000e-231,2.907703127200e-229,7.6234087833,nao_irrigado
1441,1.3285192254,-0.0067259599,-0.0007969049,-1.8360382246,3.173104059900e-230,2.273000208200e-228,7.4175460928,nao_irrigado
1922,1.3427583198,0.0020212389,-0.0005312506,-1.8351858669,9.773744179000e-230,6.656841525900e-228,7.4828781515,nao_irrigado
487,1.2180133956,-0.0034120213,-0.0006771510,-1.8290763733,9.912467604900e-230,6.656841525900e-228,6.8084614357,nao_irrigado
1415,1.3579937757,0.0049851662,-0.0009914529,-1.8298461383,4.891899246100e-229,3.185664084800e-227,7.5399458893,nao_irrigado
486,1.2251729118,-0.0017061428,-0.0006570064,-1.8302813570,5.747492631200e-228,3.632753430700e-226,6.8182139946,nao_irrigado
1442,1.3232915095,-0.0052210838,-0.0007654751,-1.8210233607,1.726530374800e-227,1.030642715400e-225,7.3100521513,nao_irrigado
488,1.2095920961,-0.0008682853,-0.0007011731,-1.8117684526,1.697382088400e-227,1.030642715400e-225,6.6873322771,nao_irrigado
1414,1.3543148582,0.0069561098,-0.0009843449,-1.8074813633,1.797285734600e-225,1.043882984800e-223,7.4094343326,nao_irrigado
1443,1.3190485501,-0.0034008056,-0.0007334795,-1.8077379369,4.108204701800e-225,2.323297869500e-223,7.2169235623,nao_irrigado
485,1.2315602447,0.0032266641,-0.0006388184,-1.8210350604,2.542372502500e-224,1.400912437900e-222,6.7683347427,nao_irrigado
1927,1.1685165842,-0.0010141163,-0.0006006792,-1.8190816613,8.321173719300e-224,4.470550580700e-222,6.4210251747,nao_irrigado
489,1.1983088438,-0.0021231377,-0.0007309963,-1.7928307114,9.046679670400e-224,4.741784051600e-222,6.5213596595,nao_irrigado
1444,1.3155827435,-0.0016354257,-0.0007003253,-1.7929834633,1.695450551200e-222,8.675055320100e-221,7.1208300485,nao_irrigado
484,1.2407034574,0.0078509680,-0.0006226988,-1.8197645339,5.415395431600e-222,2.706438321500e-220,6.7734760774,nao_irrigado
490,1.1958001006,-0.0085638734,-0.0007649216,-1.7845128748,6.030889336500e-221,2.945541178200e-219,6.4404190557,nao_irrigado
1413,1.3491310268,0.0089601311,-0.0009800397,-1.7735186572,9.306968538500e-220,4.444594530900e-218,7.2082207641,nao_irrigado
1445,1.3124899963,-0.0012662716,-0.0006677140,-1.7760432721,1.702073813600e-219,7.951644838100e-218,7.0150402358,nao_irrigado
483,1.2491215533,0.0103852682,-0.0006086790,-1.8119209825,2.254339177200e-218,1.030760615300e-216,6.7375070694,nao_irrigado
1446,1.3097985990,-0.0016984699,-0.0006355835,-1.7575214722,3.339020701700e-216,1.494907393300e-214,6.9024026924,nao_irrigado
491,1.1887353056,-0.0094884605,-0.0007971362,-1.7609084316,7.504718967800e-215,3.291355318700e-213,6.2443363871,nao_irrigado
1447,1.3079145971,-0.0018836750,-0.0006035938,-1.7372848113,1.463630460600e-212,6.290683719600e-211,6.7841062373,nao_irrigado
1412,1.3415770882,0.0102074545,-0.0009784187,-1.7250508496,3.339417238900e-211,1.407138754200e-209,6.9119562815,nao_irrigado
479,1.2396204892,-0.0126253471,-0.0005815432,-1.7983608162,4.007478648600e-211,1.656167618400e-209,6.5298249536,nao_irrigado
482,1.2525178979,0.0109720993,-0.0005963638,-1.7726566134,1.224372694500e-209,4.964484755600e-208,6.5160657094,nao_irrigado
480,1.2270853727,-0.0064030665,-0.0005808596,-1.7820295216,6.686124442400e-209,2.660829893900e-207,6.3887326805,nao_irrigado
478,1.2318370684,-0.0071173607,-0.0005761535,-1.7858192721,3.592458945400e-208,1.378606120300e-206,6.4094864462,nao_irrigado
1448,1.3056150947,-0.0020115822,-0.0005714636,-1.7130415635,3.543352888600e-208,1.378606120300e-206,6.6421787406,nao_irrigado
481,1.2306099454,0.0042756893,-0.0005855462,-1.7611235470,2.972367713900e-206,1.120634774900e-204,6.3153777593,nao_irrigado
1928,1.1386257143,-0.0008064046,-0.0006091103,-1.7227825944,1.957227610800e-204,7.251865751200e-203,5.7123457326,nao_irrigado
492,1.1646233390,-0.0040312680,-0.0008339121,-1.7068559699,2.491130782000e-203,9.073627204400e-202,5.7960162315,nao_irrigado
1449,1.3026051009,-0.0014093825,-0.0005382203,-1.6835732919,7.456991855000e-203,2.584689596200e-201,6.4685822043,nao_irrigado
477,1.2254981439,-0.0028669349,-0.0005687760,-1.7532844690,2.878609397900e-201,9.517125532600e-200,6.1837945617,nao_irrigado
1411,1.3297271261,0.0109540450,-0.0009800059,-1.6643963013,4.019350986700e-200,1.289191831400e-198,6.5227476573,nao_irrigado
1921,1.3590140201,0.0022882178,-0.0005117554,-1.6622351870,1.727265985700e-197,5.302706576000e-196,6.6268876553,nao_irrigado
1450,1.2999632326,-0.0019292189,-0.0005057480,-1.6512936727,4.922723002900e-197,1.469296074100e-195,6.2822752608,nao_irrigado
476,1.2167726666,-0.0040768843,-0.0005635735,-1.7084999585,1.042840559100e-192,2.988085815200e-191,5.8893978311,nao_irrigado
475,1.2205155054,-0.0060693369,-0.0005616365,-1.7061945523,2.016930953000e-191,5.629070932400e-190,5.8816004978,nao_irrigado
493,1.1448193977,0.0012488128,-0.0008754288,-1.6473341216,3.234390483200e-191,8.911160446600e-190,5.3488422146,nao_irrigado
2281,1.5313824806,-0.0084073444,-0.0002908853,-1.6160672057,3.319599079800e-191,9.030149901800e-190,7.3294397807,nao_irrigado
2280,1.6419253399,-0.0121331362,-0.0003219987,-1.6171442115,3.374367274500e-191,9.064394091100e-190,7.9176113549,nao_irrigado
1451,1.2976665399,-0.0043695495,-0.0004747569,-1.6137190043,2.872401980500e-190,7.620730686600e-189,6.0692457917,nao_irrigado
474,1.2140574764,-0.0036919030,-0.0005596910,-1.6940889850,2.815430871200e-189,7.289591496600e-188,5.7835694808,nao_irrigado
473,1.2087707184,-0.0037106193,-0.0005586246,-1.6895025508,2.722718592200e-188,6.883673240900e-187,5.7282753272,nao_irrigado
472,1.2128925730,-0.0049043096,-0.0005569045,-1.6925835032,6.618441274600e-188,1.653840732500e-186,5.7500696944,nao_irrigado
1410,1.3142814858,0.0116123842,-0.0009847068,-1.5936881191,6.161156031900e-187,1.521876357800e-185,6.0551804527,nao_irrigado
1929,1.1128808824,-0.0013296270,-0.0006166157,-1.6280567049,2.352739900300e-186,5.745497779200e-185,5.0523220123,nao_irrigado
494,1.1284579071,0.0016054701,-0.0009190398,-1.6013791417,9.510478428900e-182,2.221523711300e-180,4.9954672349,nao_irrigado
1452,1.2930474754,-0.0056393500,-0.0004449521,-1.5655551030,1.354204940000e-181,3.129232705500e-180,5.7871933030,nao_irrigado
2279,1.6992624471,-0.0142318741,-0.0003486542,-1.5671708898,1.419090343300e-181,3.244282072000e-180,7.9432984786,nao_irrigado
445,1.2003000981,-0.0002091266,-0.0008073024,-1.6161452967,1.091621693800e-180,2.418448474100e-179,5.3899463143,nao_irrigado
444,1.1989375894,-0.0008232690,-0.0008100806,-1.6177057008,3.624132290100e-180,7.788260291500e-179,5.3771097628,nao_irrigado
456,1.2213656333,-0.0119703535,-0.0007029702,-1.6362061216,1.145240884000e-179,2.436755108700e-178,5.5274320844,nao_irrigado
455,1.2184028137,-0.0095873555,-0.0007198832,-1.6317271610,4.827297902200e-179,1.017045411000e-177,5.4909784120,nao_irrigado
447,1.2188607843,0.0031064518,-0.0008051130,-1.6082319673,2.880992710900e-178,6.010925568600e-177,5.4286070597,nao_irrigado
2282,1.3513436561,-0.0028162961,-0.0002556604,-1.5463464838,4.062828770900e-178,8.395210604400e-177,5.9935455649,nao_irrigado
471,1.1936367533,0.0027241401,-0.0005508502,-1.6187679202,7.485298486000e-177,1.517538344000e-175,5.2929694097,nao_irrigado
446,1.2054328176,0.0048782814,-0.0007999375,-1.5891949415,5.614997350200e-176,1.117280491300e-174,5.2757738212,nao_irrigado
448,1.2314844514,0.0108603530,-0.0008067753,-1.5934005878,6.089779137400e-176,1.200636272100e-174,5.4224374174,nao_irrigado
453,1.2016825602,-0.0065172762,-0.0007521649,-1.5907185065,1.142634783400e-174,2.232292863100e-173,5.2361406508,nao_irrigado
457,1.2548124741,-0.0216935756,-0.0006807542,-1.6015461144,2.223279163000e-174,4.265916893900e-173,5.5362845285,nao_irrigado
454,1.2137584997,-0.0106683257,-0.0007318733,-1.5954175822,4.030249673100e-174,7.664607564100e-173,5.3008595152,nao_irrigado
452,1.2084786285,0.0007492866,-0.0007657140,-1.5777775009,4.361554955400e-173,8.221913683400e-172,5.2162232000,nao_irrigado
449,1.2399007880,0.0171618673,-0.0007979828,-1.5703215517,1.074477575200e-172,2.007871573100e-171,5.3596570025,nao_irrigado
1409,1.2962633193,0.0119585957,-0.0009937364,-1.5150219877,3.376689034000e-172,6.255607529400e-171,5.5293165956,nao_irrigado
451,1.2284948279,0.0077956735,-0.0007735030,-1.5701213321,4.553457758000e-172,8.363573266700e-171,5.2877794778,nao_irrigado
495,1.1185647637,0.0041698459,-0.0009684238,-1.5494478979,6.757478600000e-172,1.230662839900e-170,4.6572212409,nao_irrigado
450,1.2214677009,0.0129844213,-0.0007824817,-1.5628097917,9.400054206900e-172,1.669480701700e-170,5.2293064272,nao_irrigado
1453,1.2850492097,-0.0053175058,-0.0004172256,-1.5093269948,1.690037960400e-171,2.976960308900e-170,5.4454764993,nao_irrigado
1930,1.0913633486,-0.0013927675,-0.0006233928,-1.5383802573,4.655866421000e-170,8.068916886000e-169,4.4567553929,nao_irrigado
2278,1.7129955474,-0.0138278757,-0.0003685922,-1.5041170612,1.077944732600e-169,1.853202584200e-168,7.6703565361,nao_irrigado
443,1.1832964855,0.0049782337,-0.0008042862,-1.5577740474,1.148106207400e-169,1.958158920400e-168,4.9793433298,nao_irrigado
458,1.3090551948,-0.0315720917,-0.0006678064,-1.5699543557,2.785468946100e-169,4.713364382100e-168,5.6655718779,nao_irrigado
459,1.2661366421,-0.0228673474,-0.0006480717,-1.5610528383,5.775251178600e-168,9.620941692100e-167,5.3955102481,nao_irrigado
460,1.2151254694,-0.0117839461,-0.0006232941,-1.5454375462,1.240785631200e-165,1.975146904800e-164,5.0501704607,nao_irrigado
470,1.1729176748,0.0033242102,-0.0005473497,-1.5399833833,1.392277516100e-164,2.168119117400e-163,4.7961540596,nao_irrigado
496,1.1067638246,0.0071149007,-0.0010219379,-1.4984507844,9.283361586000e-163,1.375858210200e-161,4.3232262319,nao_irrigado
