wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
1924,1.2793988868,0.0013222923,-0.0005657202,-1.9937255058,1.0085029909e-261,2.1672729275e-258,8.0327963516,nao_irrigado
1925,1.2407785342,-8.52319e-05,-0.0005794173,-1.9737494814,3.9455155938e-257,4.2394565056e-254,7.7085328451,nao_irrigado
1923,1.3148501309,0.0017206973,-0.0005495084,-1.9496079354,1.7672616006e-252,1.2659483932e-249,7.9691965372,nao_irrigado
1926,1.2030034631,-0.0006942122,-0.0005906294,-1.9071574065,1.687064302e-242,9.0637529627e-240,7.1092624721,nao_irrigado
1430,1.3574309308,-0.001713996,-0.0010397674,-1.8955089432,1.5826081051e-240,6.8020496358e-238,7.8690939613,nao_irrigado
1431,1.3550602345,-0.0008844548,-0.0010268935,-1.8941733416,2.5837892759e-240,9.2542719231e-238,7.8512524462,nao_irrigado
1429,1.3594343382,-0.0021952738,-0.0010500215,-1.8940449776,3.3753635652e-240,1.0362366145e-237,7.8732838884,nao_irrigado
1428,1.3613801823,-0.0027715375,-0.0010576921,-1.8934491622,5.4743357147e-240,1.3993657901e-237,7.8799858925,nao_irrigado
1432,1.3525526404,-0.0003399521,-0.0010115541,-1.8920122435,5.8605361151e-240,1.3993657901e-237,7.8300756338,nao_irrigado
1427,1.3630282245,-0.0033186394,-0.001062664,-1.8934627205,6.5359730006e-240,1.4045805978e-237,7.8887210661,nao_irrigado
1433,1.3498958145,1.51974e-05,-0.0009947664,-1.8889001229,1.9170898129e-239,3.7452963709e-237,7.8016403063,nao_irrigado
1426,1.3640022684,-0.0034101148,-0.0010657002,-1.8907849156,2.3165913402e-239,4.1486289918e-237,7.8797142082,nao_irrigado
1434,1.346799813,-0.0008944978,-0.0009767973,-1.8850794932,8.0880307462e-239,1.337013698e-236,7.7671170402,nao_irrigado
1425,1.3647469655,-0.0036973761,-0.0010663596,-1.8869388077,1.4338189155e-238,2.2009120353e-236,7.8624384994,nao_irrigado
1435,1.3437288601,-0.0022822418,-0.0009560991,-1.8810350499,3.8618691055e-238,5.5327711385e-236,7.7311015349,nao_irrigado
1424,1.3653247299,-0.0039464766,-0.0010650308,-1.8814350969,1.7705958312e-237,2.238241436e-235,7.8356588912,nao_irrigado
1436,1.3412777267,-0.0028670461,-0.0009336716,-1.8773231632,1.6866509112e-237,2.238241436e-235,7.6992690013,nao_irrigado
1437,1.3392748932,-0.0036370665,-0.0009094171,-1.8731518614,8.8419290658e-237,1.0556280868e-234,7.6676308259,nao_irrigado
1423,1.3657484919,-0.0034821614,-0.0010617599,-1.8744402088,4.0487157895e-236,4.5793106482e-234,7.7994337257,nao_irrigado
1438,1.3369668909,-0.0045371698,-0.0008821963,-1.8661926329,1.5104662608e-235,1.6229959973e-233,7.6192065928,nao_irrigado
1422,1.3661546986,-0.003028846,-0.0010555436,-1.8701816926,2.9364934082e-235,3.0050115878e-233,7.7778287316,nao_irrigado
1421,1.3661728043,-0.0028101256,-0.0010480417,-1.8682900858,7.0816027239e-235,6.9174382971e-233,7.7673862943,nao_irrigado
1420,1.365984124,-0.0020889666,-0.0010398229,-1.8663963782,1.5304944386e-234,1.4300141515e-232,7.7566718637,nao_irrigado
1439,1.3342433908,-0.0052663876,-0.000854639,-1.8573640474,5.3786139759e-234,4.8161005976e-232,7.5594478602,nao_irrigado
1419,1.3660167884,-0.0006821467,-0.0010299507,-1.8627689611,6.222704172e-234,5.3490365062e-232,7.7387904339,nao_irrigado
1418,1.366021958,0.0008325941,-0.0010200564,-1.8562945594,7.3440631774e-233,6.0701506801e-231,7.7060198143,nao_irrigado
1440,1.3319449384,-0.0063903567,-0.000826843,-1.8484542412,1.8840114987e-232,1.4995335965e-230,7.5013946756,nao_irrigado
1417,1.3644371677,0.0020111545,-0.0010104715,-1.8506537931,5.0509553161e-232,3.8766082051e-230,7.6710651924,nao_irrigado
1416,1.3611448388,0.0033235624,-0.0010006252,-1.8439037419,3.923843215e-231,2.9077031272e-229,7.6234087833,nao_irrigado
1441,1.3285192254,-0.0067259599,-0.0007969049,-1.8360382246,3.1731040599e-230,2.2730002082e-228,7.4175460928,nao_irrigado
