wavelength,kruskal_h,kruskal_p,pearson_r,pearson_p,spearman_r,spearman_p,direction
491,881.2638076835,1.1611579146e-193,-0.6610340376,4.7288573303e-218,-0.7135171782,1.3583299010e-269,nao_irrigado
490,875.8182420409,1.7730613729e-192,-0.6659794577,1.8497697384e-222,-0.7113092549,3.4208028749e-267,nao_irrigado
487,869.3976355491,4.4109778627e-191,-0.6750819759,8.4866360584e-231,-0.7086971617,2.2163315019e-264,nao_irrigado
488,865.7465932038,2.7432184132e-190,-0.6715825969,1.4779621682e-227,-0.7072075064,8.6111954238e-263,nao_irrigado
489,864.4465292957,5.2588557213e-190,-0.6677015168,5.1563362609e-224,-0.7066763115,3.1579890771e-262,nao_irrigado
1925,861.0934921555,2.8173187699e-189,-0.7026249177,5.7843357525e-258,-0.7053044429,8.9339299493e-261,nao_irrigado
492,860.8341011701,3.2079478271e-189,-0.6493768955,5.4801518419e-208,-0.7051982039,1.1563992505e-260,nao_irrigado
486,859.1602782232,7.4150654793e-189,-0.6753239228,5.0465880603e-231,-0.7045122696,6.1017140651e-260,nao_irrigado
1924,856.4922987154,2.8192473301e-188,-0.7061985773,1.0136249848e-261,-0.7034175461,8.5895205291e-259,nao_irrigado
1926,840.5269757138,8.3374903934e-185,-0.6903173919,1.9016081778e-245,-0.6968307292,5.4257776125e-252,nao_irrigado
485,835.7200002497,9.2490958833e-184,-0.6734617812,2.7216487426e-229,-0.6948352839,5.7302547348e-250,nao_irrigado
493,831.0376074109,9.6401794030e-183,-0.6359883650,5.8026107784e-197,-0.6928860295,5.2363711131e-248,nao_irrigado
1923,828.1592697062,4.0724879403e-182,-0.6982339576,2.0013046008e-253,-0.6916850671,8.3051644592e-247,nao_irrigado
484,826.7938085048,8.0672107805e-182,-0.6732048988,4.7069574761e-229,-0.6911146100,3.0720894302e-246,nao_irrigado
483,820.2035402649,2.1853226284e-180,-0.6716136340,1.3839311950e-227,-0.6883547059,1.6491267230e-243,nao_irrigado
