wavelength,PC1_loading,PC2_loading
350,-0.0000000000,0.0000000000
351,0.0081429612,0.1229369958
352,0.0157401687,0.2106141920
353,0.0166742025,0.2788175524
354,0.0101678008,0.3320337608
355,0.0071302788,0.3321574283
356,0.0095603510,0.2903321764
357,0.0087085318,0.2192411902
358,0.0009598927,0.1740303596
359,-0.0006453290,0.1185699421
360,0.0039803331,0.0749399420
361,0.0097512673,0.0499133220
362,0.0118080690,0.0375845375
363,0.0135855991,0.0278676061
364,0.0140818334,0.0275215664
365,0.0124065178,0.0453009925
366,0.0105637961,0.0718109214
367,0.0120683241,0.0729309094
368,0.0137636565,0.0720917267
369,0.0127098987,0.0896368072
370,0.0129378789,0.0968933166
371,0.0165923636,0.0984558581
372,0.0203252108,0.0972135682
373,0.0206797097,0.0925472273
374,0.0198839616,0.0957365147
375,0.0191015558,0.0948598749
376,0.0183548126,0.0893690032
377,0.0166025607,0.0902295089
378,0.0137038790,0.0914297078
379,0.0119241598,0.0900164408
380,0.0116178888,0.0883365364
381,0.0104573434,0.0907630581
382,0.0112328643,0.0883965675
383,0.0127611647,0.0815042184
384,0.0131557100,0.0760157647
385,0.0137871374,0.0753254386
386,0.0141873265,0.0733550198
387,0.0141729026,0.0704471710
388,0.0139549633,0.0701966757
389,0.0130946703,0.0696231627
390,0.0126092103,0.0654310411
391,0.0126111867,0.0585655756
392,0.0119287109,0.0545269007
393,0.0111008223,0.0524411493
394,0.0110305876,0.0501530727
395,0.0114231446,0.0478166550
396,0.0106155904,0.0499215550
397,0.0096083231,0.0464342393
398,0.0087888687,0.0408347553
399,0.0080211968,0.0408990167
400,0.0073646240,0.0388512632
401,0.0069462095,0.0371221391
402,0.0067860037,0.0365766025
403,0.0066021601,0.0355406948
404,0.0053744017,0.0354408166
405,0.0049697662,0.0353918402
406,0.0059310045,0.0356661207
407,0.0053508201,0.0382448230
408,0.0045030818,0.0346441347
409,0.0040543144,0.0297202960
410,0.0037238077,0.0316663385
411,0.0029097884,0.0320382664
412,0.0022905911,0.0333163578
413,0.0023922744,0.0351824816
414,0.0031415308,0.0340207213
415,0.0032815282,0.0336133395
416,0.0035725226,0.0326437084
417,0.0043307566,0.0305776660
418,0.0041368255,0.0302500550
419,0.0036695193,0.0276670340
420,0.0035989021,0.0245434840
421,0.0039168015,0.0241514951
422,0.0033862013,0.0235909675
423,0.0026704165,0.0245913567
424,0.0023709905,0.0263129600
425,0.0024648600,0.0259616837
426,0.0022308984,0.0263231363
427,0.0022142854,0.0263160723
428,0.0026534469,0.0249640543
429,0.0028498590,0.0234784865
430,0.0028963689,0.0222550373
431,0.0028882786,0.0215778687
432,0.0028740424,0.0213835041
433,0.0028644266,0.0203376632
434,0.0028511984,0.0200098638
435,0.0029507216,0.0202968634
436,0.0032274722,0.0197592876
437,0.0031392199,0.0205826023
438,0.0031949296,0.0215824843
439,0.0036923244,0.0215191396
440,0.0040508274,0.0209103335
441,0.0044213214,0.0201095772
442,0.0047234754,0.0192019002
443,0.0048436271,0.0181139507
444,0.0050430543,0.0170394974
445,0.0050832486,0.0167034697
446,0.0050216128,0.0170272713
447,0.0051642080,0.0171721987
448,0.0051311218,0.0172533160
449,0.0049174836,0.0171346434
450,0.0046951253,0.0169942538
451,0.0046271481,0.0175673443
452,0.0045664462,0.0176499274
453,0.0044159898,0.0170546528
454,0.0041860733,0.0163354292
455,0.0040387830,0.0157113839
456,0.0038673269,0.0151326515
457,0.0036355873,0.0148858454
458,0.0034381387,0.0153477387
459,0.0032781022,0.0151486283
460,0.0030551034,0.0145483968
461,0.0027862291,0.0141672024
462,0.0027283441,0.0138885768
463,0.0027457361,0.0133959901
464,0.0026903766,0.0129732227
465,0.0025310510,0.0130684147
466,0.0024676871,0.0131651605
467,0.0024808638,0.0131589914
468,0.0025131992,0.0130749920
469,0.0025580864,0.0129463251
470,0.0027515735,0.0125400308
471,0.0030827595,0.0118750901
472,0.0034041879,0.0112526240
473,0.0034863603,0.0112020570
474,0.0036506371,0.0110958980
475,0.0039395489,0.0107973683
476,0.0041489551,0.0106311469
477,0.0043679767,0.0103724034
478,0.0045381077,0.0102418717
479,0.0046447960,0.0104195079
480,0.0047888441,0.0107950600
481,0.0050733575,0.0108723178
482,0.0054555006,0.0106301516
483,0.0058219981,0.0103692343
484,0.0061112289,0.0103792214
485,0.0064958283,0.0103611928
486,0.0070451433,0.0100412916
487,0.0076818708,0.0094129438
488,0.0083526721,0.0089585514
489,0.0090918948,0.0084652063
490,0.0099253512,0.0079474298
491,0.0108241033,0.0080706533
492,0.0119114723,0.0081136539
493,0.0131123810,0.0080064297
494,0.0143137592,0.0080676175
495,0.0157076215,0.0081084554
496,0.0172718642,0.0082098149
497,0.0190131962,0.0081633748
498,0.0209992327,0.0075755463
499,0.0231582318,0.0071007132
500,0.0255747689,0.0066534489
501,0.0282900871,0.0060254487
502,0.0311423159,0.0054517001
503,0.0342270158,0.0049678886
504,0.0375881719,0.0044832550
505,0.0412067913,0.0038831472
506,0.0451411075,0.0032197274
507,0.0492172854,0.0028188695
508,0.0533375183,0.0025563012
509,0.0575755173,0.0017633611
510,0.0618217386,0.0007059340
511,0.0660301269,-0.0004279729
512,0.0701042171,-0.0015778625
513,0.0737749408,-0.0027525843
514,0.0770270060,-0.0040057353
515,0.0798244542,-0.0053129664
516,0.0820618245,-0.0065990699
517,0.0836525809,-0.0080066822
518,0.0844118125,-0.0092193896
519,0.0842515905,-0.0100825862
520,0.0832750181,-0.0109217222
521,0.0813945484,-0.0116625390
522,0.0786565153,-0.0122611671
523,0.0752033606,-0.0126537854
524,0.0711629481,-0.0125875957
525,0.0666817777,-0.0122994906
526,0.0619086983,-0.0118497015
527,0.0569762758,-0.0110581563
528,0.0520039211,-0.0102645432
529,0.0470656090,-0.0094093275
530,0.0422474982,-0.0083727051
531,0.0376918273,-0.0072869670
532,0.0334807800,-0.0061965574
533,0.0296221060,-0.0051515857
534,0.0260853467,-0.0041620849
535,0.0228925478,-0.0030429116
536,0.0201519421,-0.0018668242
537,0.0178974327,-0.0007285319
538,0.0160266065,0.0003373646
539,0.0145051255,0.0011092407
540,0.0132881145,0.0016627128
541,0.0123150404,0.0021900504
542,0.0115021467,0.0027454882
543,0.0108301025,0.0032213211
544,0.0101986379,0.0035101304
545,0.0094393310,0.0036196938
546,0.0084697465,0.0038941410
547,0.0073213649,0.0041369445
548,0.0060063842,0.0042155034
549,0.0044325959,0.0044661717
550,0.0025704120,0.0047563653
551,0.0004029635,0.0050423934
552,-0.0020725953,0.0054191874
553,-0.0048303399,0.0060329333
554,-0.0078073282,0.0070136762
555,-0.0109439144,0.0082251866
556,-0.0141939975,0.0092956557
557,-0.0174758836,0.0103945028
558,-0.0206919380,0.0112935802
559,-0.0237692559,0.0118455434
560,-0.0266998377,0.0124766947
561,-0.0294457222,0.0130948259
562,-0.0319899050,0.0136439773
563,-0.0343352626,0.0141449755
564,-0.0364819978,0.0144091634
565,-0.0383633597,0.0147128757
566,-0.0399077331,0.0151231576
567,-0.0410793798,0.0152000099
568,-0.0418866133,0.0150232298
569,-0.0422777563,0.0145991207
570,-0.0421924068,0.0139108361
571,-0.0416674400,0.0131083526
572,-0.0407714943,0.0122440991
573,-0.0395587353,0.0114311974
