sample_name,data_coleta,genotipo,condicao,PC1,PC2
B1_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,-0.0459271299,0.0213844267
B1_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,-0.0454909187,0.0235751391
B1_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,-0.0457233669,0.0047935141
B1_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,-0.0448545084,0.0153517850
B1_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,-0.0559909921,0.0129414505
B1_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,-0.0554503168,0.0195774988
B1_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,-0.0559869565,0.0123978909
B1_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,-0.0552861059,0.0209806949
B1_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,-0.0708755221,0.0063543600
B1_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,-0.0704719048,0.0010769665
B1_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,-0.0691917222,0.0105322483
B1_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,-0.0693153303,-0.0067266801
B1_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,-0.0649778746,0.0113814118
B1_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,-0.0644305569,0.0052552859
B1_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,-0.0637235654,0.0037153904
B1_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,-0.0637061232,-0.0026223663
B1_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,-0.0061826875,0.0065260719
B1_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,-0.0063420489,-0.0006195051
B1_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,-0.0060523491,-0.0000645354
B1_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,-0.0055252646,0.0023633340
B1_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,0.0034522187,-0.0095762951
B1_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,0.0040798753,-0.0070845697
B1_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,0.0045386481,-0.0009691473
B1_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,0.0042263078,-0.0129299071
B1_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,-0.0077923376,-0.0206522603
B1_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,-0.0068745971,-0.0153129890
B1_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,-0.0066481119,-0.0209890633
B1_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,-0.0063294235,-0.0182789948
B1_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,-0.0102529257,0.0250276933
B1_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,-0.0110338512,0.0173559923
B1_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,-0.0107779243,0.0111970430
B1_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,-0.0104462512,0.0117268658
B1_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,0.0004631007,0.0038031202
B1_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,0.0013222579,0.0252774121
B1_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,0.0012271885,0.0094158660
B1_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,0.0019192224,0.0167488625
B1_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,0.0159641778,-0.0102614478
B1_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,0.0166417715,-0.0009164747
B1_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,0.0161905277,-0.0169995170
B1_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,0.0164176391,-0.0156793444
B1_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0.0096619678,-0.0092567474
B1_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0.0104085429,-0.0008738285
B1_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0.0107329042,-0.0062448480
B1_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0.0111614781,-0.0076184810
B1_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0.0523493722,-0.0217250534
B1_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0.0530585128,-0.0166866347
B1_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0.0540137493,-0.0142078597
B1_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0.0547038530,-0.0046464206
B2_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,-0.0685226085,0.0070053323
B2_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,-0.0692216668,-0.0001579296
B2_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,-0.0689748600,0.0078013520
B2_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,-0.0689265049,0.0062363607
B2_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,-0.0342496864,-0.0052510289
B2_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,-0.0347842513,-0.0140990831
B2_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,-0.0349465664,-0.0061113338
B2_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,-0.0356027601,-0.0152999140
B2_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,-0.0469513713,0.0036092924
B2_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,-0.0464406289,0.0026898442
B2_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,-0.0461694114,0.0045469740
B2_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,-0.0454780802,0.0061103224
B2_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,-0.0530894480,0.0207455231
B2_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,-0.0539342848,0.0131401438
B2_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,-0.0530740206,0.0175602781
B2_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,-0.0530995473,0.0165721902
B2_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,-0.0275953524,-0.0042730882
B2_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,-0.0274144527,0.0060805059
B2_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,-0.0278622999,-0.0002627164
B2_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,-0.0281504223,0.0005647658
B2_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,-0.0008476973,0.0061807901
B2_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,-0.0012830923,0.0058917971
B2_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,-0.0003029793,0.0253049048
B2_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,-0.0006491869,0.0151308298
B2_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,-0.0288982778,-0.0005458859
B2_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,-0.0284407235,0.0001583616
B2_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,-0.0279234484,-0.0001335586
B2_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,-0.0271497441,0.0097715848
B2_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,-0.0130800979,0.0178701106
B2_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,-0.0130539418,0.0135997871
B2_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,-0.0114661585,0.0191936060
B2_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,-0.0111635611,0.0139453482
