wavelength,coefficient,abs_coefficient,vip,direction
2278,-0.0121164819,0.0121164819,1.7183362736,nao_irrigado
2277,-0.0105176808,0.0105176808,1.7105846781,nao_irrigado
2276,-0.0101163329,0.0101163329,1.7084566429,nao_irrigado
2279,-0.0126867959,0.0126867959,1.7045059273,nao_irrigado
2275,-0.0104584828,0.0104584828,1.7013453472,nao_irrigado
2274,-0.0125325268,0.0125325268,1.6990105676,nao_irrigado
2273,-0.0148191039,0.0148191039,1.6964241490,nao_irrigado
2272,-0.0138404045,0.0138404045,1.6736056513,nao_irrigado
2271,-0.0133248297,0.0133248297,1.6515008443,nao_irrigado
2280,-0.0118817594,0.0118817594,1.6462283211,nao_irrigado
2292,0.0036835400,0.0036835400,1.6408325969,irrigado
2291,0.0015496484,0.0015496484,1.6393660332,irrigado
2270,-0.0154849689,0.0154849689,1.6365156536,nao_irrigado
1664,0.0106871782,0.0106871782,1.6312327313,irrigado
2293,0.0047531927,0.0047531927,1.6257612206,irrigado
1665,0.0091146056,0.0091146056,1.6244290004,irrigado
1666,0.0055772673,0.0055772673,1.6232288589,irrigado
1661,0.0113184793,0.0113184793,1.6133152948,irrigado
2290,-0.0008111302,0.0008111302,1.6098422992,nao_irrigado
1663,0.0097453398,0.0097453398,1.6079157101,irrigado
2269,-0.0164350169,0.0164350169,1.6017194323,nao_irrigado
1660,0.0122985342,0.0122985342,1.5966595195,irrigado
1662,0.0093100658,0.0093100658,1.5935708440,irrigado
2294,0.0054664447,0.0054664447,1.5860535264,irrigado
2289,0.0000629788,0.0000629788,1.5824006416,irrigado
1667,0.0007142066,0.0007142066,1.5725164123,irrigado
1659,0.0134337266,0.0134337266,1.5660733695,irrigado
2268,-0.0158294377,0.0158294377,1.5563110564,nao_irrigado
2281,-0.0098595992,0.0098595992,1.5336644327,nao_irrigado
1658,0.0109929800,0.0109929800,1.5265774662,irrigado
2288,0.0015744620,0.0015744620,1.5119646545,irrigado
2295,0.0039969062,0.0039969062,1.5090349630,irrigado
1668,-0.0008230080,0.0008230080,1.4937807960,nao_irrigado
2267,-0.0143678113,0.0143678113,1.4923903613,nao_irrigado
1655,0.0026544287,0.0026544287,1.4586923950,irrigado
