sample_name,data_coleta,genotipo,condicao,y_true,y_pred_fit
B1_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,0.8217494512
B1_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,0.7579028692
B1_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,0.8393181758
B1_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,0.7077408636
B1_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.7307590846
B1_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,0.8028667572
B1_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.8745378135
B1_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,0.8151097048
B1_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,0.3290949359
B1_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,0.4226540174
B1_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,0.3462803150
B1_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,0.3107812973
B1_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,0.1146752058
B1_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,0.0468873418
B1_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.1825574023
B1_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,0.2002552616
B1_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.5032337609
B1_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.4386912874
B1_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.5241296760
B1_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.5963199021
B1_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,0.5639811578
B1_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.7527313106
B1_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.5801967509
B1_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.6143152082
B1_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.3498901835
B1_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.3807820334
B1_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.4536758233
B1_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.6017718360
B1_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.2692353252
B1_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.2987401883
B1_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,0.3013508793
B1_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0,0.3600353478
B1_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,1,1.0119114639
B1_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,1,0.8375699482
B1_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,1,0.9590234932
B1_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,1,0.8452954194
B1_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,1,0.8534890239
B1_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,1,0.6986165055
B1_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,1,0.7511787083
B1_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,1,0.7643172205
B1_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0,0.2887374022
B1_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0,0.4019571212
B1_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0,0.3986110207
B1_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0,0.2855551104
B1_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0,0.2732043430
B1_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0,0.1614700466
B1_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0,0.3181796996
B1_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0,0.1887308350
B2_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,0.8073747673
B2_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,0.8707639536
B2_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,0.7401338962
B2_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,0.8413234593
B2_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.8494355765
B2_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,0.7207853343
B2_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.7541727502
B2_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,0.7458013845
B2_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,0.2819222842
B2_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,0.1292717759
B2_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,0.1719809135
B2_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,0.2845072938
B2_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,0.2681139653
B2_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,0.2032396465
B2_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.2689728686
B2_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,0.3120998056
B2_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.6640362857
B2_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.8147244810
B2_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.8479100612
B2_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.7434576222
B2_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,0.5784264089
B2_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.6319642659
B2_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.5035898506
B2_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.4584560365
B2_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.5341614016
B2_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.7384241620
B2_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.7645358943
B2_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.6732869123
B2_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.1193205041
B2_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.1863766717
B2_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,0.2506847253
B2_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0,0.2868885865
B2_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,1,0.7181977433
B2_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,1,0.7130535766
B2_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,1,0.8042805764
B2_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,1,0.8371583429
B2_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,1,0.9424418046
B2_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,1,0.8651325177
B2_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,1,0.9599419852
B2_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,1,0.9087704540
B2_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0,0.7057001913
B2_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0,0.6542775244
B2_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0,0.7185826815
B2_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0,0.7792175685
B2_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0,0.3237633496
B2_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0,0.1772208092
B2_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0,0.3110973264
B2_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0,0.2066902317
B3_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,0.7351175067
B3_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,0.8007433083
B3_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,0.7287412881
B3_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,0.7955131721
B3_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.9055413521
B3_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,0.9242359535
B3_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.9425356351
B3_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,1.0684740507
B3_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,0.3626602586
B3_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,0.4525966309
B3_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,0.4788303947
B3_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,0.3336379640
B3_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,0.3116016582
B3_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,-0.0536589474
B3_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.0591105682
B3_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,0.1290379671
B3_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.9104031039
B3_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.8213285737
B3_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.9459741800
B3_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.9152783225
B3_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,1.0018526047
B3_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.9269522167
B3_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.9665723207
B3_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.8402524610
B3_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.1983283012
B3_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.1346404182
B3_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.2820025558
B3_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.2124266807
B3_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.4807637519
B3_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.2917472147
