threshold,rank,region_start,region_end,n_bands
0.05,1,763,986,224
0.05,2,2016,2239,224
0.05,3,1476,1680,205
0.05,4,351,553,203
0.05,5,1279,1472,194
0.05,6,556,677,122
0.05,7,2294,2415,122
0.05,8,1910,2010,101
0.05,9,1119,1194,76
0.05,10,1201,1272,72
0.01,1,764,986,223
0.01,2,2017,2238,222
0.01,3,1476,1679,204
0.01,4,351,553,203
0.01,5,1280,1471,192
0.01,6,556,677,122
0.01,7,2295,2413,119
0.01,8,1910,2009,100
0.01,9,1122,1193,72
0.01,10,1201,1272,72
0.001,1,765,985,221
0.001,2,2018,2238,221
0.001,3,352,553,202
0.001,4,1477,1678,202
0.001,5,1281,1471,191
0.001,6,2295,2412,118
0.001,7,1911,2008,98
0.001,8,556,627,72
0.001,9,1201,1271,71
0.001,10,1124,1193,70
0.0001,1,765,985,221
0.0001,2,2019,2237,219
0.0001,3,353,553,201
0.0001,4,1477,1677,201
0.0001,5,1306,1470,165
0.0001,6,2296,2410,115
0.0001,7,1911,2007,97
0.0001,8,557,626,70
0.0001,9,1202,1270,69
0.0001,10,1126,1192,67
1e-05,1,766,985,220
1e-05,2,2020,2237,218
1e-05,3,353,553,201
1e-05,4,1478,1677,200
1e-05,5,1310,1470,161
1e-05,6,2296,2409,114
1e-05,7,1912,2006,95
1e-05,8,557,625,69
1e-05,9,1202,1270,69
1e-05,10,1127,1192,66
