start_wavelength,end_wavelength,band_count,peak_wavelength,peak_score,dominant_direction,mean_vip,mean_abs_d,min_q_value
1910,1944,35,1924,8.0327963516,nao_irrigado,1.1537506676,1.1740100622,2.1672729275e-258
2258,2283,26,2279,7.9432984786,nao_irrigado,1.4559234002,1.0442481297,9.0301499018e-190
1380,1472,93,1427,7.8887210661,nao_irrigado,1.2195067425,1.3006135470,6.8020496358e-238
422,501,80,486,6.8182139946,nao_irrigado,1.1667033388,1.5219310942,6.6568415259e-228
1476,1673,198,1660,6.6189286746,irrigado,1.1174487088,1.1375919776,3.1669178256e-181
2057,2215,159,2125,5.6401142606,irrigado,1.1119149773,1.1192252009,1.7520247888e-201
2303,2314,12,2307,5.0450329455,nao_irrigado,1.2500341812,1.0876319009,2.5458977118e-142
380,411,32,391,3.9426653398,nao_irrigado,1.1070689331,1.1605978643,7.5980511200e-129
1783,1814,32,1803,3.2370832374,irrigado,1.2580379216,0.7438807241,8.9865291770e-88
814,882,69,848,2.7187966334,nao_irrigado,1.0785765534,0.9536837968,3.8057920509e-113
1836,1888,53,1875,2.1613453275,nao_irrigado,1.0318578580,0.7193069740,9.4161262483e-107
415,419,5,417,2.0370058132,nao_irrigado,1.0414634421,1.0796496369,1.6324130735e-97
708,713,6,709,1.7772916922,nao_irrigado,1.0475617991,0.8467523075,7.1865954001e-94
1724,1739,16,1732,1.7769125145,nao_irrigado,1.0626341926,0.8842630700,5.6598679844e-81
377,378,2,377,1.7499942499,nao_irrigado,1.0029721060,1.0894880136,1.1353462942e-97
375,375,1,375,1.6756648672,nao_irrigado,1.0038741520,1.0764736667,7.9380645483e-95
965,970,6,967,1.5278590384,nao_irrigado,1.2087996420,0.6237648500,1.7722437891e-49
2286,2290,5,2289,1.1543905993,nao_irrigado,1.4494691884,0.3170356160,3.2080506060e-34
652,671,20,666,1.1393710044,irrigado,1.0657088682,0.7878832227,1.8002506284e-61
372,372,1,372,1.0681917796,nao_irrigado,1.0101201150,0.9391578304,1.4825853663e-75
2219,2230,12,2227,1.0115640166,irrigado,1.0594975746,0.7413345862,6.0080096343e-62
2294,2299,6,2294,1.0041379281,nao_irrigado,1.3236446039,0.3447560049,4.1366968824e-38
957,961,5,960,0.6390616368,nao_irrigado,1.1199650176,0.5850503915,3.4471907275e-34
937,954,18,940,0.2950730694,nao_irrigado,1.0346213785,0.6709995786,5.1193357233e-52
930,935,6,934,0.2166304111,nao_irrigado,1.0278193898,0.6483153005,2.4155247801e-47
551,552,2,551,0.1879058877,nao_irrigado,1.0194210159,0.5917614877,7.2523961946e-47
901,909,9,908,0.1068075843,nao_irrigado,1.0947830891,0.4072585779,7.8627755424e-20
1763,1772,10,1766,-0.1198946768,nao_irrigado,1.0222873704,0.6178649536,3.0686931095e-40
1703,1712,10,1708,-0.4203829631,irrigado,1.2164492856,0.1762679889,8.4345601656e-06
1314,1322,9,1321,-0.6649619794,nao_irrigado,1.0293539085,0.4171011751,2.5300748753e-26
1088,1100,13,1091,-0.6932279046,irrigado,1.1234002896,0.2004708925,5.5177563383e-06
918,925,8,924,-0.7141296128,nao_irrigado,1.0387102365,0.4547531626,1.5679707925e-22
2329,2335,7,2331,-0.7674126300,nao_irrigado,1.0521489633,0.4026486288,1.9061729664e-20
976,977,2,977,-1.1983580454,nao_irrigado,1.0063257598,0.3543917742,1.0725827991e-15
2403,2412,10,2406,-1.2933475996,nao_irrigado,1.0291485604,0.2449877153,2.7324850988e-10
1717,1719,3,1719,-1.6007377025,nao_irrigado,1.0413947977,0.1855707330,1.4455564712e-07
1897,1902,6,1901,-1.7322308654,irrigado,1.0653883053,0.1054210156,2.4397872783e-02
