group_rank,direction_label,wavelength,vip,cohen_d,q_value,combined_score
1,irrigado,1660,1.5902408821,1.4297926393,5.6244713303e-155,6.6189286746
2,irrigado,1659,1.5599149139,1.4576342588,5.4712963742e-160,6.6076822732
3,irrigado,1654,1.4421700899,1.5624596437,2.1531956457e-179,6.5559239513
4,irrigado,1661,1.6068719174,1.3964421004,6.0813715342e-149,6.5274819097
5,irrigado,1655,1.4524618762,1.5431444838,1.0110621800e-175,6.5033170607
6,irrigado,1658,1.5209404356,1.4754496971,3.5418960953e-163,6.4964481258
7,irrigado,1653,1.4119435686,1.5718552578,3.1669178256e-181,6.4486742520
8,irrigado,1656,1.4323572271,1.5077088176,3.5632339671e-169,6.2035387061
9,irrigado,1657,1.4537103712,1.4838718242,1.0353097084e-164,6.1856770629
10,irrigado,1652,1.3658062069,1.5593458412,4.6649864823e-179,6.1384787064
1,nao_irrigado,1924,1.2793988868,-1.9937255058,2.1672729275e-258,8.0327963516
2,nao_irrigado,1923,1.3148501309,-1.9496079354,1.2659483932e-249,7.9691965372
3,nao_irrigado,2279,1.6992624471,-1.5671708898,3.2442820720e-180,7.9432984786
4,nao_irrigado,2280,1.6419253399,-1.6171442115,9.0643940911e-190,7.9176113549
5,nao_irrigado,1427,1.3630282245,-1.8934627205,1.4045805978e-237,7.8887210661
6,nao_irrigado,1428,1.3613801823,-1.8934491622,1.3993657901e-237,7.8799858925
7,nao_irrigado,1426,1.3640022684,-1.8907849156,4.1486289918e-237,7.8797142082
8,nao_irrigado,1429,1.3594343382,-1.8940449776,1.0362366145e-237,7.8732838884
9,nao_irrigado,1430,1.3574309308,-1.8955089432,6.8020496358e-238,7.8690939613
10,nao_irrigado,1425,1.3647469655,-1.8869388077,2.2009120353e-236,7.8624384994
