rank,wavelength,direction_label,vip,coefficient,mean_irrigated,mean_non_irrigated,mean_diff,cohen_d,p_value,q_value,combined_score
1,1924,nao_irrigado,1.2793988868,0.0013222923,0.0001868259,0.0007525461,-0.0005657202,-1.9937255058,1.0085029909e-261,2.1672729275e-258,8.0327963516
2,1923,nao_irrigado,1.3148501309,0.0017206973,-0.0001120353,0.0004374731,-0.0005495084,-1.9496079354,1.7672616006e-252,1.2659483932e-249,7.9691965372
3,2279,nao_irrigado,1.6992624471,-0.0142318741,-0.0035278942,-0.0031792401,-0.0003486542,-1.5671708898,1.4190903433e-181,3.2442820720e-180,7.9432984786
4,2280,nao_irrigado,1.6419253399,-0.0121331362,-0.0034674645,-0.0031454657,-0.0003219987,-1.6171442115,3.3743672745e-191,9.0643940911e-190,7.9176113549
5,1427,nao_irrigado,1.3630282245,-0.0033186394,-0.0039096432,-0.0028469792,-0.0010626640,-1.8934627205,6.5359730006e-240,1.4045805978e-237,7.8887210661
6,1428,nao_irrigado,1.3613801823,-0.0027715375,-0.0034166851,-0.0023589930,-0.0010576921,-1.8934491622,5.4743357147e-240,1.3993657901e-237,7.8799858925
7,1426,nao_irrigado,1.3640022684,-0.0034101148,-0.0044389614,-0.0033732612,-0.0010657002,-1.8907849156,2.3165913402e-239,4.1486289918e-237,7.8797142082
8,1429,nao_irrigado,1.3594343382,-0.0021952738,-0.0029515986,-0.0019015771,-0.0010500215,-1.8940449776,3.3753635652e-240,1.0362366145e-237,7.8732838884
9,1430,nao_irrigado,1.3574309308,-0.0017139960,-0.0025114603,-0.0014716929,-0.0010397674,-1.8955089432,1.5826081051e-240,6.8020496358e-238,7.8690939613
10,1425,nao_irrigado,1.3647469655,-0.0036973761,-0.0050036118,-0.0039372522,-0.0010663596,-1.8869388077,1.4338189155e-238,2.2009120353e-236,7.8624384994
11,1431,nao_irrigado,1.3550602345,-0.0008844548,-0.0020982514,-0.0010713579,-0.0010268935,-1.8941733416,2.5837892759e-240,9.2542719231e-238,7.8512524462
12,1424,nao_irrigado,1.3653247299,-0.0039464766,-0.0056083966,-0.0045433658,-0.0010650308,-1.8814350969,1.7705958312e-237,2.2382414360e-235,7.8356588912
13,1432,nao_irrigado,1.3525526404,-0.0003399521,-0.0017094236,-0.0006978695,-0.0010115541,-1.8920122435,5.8605361151e-240,1.3993657901e-237,7.8300756338
14,1433,nao_irrigado,1.3498958145,0.0000151974,-0.0013476543,-0.0003528880,-0.0009947664,-1.8889001229,1.9170898129e-239,3.7452963709e-237,7.8016403063
15,1423,nao_irrigado,1.3657484919,-0.0034821614,-0.0062542064,-0.0051924465,-0.0010617599,-1.8744402088,4.0487157895e-236,4.5793106482e-234,7.7994337257
16,1422,nao_irrigado,1.3661546986,-0.0030288460,-0.0069338401,-0.0058782964,-0.0010555436,-1.8701816926,2.9364934082e-235,3.0050115878e-233,7.7778287316
17,1421,nao_irrigado,1.3661728043,-0.0028101256,-0.0076568147,-0.0066087731,-0.0010480417,-1.8682900858,7.0816027239e-235,6.9174382971e-233,7.7673862943
18,1434,nao_irrigado,1.3467998130,-0.0008944978,-0.0010094739,-0.0000326766,-0.0009767973,-1.8850794932,8.0880307462e-239,1.3370136980e-236,7.7671170402
19,1420,nao_irrigado,1.3659841240,-0.0020889666,-0.0084294188,-0.0073895959,-0.0010398229,-1.8663963782,1.5304944386e-234,1.4300141515e-232,7.7566718637
20,1419,nao_irrigado,1.3660167884,-0.0006821467,-0.0092524692,-0.0082225185,-0.0010299507,-1.8627689611,6.2227041720e-234,5.3490365062e-232,7.7387904339
