wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
2270,nao_irrigado,1.7290441064,-0.0170274752,0.0170274752,8.0207643782
2271,nao_irrigado,1.7381956364,-0.0163703733,0.0163703733,7.8597134451
2272,nao_irrigado,1.7380521570,-0.0154164089,0.0154164089,7.5572704318
2269,nao_irrigado,1.6803078664,-0.0158479884,0.0158479884,7.3986548389
932,nao_irrigado,1.2346533771,-0.0228090735,0.0228090735,7.3226477527
2273,nao_irrigado,1.7389603003,-0.0141822903,0.0141822903,7.1715977138
933,nao_irrigado,1.2323127010,-0.0218507589,0.0218507589,7.0075998047
1665,irrigado,1.6391693893,0.0150287627,0.0150287627,6.9293143481
2274,nao_irrigado,1.7530792152,-0.0123512401,0.0123512401,6.6646494331
1664,irrigado,1.5752169607,0.0150426461,0.0150426461,6.6068666012
2275,nao_irrigado,1.7828088175,-0.0109939221,0.0109939221,6.3873089799
2268,nao_irrigado,1.6030946921,-0.0134903111,0.0134903111,6.2583839554
2276,nao_irrigado,1.8118844604,-0.0092789051,0.0092789051,5.9934971003
1666,irrigado,1.6382120597,0.0108218538,0.0108218538,5.5939052521
1826,irrigado,1.6765451547,0.0098591820,0.0098591820,5.4853487735
995,irrigado,0.9359375932,0.0217577792,0.0217577792,5.4635229761
2277,nao_irrigado,1.8189323962,-0.0065908961,0.0065908961,5.1793816811
2267,nao_irrigado,1.5181702204,-0.0109570579,0.0109570579,5.0231740456
1827,irrigado,1.6083672247,0.0093140578,0.0093140578,4.9645089468
1663,irrigado,1.4654846256,0.0114639622,0.0114639622,4.9142345940
715,irrigado,1.5726276814,0.0095491879,0.0095491879,4.8562210266
902,nao_irrigado,1.0769089633,-0.0174533692,0.0174533692,4.8226255322
1670,irrigado,1.3362361505,0.0132200841,0.0132200841,4.8090981521
931,nao_irrigado,1.0941645105,-0.0168654730,0.0168654730,4.7248790521
2292,irrigado,1.7039157310,0.0070065256,0.0070065256,4.7230223583
1828,irrigado,1.5797330702,0.0089923079,0.0089923079,4.7164100856
1829,irrigado,1.5631538798,0.0087942584,0.0087942584,4.5690426053
1834,irrigado,1.5458707341,0.0090356043,0.0090356043,4.5570447905
1833,irrigado,1.5478602860,0.0089537590,0.0089537590,4.5413275384
1830,irrigado,1.5554150941,0.0087736124,0.0087736124,4.5229626869
1831,irrigado,1.5515885111,0.0088279565,0.0088279565,4.5205937116
1832,irrigado,1.5498834405,0.0088533255,0.0088533255,4.5199031481
914,nao_irrigado,1.1691377564,-0.0149227906,0.0149227906,4.4936302828
562,nao_irrigado,1.4046607701,-0.0110274399,0.0110274399,4.4653263754
1667,irrigado,1.5906879988,0.0079355110,0.0079355110,4.4381644262
1835,irrigado,1.5237775853,0.0090031533,0.0090031533,4.4338711315
714,irrigado,1.5771937355,0.0080803453,0.0080803453,4.4150065844
593,nao_irrigado,1.2897497636,-0.0126867845,0.0126867845,4.4028560680
2293,irrigado,1.6590279903,0.0065209573,0.0065209573,4.3400463400
563,nao_irrigado,1.3900568151,-0.0108342171,0.0108342171,4.3295801753
592,nao_irrigado,1.2736247165,-0.0126213776,0.0126213776,4.2997603289
370,irrigado,0.8899260810,0.0186974219,0.0186974219,4.2604767945
2278,nao_irrigado,1.8045843358,-0.0038735509,0.0038735509,4.2466406109
594,nao_irrigado,1.2956729706,-0.0119994275,0.0119994275,4.2157375379
561,nao_irrigado,1.4047702716,-0.0101505213,0.0101505213,4.1885434832
1669,irrigado,1.4250352008,0.0097893461,0.0097893461,4.1778818297
