rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,2270,nao_irrigado,1.7290441064,-0.0170274752,0.0170274752,8.0207643782
2,2271,nao_irrigado,1.7381956364,-0.0163703733,0.0163703733,7.8597134451
3,2272,nao_irrigado,1.7380521570,-0.0154164089,0.0154164089,7.5572704318
4,2269,nao_irrigado,1.6803078664,-0.0158479884,0.0158479884,7.3986548389
5,932,nao_irrigado,1.2346533771,-0.0228090735,0.0228090735,7.3226477527
6,2273,nao_irrigado,1.7389603003,-0.0141822903,0.0141822903,7.1715977138
7,933,nao_irrigado,1.2323127010,-0.0218507589,0.0218507589,7.0075998047
8,1665,irrigado,1.6391693893,0.0150287627,0.0150287627,6.9293143481
9,2274,nao_irrigado,1.7530792152,-0.0123512401,0.0123512401,6.6646494331
10,1664,irrigado,1.5752169607,0.0150426461,0.0150426461,6.6068666012
11,2275,nao_irrigado,1.7828088175,-0.0109939221,0.0109939221,6.3873089799
12,2268,nao_irrigado,1.6030946921,-0.0134903111,0.0134903111,6.2583839554
13,2276,nao_irrigado,1.8118844604,-0.0092789051,0.0092789051,5.9934971003
14,1666,irrigado,1.6382120597,0.0108218538,0.0108218538,5.5939052521
15,1826,irrigado,1.6765451547,0.0098591820,0.0098591820,5.4853487735
16,995,irrigado,0.9359375932,0.0217577792,0.0217577792,5.4635229761
17,2277,nao_irrigado,1.8189323962,-0.0065908961,0.0065908961,5.1793816811
18,2267,nao_irrigado,1.5181702204,-0.0109570579,0.0109570579,5.0231740456
19,1827,irrigado,1.6083672247,0.0093140578,0.0093140578,4.9645089468
20,1663,irrigado,1.4654846256,0.0114639622,0.0114639622,4.9142345940
