wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
2280,nao_irrigado,1.6434807380,-0.0127569484,0.0127569484,7.3337720881
873,irrigado,1.2905355851,0.0176553418,0.0176553418,7.1776108069
2279,nao_irrigado,1.6131135118,-0.0126181242,0.0126181242,7.1131893728
2281,nao_irrigado,1.6230566558,-0.0119788391,0.0119788391,6.9322524382
2278,nao_irrigado,1.5752546873,-0.0124564811,0.0124564811,6.8424143934
874,irrigado,1.2740615798,0.0164649939,0.0164649939,6.6456946157
423,nao_irrigado,1.2315874623,-0.0168486554,0.0168486554,6.5508057039
2277,nao_irrigado,1.5140400920,-0.0116654534,0.0116654534,6.2087661250
422,nao_irrigado,1.2036485039,-0.0160159340,0.0160159340,6.0872095300
2308,nao_irrigado,1.5685572618,-0.0095639963,0.0095639963,5.7356751034
2276,nao_irrigado,1.4586456766,-0.0111049239,0.0111049239,5.6927773796
554,nao_irrigado,1.3281066115,-0.0130676850,0.0130676850,5.6908694447
990,nao_irrigado,1.2191074422,-0.0144536629,0.0144536629,5.5957691718
875,irrigado,1.1961719438,0.0146374832,0.0146374832,5.5358965697
2307,nao_irrigado,1.5456196345,-0.0092740976,0.0092740976,5.5006471478
989,nao_irrigado,1.1740152756,-0.0148653526,0.0148653526,5.4966507753
555,nao_irrigado,1.3014404811,-0.0129082666,0.0129082666,5.4833012955
368,nao_irrigado,1.3850677997,-0.0112200964,0.0112200964,5.3252609127
811,nao_irrigado,1.0685318817,-0.0158411080,0.0158411080,5.2694786518
628,irrigado,1.3042383979,0.0121018018,0.0121018018,5.2007295796
2115,irrigado,1.3144868985,0.0118686716,0.0118686716,5.1716583148
2309,nao_irrigado,1.5185826237,-0.0087320772,0.0087320772,5.1495561684
2275,nao_irrigado,1.4097409416,-0.0102985488,0.0102985488,5.1220658182
2114,irrigado,1.2994479719,0.0119221077,0.0119221077,5.1075928404
424,nao_irrigado,1.1542682536,-0.0137908027,0.0137908027,4.9893047375
627,irrigado,1.2965825739,0.0115814508,0.0115814508,4.9656743325
629,irrigado,1.2832852293,0.0117457330,0.0117457330,4.9522979194
553,nao_irrigado,1.2872041030,-0.0115723814,0.0115723814,4.9100487939
1663,irrigado,1.5387062654,0.0077330723,0.0077330723,4.8923661974
421,nao_irrigado,1.1071777723,-0.0141081321,0.0141081321,4.8441614966
2282,nao_irrigado,1.4797099963,-0.0082086784,0.0082086784,4.7393822268
2116,irrigado,1.3044896774,0.0108296083,0.0108296083,4.7317744892
1662,irrigado,1.5123987648,0.0076326246,0.0076326246,4.7085995544
1664,irrigado,1.5270509897,0.0073479610,0.0073479610,4.6850202181
978,nao_irrigado,1.2441812956,-0.0114204984,0.0114204984,4.6141000624
2274,nao_irrigado,1.3673429663,-0.0095279917,0.0095279917,4.6008633763
2113,irrigado,1.2629502114,0.0110091738,0.0110091738,4.5666366068
876,irrigado,1.1359751485,0.0128426825,0.0128426825,4.5368059775
556,nao_irrigado,1.2301139682,-0.0114206973,0.0114206973,4.5357670831
810,nao_irrigado,1.0234644787,-0.0145155018,0.0145155018,4.5281848610
872,irrigado,1.1470412709,0.0124478567,0.0124478567,4.4525096995
