rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,2280,nao_irrigado,1.6434807380,-0.0127569484,0.0127569484,7.3337720881
2,873,irrigado,1.2905355851,0.0176553418,0.0176553418,7.1776108069
3,2279,nao_irrigado,1.6131135118,-0.0126181242,0.0126181242,7.1131893728
4,2281,nao_irrigado,1.6230566558,-0.0119788391,0.0119788391,6.9322524382
5,2278,nao_irrigado,1.5752546873,-0.0124564811,0.0124564811,6.8424143934
6,874,irrigado,1.2740615798,0.0164649939,0.0164649939,6.6456946157
7,423,nao_irrigado,1.2315874623,-0.0168486554,0.0168486554,6.5508057039
8,2277,nao_irrigado,1.5140400920,-0.0116654534,0.0116654534,6.2087661250
9,422,nao_irrigado,1.2036485039,-0.0160159340,0.0160159340,6.0872095300
10,2308,nao_irrigado,1.5685572618,-0.0095639963,0.0095639963,5.7356751034
11,2276,nao_irrigado,1.4586456766,-0.0111049239,0.0111049239,5.6927773796
12,554,nao_irrigado,1.3281066115,-0.0130676850,0.0130676850,5.6908694447
13,990,nao_irrigado,1.2191074422,-0.0144536629,0.0144536629,5.5957691718
14,875,irrigado,1.1961719438,0.0146374832,0.0146374832,5.5358965697
15,2307,nao_irrigado,1.5456196345,-0.0092740976,0.0092740976,5.5006471478
16,989,nao_irrigado,1.1740152756,-0.0148653526,0.0148653526,5.4966507753
17,555,nao_irrigado,1.3014404811,-0.0129082666,0.0129082666,5.4833012955
18,368,nao_irrigado,1.3850677997,-0.0112200964,0.0112200964,5.3252609127
19,811,nao_irrigado,1.0685318817,-0.0158411080,0.0158411080,5.2694786518
20,628,irrigado,1.3042383979,0.0121018018,0.0121018018,5.2007295796
