wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1661,irrigado,1.5810757399,0.0151694677,0.0151694677,6.8954396375
994,nao_irrigado,1.5934314156,-0.0144399489,0.0144399489,6.7346789591
1660,irrigado,1.5139576994,0.0141739040,0.0141739040,6.2129171537
391,nao_irrigado,1.3544294922,-0.0168435095,0.0168435095,6.1707831007
1663,irrigado,1.5114342235,0.0132620236,0.0132620236,5.9128808652
2307,nao_irrigado,1.5961779495,-0.0115885957,0.0115885957,5.8551596835
1662,irrigado,1.5278039023,0.0125673716,0.0125673716,5.7851968776
2308,nao_irrigado,1.5188839035,-0.0116309896,0.0116309896,5.4421969036
1664,irrigado,1.4699363239,0.0121685170,0.0121685170,5.3409180153
1784,irrigado,1.5958190667,0.0093958686,0.0093958686,5.1651708878
1187,nao_irrigado,0.9284362537,-0.0207170422,0.0207170422,5.0368908081
2306,nao_irrigado,1.5786228471,-0.0090315518,0.0090315518,4.9560251219
2304,nao_irrigado,1.4969704412,-0.0104346134,0.0104346134,4.9459619220
995,nao_irrigado,1.3443289547,-0.0130216666,0.0130216666,4.9159047387
383,nao_irrigado,1.2414227600,-0.0145939361,0.0145939361,4.8417223750
380,nao_irrigado,1.3272967443,-0.0130566372,0.0130566372,4.8329474376
2294,irrigado,1.6205312317,0.0078076592,0.0078076592,4.8031239014
1731,nao_irrigado,1.0766200397,-0.0173001547,0.0173001547,4.7819882740
2305,nao_irrigado,1.5536462797,-0.0088413391,0.0088413391,4.7586004131
1659,irrigado,1.3911222763,0.0115111632,0.0115111632,4.7000136199
979,nao_irrigado,1.4287907666,-0.0104988350,0.0104988350,4.5901123727
1808,irrigado,1.5993790925,0.0074250002,0.0074250002,4.5664066586
880,irrigado,1.0615330637,0.0168681257,0.0168681257,4.5632286845
1785,irrigado,1.6149171819,0.0071398068,0.0071398068,4.5626119705
1730,nao_irrigado,1.0792891798,-0.0165021059,0.0165021059,4.5463052634
2272,nao_irrigado,1.3716728933,-0.0109820164,0.0109820164,4.4267234899
1729,nao_irrigado,1.0828736068,-0.0159979060,0.0159979060,4.4078705615
2295,irrigado,1.5531744206,0.0076351941,0.0076351941,4.3775473890
909,irrigado,1.1000318555,0.0155635617,0.0155635617,4.3662119177
2183,nao_irrigado,1.1468643853,-0.0146801502,0.0146801502,4.3472989648
1783,irrigado,1.5155993856,0.0081946200,0.0081946200,4.3458573702
2270,nao_irrigado,1.3427119555,-0.0112095496,0.0112095496,4.3384012594
2273,nao_irrigado,1.3855166147,-0.0103924118,0.0103924118,4.3180698788
1186,nao_irrigado,0.9020952254,-0.0188882090,0.0188882090,4.3177931403
2269,nao_irrigado,1.3284311761,-0.0111739537,0.0111739537,4.2484761075
