rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,1661,irrigado,1.5810757399,0.0151694677,0.0151694677,6.8954396375
2,994,nao_irrigado,1.5934314156,-0.0144399489,0.0144399489,6.7346789591
3,1660,irrigado,1.5139576994,0.0141739040,0.0141739040,6.2129171537
4,391,nao_irrigado,1.3544294922,-0.0168435095,0.0168435095,6.1707831007
5,1663,irrigado,1.5114342235,0.0132620236,0.0132620236,5.9128808652
6,2307,nao_irrigado,1.5961779495,-0.0115885957,0.0115885957,5.8551596835
7,1662,irrigado,1.5278039023,0.0125673716,0.0125673716,5.7851968776
8,2308,nao_irrigado,1.5188839035,-0.0116309896,0.0116309896,5.4421969036
9,1664,irrigado,1.4699363239,0.0121685170,0.0121685170,5.3409180153
10,1784,irrigado,1.5958190667,0.0093958686,0.0093958686,5.1651708878
11,1187,nao_irrigado,0.9284362537,-0.0207170422,0.0207170422,5.0368908081
12,2306,nao_irrigado,1.5786228471,-0.0090315518,0.0090315518,4.9560251219
13,2304,nao_irrigado,1.4969704412,-0.0104346134,0.0104346134,4.9459619220
14,995,nao_irrigado,1.3443289547,-0.0130216666,0.0130216666,4.9159047387
15,383,nao_irrigado,1.2414227600,-0.0145939361,0.0145939361,4.8417223750
16,380,nao_irrigado,1.3272967443,-0.0130566372,0.0130566372,4.8329474376
17,2294,irrigado,1.6205312317,0.0078076592,0.0078076592,4.8031239014
18,1731,nao_irrigado,1.0766200397,-0.0173001547,0.0173001547,4.7819882740
19,2305,nao_irrigado,1.5536462797,-0.0088413391,0.0088413391,4.7586004131
20,1659,irrigado,1.3911222763,0.0115111632,0.0115111632,4.7000136199
