subset_type,subset_name,subset_label,matched_dates,n_samples,irrigated_count,non_irrigated_count,effective_cv_splits,best_components,rmsecv,r2cv,auc,accuracy,top_band,top_band_direction,top_band_vip,top_band_coefficient,top_band_optimal_score
turno,manha,Turno manha,2017-02-23|2017-02-24|2017-03-02,580,292,288,5,13,0.2151344401,0.8148598850,0.9942446728,0.9775862069,392,nao_irrigado,1.5166099334,-0.0154516911,7.0811967484
turno,tarde,Turno tarde,2017-02-23|2017-02-24|2017-03-02,576,288,288,5,13,0.2628355726,0.7236698471,0.9875699267,0.9392361111,2281,nao_irrigado,1.8066786719,-0.0140449758,7.8146641989
genotipo,BR16,Genotipo BR16,2017-02-23|2017-02-24|2017-03-02,384,192,192,5,15,0.2042619030,0.8331082999,0.9990505642,0.9791666667,2270,nao_irrigado,1.7290441064,-0.0170274752,8.0207643782
genotipo,CD202,Genotipo CD202,2017-02-23|2017-02-24|2017-03-02,388,196,192,5,12,0.2119168130,0.8203459636,0.9990699405,0.9793814433,2280,nao_irrigado,1.6434807380,-0.0127569484,7.3337720881
genotipo,EMB48,Genotipo EMB48,2017-02-23|2017-02-24|2017-03-02,384,192,192,5,13,0.2383022563,0.7728481385,0.9942491319,0.9583333333,1661,irrigado,1.5810757399,0.0151694677,6.8954396375
turno_genotipo,manha_BR16,manha / BR16,2017-02-23|2017-02-24|2017-03-02,192,96,96,5,10,0.1490170431,0.9111756835,1.0000000000,1.0000000000,1826,irrigado,1.5904382169,0.0073773859,7.5808275390
turno_genotipo,manha_CD202,manha / CD202,2017-02-23|2017-02-24|2017-03-02,196,100,96,5,14,0.1801537365,0.8701244326,0.9984375000,0.9795918367,2149,irrigado,1.4902737561,0.0114193652,6.9215463115
turno_genotipo,manha_EMB48,manha / EMB48,2017-02-23|2017-02-24|2017-03-02,192,96,96,5,14,0.1952638159,0.8474881688,0.9981553819,0.9739583333,383,nao_irrigado,1.7115496692,-0.0189935360,10.1218253992
turno_genotipo,tarde_BR16,tarde / BR16,2017-02-23|2017-02-24|2017-03-02,192,96,96,5,15,0.2061542027,0.8300017788,0.9989149306,0.9739583333,1668,irrigado,1.6873013429,0.0141852674,7.8054286615
turno_genotipo,tarde_CD202,tarde / CD202,2017-02-23|2017-02-24|2017-03-02,192,96,96,5,12,0.2144343412,0.8160716532,0.9998914931,0.9947916667,2281,nao_irrigado,1.7372391798,-0.0109764954,7.6543598964
turno_genotipo,tarde_EMB48,tarde / EMB48,2017-02-23|2017-02-24|2017-03-02,192,96,96,5,12,0.2290212470,0.7901970736,0.9932725694,0.9739583333,975,nao_irrigado,1.4201353617,-0.0131019158,6.6810426386
