subset_type,subset_name,subset_label,rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
turno,manha,Turno manha,1,392,nao_irrigado,1.5166099334,-0.0154516911,0.0154516911,7.0811967484
turno,manha,Turno manha,2,395,nao_irrigado,1.3672404292,-0.0156984126,0.0156984126,6.3136982747
turno,manha,Turno manha,3,391,nao_irrigado,1.3576460322,-0.0153318016,0.0153318016,6.1341086821
turno,manha,Turno manha,4,406,nao_irrigado,1.2825677769,-0.0165837118,0.0165837118,6.1325760447
turno,manha,Turno manha,5,390,nao_irrigado,1.2486395555,-0.0164851991,0.0164851991,5.9055928280
turno,manha,Turno manha,6,1661,irrigado,1.3958018548,0.0133896589,0.0133896589,5.6900086236
turno,manha,Turno manha,7,436,irrigado,1.2187766257,0.0159121114,0.0159121114,5.5401134408
turno,manha,Turno manha,8,389,nao_irrigado,1.1416797122,-0.0171584246,0.0171584246,5.5251657974
turno,manha,Turno manha,9,2170,irrigado,1.3172971769,0.0134389833,0.0134389833,5.2592604098
turno,manha,Turno manha,10,375,irrigado,1.0645943058,0.0175747634,0.0175747634,5.2275386257
turno,manha,Turno manha,11,437,irrigado,1.2539979551,0.0141173347,0.0141173347,5.1294867434
turno,manha,Turno manha,12,2171,irrigado,1.3101031955,0.0129682192,0.0129682192,5.0578739361
turno,manha,Turno manha,13,1662,irrigado,1.3567819046,0.0118759930,0.0118759930,4.9519012204
turno,manha,Turno manha,14,1641,irrigado,1.2300319431,0.0136504908,0.0136504908,4.8338191784
turno,manha,Turno manha,15,1660,irrigado,1.3557962305,0.0114439065,0.0114439065,4.7990841775
turno,manha,Turno manha,16,458,nao_irrigado,1.3428697655,-0.0115891450,0.0115891450,4.7748690389
turno,manha,Turno manha,17,2169,irrigado,1.2891180297,0.0122922482,0.0122922482,4.7079572387
turno,manha,Turno manha,18,435,irrigado,1.1270680764,0.0149106064,0.0149106064,4.6761073400
turno,manha,Turno manha,19,2172,irrigado,1.2981205399,0.0119938327,0.0119938327,4.6576197204
turno,manha,Turno manha,20,1663,irrigado,1.3276086073,0.0109848045,0.0109848045,4.4819868232
turno,tarde,Turno tarde,1,2281,nao_irrigado,1.8066786719,-0.0140449758,0.0140449758,7.8146641989
turno,tarde,Turno tarde,2,2280,nao_irrigado,1.8009092648,-0.0136945470,0.0136945470,7.6747904947
turno,tarde,Turno tarde,3,2279,nao_irrigado,1.7774657236,-0.0136356203,0.0136356203,7.5250068175
turno,tarde,Turno tarde,4,2282,nao_irrigado,1.7342126332,-0.0135157541,0.0135157541,7.2452392539
turno,tarde,Turno tarde,5,2294,irrigado,1.4824707556,0.0173073181,0.0173073181,6.9935539664
turno,tarde,Turno tarde,6,2278,nao_irrigado,1.7348038358,-0.0124346591,0.0124346591,6.9170422662
turno,tarde,Turno tarde,7,2295,irrigado,1.4237039116,0.0173897127,0.0173897127,6.6886483152
turno,tarde,Turno tarde,8,2275,nao_irrigado,1.5966298867,-0.0137053487,0.0137053487,6.5303921274
turno,tarde,Turno tarde,9,2276,nao_irrigado,1.6382260924,-0.0128503689,0.0128503689,6.5019135239
turno,tarde,Turno tarde,10,2277,nao_irrigado,1.6825128383,-0.0119916196,0.0119916196,6.4873953719
turno,tarde,Turno tarde,11,2270,nao_irrigado,1.4736480194,-0.0156584621,0.0156584621,6.4383619765
turno,tarde,Turno tarde,12,2273,nao_irrigado,1.5242991463,-0.0145344329,0.0145344329,6.3782528165
turno,tarde,Turno tarde,13,2272,nao_irrigado,1.5034349953,-0.0148267686,0.0148267686,6.3506759005
turno,tarde,Turno tarde,14,2274,nao_irrigado,1.5546455455,-0.0138159165,0.0138159165,6.3284155969
turno,tarde,Turno tarde,15,2271,nao_irrigado,1.4875539825,-0.0149320848,0.0149320848,6.2937462781
turno,tarde,Turno tarde,16,2293,irrigado,1.4778252698,0.0143929014,0.0143929014,6.0737461092
turno,tarde,Turno tarde,17,2269,nao_irrigado,1.4292152374,-0.0147374029,0.0147374029,5.9062801094
turno,tarde,Turno tarde,18,1666,irrigado,1.5794493175,0.0107150606,0.0107150606,5.5168918832
turno,tarde,Turno tarde,19,1665,irrigado,1.5553011237,0.0107689760,0.0107689760,5.3977523615
turno,tarde,Turno tarde,20,2331,irrigado,1.0664993305,0.0195801124,0.0195801124,5.3534397009
genotipo,BR16,Genotipo BR16,1,2270,nao_irrigado,1.7290441064,-0.0170274752,0.0170274752,8.0207643782
genotipo,BR16,Genotipo BR16,2,2271,nao_irrigado,1.7381956364,-0.0163703733,0.0163703733,7.8597134451
genotipo,BR16,Genotipo BR16,3,2272,nao_irrigado,1.7380521570,-0.0154164089,0.0154164089,7.5572704318
genotipo,BR16,Genotipo BR16,4,2269,nao_irrigado,1.6803078664,-0.0158479884,0.0158479884,7.3986548389
genotipo,BR16,Genotipo BR16,5,932,nao_irrigado,1.2346533771,-0.0228090735,0.0228090735,7.3226477527
genotipo,BR16,Genotipo BR16,6,2273,nao_irrigado,1.7389603003,-0.0141822903,0.0141822903,7.1715977138
genotipo,BR16,Genotipo BR16,7,933,nao_irrigado,1.2323127010,-0.0218507589,0.0218507589,7.0075998047
genotipo,BR16,Genotipo BR16,8,1665,irrigado,1.6391693893,0.0150287627,0.0150287627,6.9293143481
genotipo,BR16,Genotipo BR16,9,2274,nao_irrigado,1.7530792152,-0.0123512401,0.0123512401,6.6646494331
genotipo,BR16,Genotipo BR16,10,1664,irrigado,1.5752169607,0.0150426461,0.0150426461,6.6068666012
genotipo,BR16,Genotipo BR16,11,2275,nao_irrigado,1.7828088175,-0.0109939221,0.0109939221,6.3873089799
genotipo,BR16,Genotipo BR16,12,2268,nao_irrigado,1.6030946921,-0.0134903111,0.0134903111,6.2583839554
genotipo,BR16,Genotipo BR16,13,2276,nao_irrigado,1.8118844604,-0.0092789051,0.0092789051,5.9934971003
genotipo,BR16,Genotipo BR16,14,1666,irrigado,1.6382120597,0.0108218538,0.0108218538,5.5939052521
genotipo,BR16,Genotipo BR16,15,1826,irrigado,1.6765451547,0.0098591820,0.0098591820,5.4853487735
genotipo,BR16,Genotipo BR16,16,995,irrigado,0.9359375932,0.0217577792,0.0217577792,5.4635229761
genotipo,BR16,Genotipo BR16,17,2277,nao_irrigado,1.8189323962,-0.0065908961,0.0065908961,5.1793816811
genotipo,BR16,Genotipo BR16,18,2267,nao_irrigado,1.5181702204,-0.0109570579,0.0109570579,5.0231740456
genotipo,BR16,Genotipo BR16,19,1827,irrigado,1.6083672247,0.0093140578,0.0093140578,4.9645089468
genotipo,BR16,Genotipo BR16,20,1663,irrigado,1.4654846256,0.0114639622,0.0114639622,4.9142345940
