wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
392,nao_irrigado,1.5166099334,-0.0154516911,0.0154516911,7.0811967484
395,nao_irrigado,1.3672404292,-0.0156984126,0.0156984126,6.3136982747
391,nao_irrigado,1.3576460322,-0.0153318016,0.0153318016,6.1341086821
406,nao_irrigado,1.2825677769,-0.0165837118,0.0165837118,6.1325760447
390,nao_irrigado,1.2486395555,-0.0164851991,0.0164851991,5.9055928280
1661,irrigado,1.3958018548,0.0133896589,0.0133896589,5.6900086236
436,irrigado,1.2187766257,0.0159121114,0.0159121114,5.5401134408
389,nao_irrigado,1.1416797122,-0.0171584246,0.0171584246,5.5251657974
2170,irrigado,1.3172971769,0.0134389833,0.0134389833,5.2592604098
375,irrigado,1.0645943058,0.0175747634,0.0175747634,5.2275386257
437,irrigado,1.2539979551,0.0141173347,0.0141173347,5.1294867434
2171,irrigado,1.3101031955,0.0129682192,0.0129682192,5.0578739361
1662,irrigado,1.3567819046,0.0118759930,0.0118759930,4.9519012204
1641,irrigado,1.2300319431,0.0136504908,0.0136504908,4.8338191784
1660,irrigado,1.3557962305,0.0114439065,0.0114439065,4.7990841775
458,nao_irrigado,1.3428697655,-0.0115891450,0.0115891450,4.7748690389
2169,irrigado,1.2891180297,0.0122922482,0.0122922482,4.7079572387
435,irrigado,1.1270680764,0.0149106064,0.0149106064,4.6761073400
2172,irrigado,1.2981205399,0.0119938327,0.0119938327,4.6576197204
1663,irrigado,1.3276086073,0.0109848045,0.0109848045,4.4819868232
396,nao_irrigado,1.2166502492,-0.0127327197,0.0127327197,4.4448761663
2201,irrigado,1.2476237475,0.0120970865,0.0120970865,4.4049151136
357,irrigado,1.4639418282,0.0084145110,0.0084145110,4.3836009751
1640,irrigado,1.2240159372,0.0123936047,0.0123936047,4.3713421724
2173,irrigado,1.2864249301,0.0112111893,0.0112111893,4.3243225768
1642,irrigado,1.2100272407,0.0124656514,0.0124656514,4.3161372364
932,nao_irrigado,0.9889732298,-0.0161235306,0.0161235306,4.3020388722
356,irrigado,1.3825730270,0.0093474646,0.0093474646,4.2375481323
1725,nao_irrigado,1.0961005520,-0.0138881659,0.0138881659,4.1512508526
2200,irrigado,1.1801567043,0.0123367299,0.0123367299,4.1019274039
2174,irrigado,1.2738828512,0.0107252984,0.0107252984,4.0872935935
2202,irrigado,1.2854884592,0.0104813663,0.0104813663,4.0703569328
407,nao_irrigado,1.1966295550,-0.0118959712,0.0118959712,4.0456862415
2116,irrigado,1.2333856451,0.0112517603,0.0112517603,4.0357693293
393,nao_irrigado,1.3657764529,-0.0089482287,0.0089482287,4.0057850545
388,nao_irrigado,1.0498512999,-0.0142277047,0.0142277047,4.0032558755
1724,nao_irrigado,1.0800799229,-0.0134098689,0.0134098689,3.8969778533
1639,irrigado,1.2236652395,0.0107411944,0.0107411944,3.8064206541
2117,irrigado,1.2339295807,0.0105677039,0.0105677039,3.8058346167
459,nao_irrigado,1.3094756362,-0.0092889875,0.0092889875,3.8009021489
2175,irrigado,1.2586952302,0.0100588617,0.0100588617,3.7736764800
1273,irrigado,1.1769535845,0.0112941308,0.0112941308,3.7284870972
1807,irrigado,1.2335408565,0.0102629513,0.0102629513,3.6997992599
1664,irrigado,1.2825496620,0.0094142021,0.0094142021,3.6900549938
1726,nao_irrigado,1.0824925156,-0.0127373291,0.0127373291,3.6816195888
1723,nao_irrigado,1.0626148803,-0.0130687597,0.0130687597,3.6812057149
997,nao_irrigado,1.3230715606,-0.0084335010,0.0084335010,3.5869755805
2168,irrigado,1.2346972273,0.0098912297,0.0098912297,3.5797582764
1806,irrigado,1.2819639145,0.0090443641,0.0090443641,3.5607239375
1643,irrigado,1.1776343908,0.0107659314,0.0107659314,3.5524280625
996,nao_irrigado,1.3071094110,-0.0085867207,0.0085867207,3.5481730579
1000,nao_irrigado,1.3234737635,-0.0082783412,0.0082783412,3.5364106441
