rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,392,nao_irrigado,1.5166099334,-0.0154516911,0.0154516911,7.0811967484
2,395,nao_irrigado,1.3672404292,-0.0156984126,0.0156984126,6.3136982747
3,391,nao_irrigado,1.3576460322,-0.0153318016,0.0153318016,6.1341086821
4,406,nao_irrigado,1.2825677769,-0.0165837118,0.0165837118,6.1325760447
5,390,nao_irrigado,1.2486395555,-0.0164851991,0.0164851991,5.9055928280
6,1661,irrigado,1.3958018548,0.0133896589,0.0133896589,5.6900086236
7,436,irrigado,1.2187766257,0.0159121114,0.0159121114,5.5401134408
8,389,nao_irrigado,1.1416797122,-0.0171584246,0.0171584246,5.5251657974
9,2170,irrigado,1.3172971769,0.0134389833,0.0134389833,5.2592604098
10,375,irrigado,1.0645943058,0.0175747634,0.0175747634,5.2275386257
11,437,irrigado,1.2539979551,0.0141173347,0.0141173347,5.1294867434
12,2171,irrigado,1.3101031955,0.0129682192,0.0129682192,5.0578739361
13,1662,irrigado,1.3567819046,0.0118759930,0.0118759930,4.9519012204
14,1641,irrigado,1.2300319431,0.0136504908,0.0136504908,4.8338191784
15,1660,irrigado,1.3557962305,0.0114439065,0.0114439065,4.7990841775
16,458,nao_irrigado,1.3428697655,-0.0115891450,0.0115891450,4.7748690389
17,2169,irrigado,1.2891180297,0.0122922482,0.0122922482,4.7079572387
18,435,irrigado,1.1270680764,0.0149106064,0.0149106064,4.6761073400
19,2172,irrigado,1.2981205399,0.0119938327,0.0119938327,4.6576197204
20,1663,irrigado,1.3276086073,0.0109848045,0.0109848045,4.4819868232
