wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
2281,nao_irrigado,1.8066786719,-0.0140449758,0.0140449758,7.8146641989
2280,nao_irrigado,1.8009092648,-0.0136945470,0.0136945470,7.6747904947
2279,nao_irrigado,1.7774657236,-0.0136356203,0.0136356203,7.5250068175
2282,nao_irrigado,1.7342126332,-0.0135157541,0.0135157541,7.2452392539
2294,irrigado,1.4824707556,0.0173073181,0.0173073181,6.9935539664
2278,nao_irrigado,1.7348038358,-0.0124346591,0.0124346591,6.9170422662
2295,irrigado,1.4237039116,0.0173897127,0.0173897127,6.6886483152
2275,nao_irrigado,1.5966298867,-0.0137053487,0.0137053487,6.5303921274
2276,nao_irrigado,1.6382260924,-0.0128503689,0.0128503689,6.5019135239
2277,nao_irrigado,1.6825128383,-0.0119916196,0.0119916196,6.4873953719
2270,nao_irrigado,1.4736480194,-0.0156584621,0.0156584621,6.4383619765
2273,nao_irrigado,1.5242991463,-0.0145344329,0.0145344329,6.3782528165
2272,nao_irrigado,1.5034349953,-0.0148267686,0.0148267686,6.3506759005
2274,nao_irrigado,1.5546455455,-0.0138159165,0.0138159165,6.3284155969
2271,nao_irrigado,1.4875539825,-0.0149320848,0.0149320848,6.2937462781
2293,irrigado,1.4778252698,0.0143929014,0.0143929014,6.0737461092
2269,nao_irrigado,1.4292152374,-0.0147374029,0.0147374029,5.9062801094
1666,irrigado,1.5794493175,0.0107150606,0.0107150606,5.5168918832
1665,irrigado,1.5553011237,0.0107689760,0.0107689760,5.3977523615
2331,irrigado,1.0664993305,0.0195801124,0.0195801124,5.3534397009
2296,irrigado,1.2868386432,0.0152514759,0.0152514759,5.2640010669
467,irrigado,1.3719231650,0.0136843069,0.0136843069,5.2614612239
551,nao_irrigado,1.3830008143,-0.0134019711,0.0134019711,5.2371207269
1667,irrigado,1.5644734071,0.0099840351,0.0099840351,5.2085826626
2283,nao_irrigado,1.5184685253,-0.0106625244,0.0106625244,5.1581708789
552,nao_irrigado,1.3753573581,-0.0132165476,0.0132165476,5.1373169421
2292,irrigado,1.4573817552,0.0113866887,0.0113866887,5.0370302204
1668,irrigado,1.5230381915,0.0098592459,0.0098592459,4.9375188818
978,nao_irrigado,1.2206982806,-0.0151905760,0.0151905760,4.8737271132
2268,nao_irrigado,1.3685737890,-0.0122591624,0.0122591624,4.8056216936
1706,irrigado,1.3542506775,0.0123113163,0.0123113163,4.7411426529
1664,irrigado,1.5065359328,0.0093679628,0.0093679628,4.6941512869
450,irrigado,1.3204729236,0.0126979152,0.0126979152,4.6699186102
1707,irrigado,1.3912109095,0.0111878556,0.0111878556,4.6042877247
553,nao_irrigado,1.3097024380,-0.0126585617,0.0126585617,4.5973386036
2332,irrigado,1.0237277997,0.0178360725,0.0178360725,4.5783236691
466,irrigado,1.3332196598,0.0121553329,0.0121553329,4.5751508457
2330,irrigado,1.0318228237,0.0175637534,0.0175637534,4.5402974163
416,nao_irrigado,1.2159624915,-0.0138604037,0.0138604037,4.4392215513
977,nao_irrigado,1.2896771329,-0.0124982340,0.0124982340,4.4356650534
415,nao_irrigado,1.1577719455,-0.0148792037,0.0148792037,4.4247031071
417,nao_irrigado,1.2173865059,-0.0137000458,0.0137000458,4.3980482848
1705,irrigado,1.2841053241,0.0120508450,0.0120508450,4.2671685818
446,irrigado,1.2781980079,0.0121533668,0.0121533668,4.2654176854
976,nao_irrigado,1.3471047767,-0.0108627461,0.0108627461,4.2567894595
449,irrigado,1.3038537668,0.0115307324,0.0115307324,4.2186291371
1731,nao_irrigado,1.0713110573,-0.0154942157,0.0154942157,4.1275304624
1708,irrigado,1.4048435015,0.0092326781,0.0092326781,4.0813236319
418,nao_irrigado,1.1918260756,-0.0130463570,0.0130463570,4.0539869941
554,nao_irrigado,1.2386871202,-0.0121796354,0.0121796354,4.0514874132
1702,irrigado,1.1748835598,0.0133205799,0.0133205799,4.0428888542
404,nao_irrigado,1.0918513100,-0.0147869908,0.0147869908,4.0260615172
1669,irrigado,1.4482527726,0.0081227813,0.0081227813,3.9848609842
1194,irrigado,1.0517615826,0.0153815722,0.0153815722,3.9831526604
1703,irrigado,1.1965256114,0.0127270011,0.0127270011,3.9824598790
1730,nao_irrigado,1.0593446876,-0.0151660810,0.0151660810,3.9596765924
959,irrigado,1.0587469387,0.0151411079,0.0151411079,3.9486602257
1701,irrigado,1.1628124317,0.0131390326,0.0131390326,3.9193975725
550,nao_irrigado,1.2466579730,-0.0113845731,0.0113845731,3.8524639519
1704,irrigado,1.2199411362,0.0117656368,0.0117656368,3.8192131467
1663,irrigado,1.4593783576,0.0072921003,0.0072921003,3.7926393504
966,nao_irrigado,1.0739989202,-0.0141917373,0.0141917373,3.7432258486
1729,nao_irrigado,1.0371681590,-0.0146871443,0.0146871443,3.6882150662
2267,nao_irrigado,1.3024681672,-0.0098003278,0.0098003278,3.6802145348
1732,nao_irrigado,1.0540713181,-0.0143078129,0.0143078129,3.6668605020
405,nao_irrigado,1.1006190832,-0.0133132119,0.0133132119,3.6233864969
2297,irrigado,1.1320262078,0.0126796774,0.0126796774,3.6055685434
447,irrigado,1.2723859337,0.0099957184,0.0099957184,3.5711190529
555,nao_irrigado,1.1801169905,-0.0116593216,0.0116593216,3.5628659825
965,nao_irrigado,1.0105157468,-0.0147221817,0.0147221817,3.5492170286
451,irrigado,1.2930174804,0.0093264562,0.0093264562,3.4818043216
1644,irrigado,1.1781183291,0.0114169975,0.0114169975,3.4773279908
1441,nao_irrigado,1.4667988061,-0.0061123211,0.0061123211,3.4725498040
989,nao_irrigado,1.1449049054,-0.0120070372,0.0120070372,3.4716598219
448,irrigado,1.2730599747,0.0095788297,0.0095788297,3.4470668278
1825,irrigado,1.1196064861,0.0123209223,0.0123209223,3.4257778384
1440,nao_irrigado,1.4667686853,-0.0059529821,0.0059529821,3.4235191731
445,irrigado,1.2606449802,0.0097033609,0.0097033609,3.4155027636
921,irrigado,0.9518018374,0.0151350382,0.0151350382,3.3459451588
412,nao_irrigado,1.1247047096,-0.0118073504,0.0118073504,3.2969341754
458,nao_irrigado,1.2852570473,-0.0088508318,0.0088508318,3.2923530076
