rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,2281,nao_irrigado,1.8066786719,-0.0140449758,0.0140449758,7.8146641989
2,2280,nao_irrigado,1.8009092648,-0.0136945470,0.0136945470,7.6747904947
3,2279,nao_irrigado,1.7774657236,-0.0136356203,0.0136356203,7.5250068175
4,2282,nao_irrigado,1.7342126332,-0.0135157541,0.0135157541,7.2452392539
5,2294,irrigado,1.4824707556,0.0173073181,0.0173073181,6.9935539664
6,2278,nao_irrigado,1.7348038358,-0.0124346591,0.0124346591,6.9170422662
7,2295,irrigado,1.4237039116,0.0173897127,0.0173897127,6.6886483152
8,2275,nao_irrigado,1.5966298867,-0.0137053487,0.0137053487,6.5303921274
9,2276,nao_irrigado,1.6382260924,-0.0128503689,0.0128503689,6.5019135239
10,2277,nao_irrigado,1.6825128383,-0.0119916196,0.0119916196,6.4873953719
11,2270,nao_irrigado,1.4736480194,-0.0156584621,0.0156584621,6.4383619765
12,2273,nao_irrigado,1.5242991463,-0.0145344329,0.0145344329,6.3782528165
13,2272,nao_irrigado,1.5034349953,-0.0148267686,0.0148267686,6.3506759005
14,2274,nao_irrigado,1.5546455455,-0.0138159165,0.0138159165,6.3284155969
15,2271,nao_irrigado,1.4875539825,-0.0149320848,0.0149320848,6.2937462781
16,2293,irrigado,1.4778252698,0.0143929014,0.0143929014,6.0737461092
17,2269,nao_irrigado,1.4292152374,-0.0147374029,0.0147374029,5.9062801094
18,1666,irrigado,1.5794493175,0.0107150606,0.0107150606,5.5168918832
19,1665,irrigado,1.5553011237,0.0107689760,0.0107689760,5.3977523615
20,2331,irrigado,1.0664993305,0.0195801124,0.0195801124,5.3534397009
