wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1826,irrigado,1.5904382169,0.0073773859,0.0073773859,7.5808275390
1816,irrigado,1.4135490608,0.0086079812,0.0086079812,7.4699335386
1835,irrigado,1.5702418893,0.0073596711,0.0073596711,7.4538343127
907,irrigado,1.5978256178,0.0069984147,0.0069984147,7.3487436757
906,irrigado,1.5698206968,0.0069505077,0.0069505077,7.1557823559
1834,irrigado,1.5169955120,0.0071776601,0.0071776601,7.0212487271
1827,irrigado,1.5142112759,0.0071152711,0.0071152711,6.9604227442
1833,irrigado,1.4942909921,0.0070938966,0.0070938966,6.8323457535
1815,irrigado,1.3852724600,0.0079315390,0.0079315390,6.8212427601
1832,irrigado,1.4820047842,0.0070443803,0.0070443803,6.7270966873
1828,irrigado,1.4852253083,0.0070191478,0.0070191478,6.7270722879
1831,irrigado,1.4740861454,0.0070075552,0.0070075552,6.6557132903
1829,irrigado,1.4713461156,0.0069775359,0.0069775359,6.6185283100
1830,irrigado,1.4702438659,0.0069854184,0.0069854184,6.6179920966
1817,irrigado,1.3247317024,0.0079775441,0.0079775441,6.5121834528
2186,irrigado,1.4689736155,0.0065354923,0.0065354923,6.2856834555
2185,irrigado,1.4590516243,0.0063041788,0.0063041788,6.0624313446
2187,irrigado,1.4222260162,0.0063789797,0.0063789797,5.9082683964
436,irrigado,1.3769643982,0.0064705791,0.0064705791,5.7185463346
2184,irrigado,1.4269923438,0.0059931487,0.0059931487,5.6564077073
2183,irrigado,1.4107776152,0.0058713457,0.0058713457,5.4767104119
826,irrigado,1.4050867544,0.0058574701,0.0058574701,5.4345069319
825,irrigado,1.3864881190,0.0058838739,0.0058838739,5.3484283347
905,irrigado,1.3938191562,0.0058051795,0.0058051795,5.3330124338
716,irrigado,1.2296171746,0.0070614975,0.0070614975,5.3124407980
1661,irrigado,1.3621351762,0.0058749038,0.0058749038,5.2042523428
435,irrigado,1.2852026214,0.0064599416,0.0064599416,5.1920290173
1818,irrigado,1.2064022737,0.0070658887,0.0070658887,5.1843546132
2188,irrigado,1.3396690525,0.0057815619,0.0057815619,5.0097756551
2182,irrigado,1.3742991522,0.0054860496,0.0054860496,4.9920340526
827,irrigado,1.3736202064,0.0054607692,0.0054607692,4.9699270515
1801,irrigado,1.4879893389,0.0045154908,0.0045154908,4.9335027210
717,irrigado,1.2649727826,0.0062511627,0.0062511627,4.9267792369
2206,irrigado,1.3563512743,0.0054592562,0.0054592562,4.8711934093
2205,irrigado,1.3722049799,0.0053210926,0.0053210926,4.8609918107
1802,irrigado,1.4665376706,0.0045800185,0.0045800185,4.8588419817
437,irrigado,1.3502907181,0.0054728512,0.0054728512,4.8467504896
842,irrigado,1.2980990904,0.0057923695,0.0057923695,4.7825446600
2204,irrigado,1.3863185596,0.0050942155,0.0050942155,4.7768450618
824,irrigado,1.3391964029,0.0054498417,0.0054498417,4.7673949147
2207,irrigado,1.3386588762,0.0054094347,0.0054094347,4.7351567085
979,irrigado,1.2856062569,0.0056915920,0.0056915920,4.6390849167
1814,irrigado,1.2411893713,0.0059697031,0.0059697031,4.5889165055
841,irrigado,1.2820957335,0.0056160273,0.0056160273,4.5646312918
2203,irrigado,1.3805522288,0.0048045361,0.0048045361,4.5349129373
2202,irrigado,1.3830967986,0.0047684378,0.0047684378,4.5232147525
843,irrigado,1.2817658610,0.0055001453,0.0055001453,4.4790273139
1660,irrigado,1.3309578321,0.0051115936,0.0051115936,4.4763877165
1662,irrigado,1.3088451389,0.0052835637,0.0052835637,4.4756296377
1800,irrigado,1.4565144913,0.0040990753,0.0040990753,4.4546297621
908,irrigado,1.4002101678,0.0044705169,0.0044705169,4.4046912733
2120,irrigado,1.3292208262,0.0049554081,0.0049554081,4.3537033622
1641,irrigado,1.2922525421,0.0052363483,0.0052363483,4.3476945129
2208,irrigado,1.2991093740,0.0050952436,0.0050952436,4.2844984222
715,irrigado,1.0960157985,0.0066695520,0.0066695520,4.2738166425
1803,irrigado,1.4099309111,0.0042061692,0.0042061692,4.2686298969
2181,irrigado,1.3376614242,0.0047352340,0.0047352340,4.2423247144
978,irrigado,1.2623922026,0.0053074162,0.0053074162,4.2302163843
2121,irrigado,1.3305755605,0.0046959594,0.0046959594,4.1738798846
2209,irrigado,1.2846928226,0.0050294523,0.0050294523,4.1554435442
2201,irrigado,1.3611439091,0.0044207887,0.0044207887,4.1478720252
823,irrigado,1.2921404573,0.0048895387,0.0048895387,4.0964485519
2119,irrigado,1.3108744042,0.0046697237,0.0046697237,4.0435290567
2177,irrigado,1.3291831893,0.0044821893,0.0044821893,4.0115322390
718,irrigado,1.2391521842,0.0051816619,0.0051816619,4.0079421189
828,irrigado,1.2918848219,0.0047477869,0.0047477869,3.9925701649
2210,irrigado,1.2653158028,0.0049213024,0.0049213024,3.9677323578
2176,irrigado,1.3271347783,0.0043872517,0.0043872517,3.9313463422
1615,irrigado,1.2522683488,0.0049692083,0.0049692083,3.9285785855
2178,irrigado,1.3274267691,0.0043648945,0.0043648945,3.9168414749
840,irrigado,1.2416152384,0.0050328448,0.0050328448,3.9143299642
1659,irrigado,1.2898726076,0.0045969312,0.0045969312,3.8721812382
1652,irrigado,1.2700486167,0.0046754030,0.0046754030,3.8167998935
1663,irrigado,1.2372977002,0.0048199987,0.0048199987,3.7361109231
2179,irrigado,1.3188127458,0.0041782564,0.0041782564,3.7332681412
1653,irrigado,1.2657236359,0.0045893035,0.0045893035,3.7301286147
1614,irrigado,1.2382641104,0.0047934107,0.0047934107,3.7223620176
2122,irrigado,1.3219468860,0.0041224301,0.0041224301,3.7106475650
1616,irrigado,1.2397882076,0.0046765301,0.0046765301,3.6465189176
1804,irrigado,1.3372949149,0.0038747370,0.0038747370,3.6184383553
2180,irrigado,1.3084488271,0.0040356128,0.0040356128,3.5715920937
2148,irrigado,1.4019450669,0.0032799649,0.0032799649,3.5541814953
2309,nao_irrigado,1.1676672783,-0.0050957961,0.0050957961,3.5417107044
1640,irrigado,1.2529224536,0.0044154131,0.0044154131,3.5320923601
2118,irrigado,1.2824021779,0.0041668111,0.0041668111,3.5191284831
1799,irrigado,1.3836856247,0.0033701980,0.0033701980,3.5161451993
1819,irrigado,1.0708094997,0.0057746888,0.0057746888,3.4846497810
822,irrigado,1.2413922689,0.0044040550,0.0044040550,3.4586918954
2149,irrigado,1.4005549107,0.0031557635,0.0031557635,3.4565707109
2147,irrigado,1.3935173748,0.0031841286,0.0031841286,3.4372770344
2175,irrigado,1.3220224464,0.0037328948,0.0037328948,3.4295880202
1664,irrigado,1.1907727334,0.0047534636,0.0047534636,3.4249742941
2200,irrigado,1.3082210015,0.0038258616,0.0038258616,3.4187330795
