wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
2149,irrigado,1.4902737561,0.0114193652,0.0114193652,6.9215463115
2150,irrigado,1.4622316354,0.0114409616,0.0114409616,6.7569469183
2170,irrigado,1.5129594006,0.0106340659,0.0106340659,6.7164845926
2148,irrigado,1.4982480930,0.0107269027,0.0107269027,6.6660363092
2151,irrigado,1.4386108148,0.0114181367,0.0114181367,6.6002320496
2169,irrigado,1.5394527221,0.0095796313,0.0095796313,6.4165133429
2152,irrigado,1.4165888847,0.0112820538,0.0112820538,6.4035557126
890,irrigado,1.2012280858,0.0138281207,0.0138281207,6.1879046202
2171,irrigado,1.4392738490,0.0104214668,0.0104214668,6.1653263351
2168,irrigado,1.5420715553,0.0084942981,0.0084942981,5.9546958372
2153,irrigado,1.3907871922,0.0103664532,0.0103664532,5.8400417290
2147,irrigado,1.4727716699,0.0090729513,0.0090729513,5.7793062333
422,nao_irrigado,1.4089657865,-0.0099698267,0.0099698267,5.7782021553
970,nao_irrigado,1.2595922405,-0.0120554003,0.0120554003,5.7694208365
464,nao_irrigado,1.2573306335,-0.0112413908,0.0112413908,5.3968160757
2167,irrigado,1.5257724797,0.0072379051,0.0072379051,5.3000678065
423,nao_irrigado,1.3968122685,-0.0090227221,0.0090227221,5.2855519828
889,irrigado,1.1261324174,0.0126385329,0.0126385329,5.1976379301
2172,irrigado,1.3536097577,0.0092310100,0.0092310100,5.1090579419
465,nao_irrigado,1.2729477669,-0.0103323729,0.0103323729,5.0933695311
2154,irrigado,1.3732308864,0.0087612996,0.0087612996,5.0239822871
874,irrigado,1.2696576943,0.0100457959,0.0100457959,4.9467074868
2146,irrigado,1.4464896154,0.0075264288,0.0075264288,4.9348953202
478,nao_irrigado,1.3068878566,-0.0093456578,0.0093456578,4.8694646861
875,irrigado,1.3086709175,0.0091449325,0.0091449325,4.7921182510
811,nao_irrigado,0.9398400561,-0.0142035698,0.0142035698,4.7303382824
455,nao_irrigado,1.4704712996,-0.0066843633,0.0066843633,4.7128757519
876,irrigado,1.3373650839,0.0085516086,0.0085516086,4.7089263213
891,irrigado,1.0998831603,0.0118441903,0.0118441903,4.6847578645
2155,irrigado,1.3865310908,0.0077796394,0.0077796394,4.6741518656
454,nao_irrigado,1.3575833612,-0.0080635180,0.0080635180,4.6194620592
453,nao_irrigado,1.2550391209,-0.0094929552,0.0094929552,4.6124209381
477,nao_irrigado,1.2515599240,-0.0095108261,0.0095108261,4.5986906489
2156,irrigado,1.4109604860,0.0072020227,0.0072020227,4.5713989825
901,irrigado,1.1792129502,0.0102694074,0.0102694074,4.4836382275
810,nao_irrigado,0.9569130777,-0.0133725550,0.0133725550,4.4702908263
2145,irrigado,1.4263250203,0.0065698625,0.0065698625,4.3883369033
466,nao_irrigado,1.3550367673,-0.0074303087,0.0074303087,4.3247284340
424,nao_irrigado,1.3537805947,-0.0073681689,0.0073681689,4.2895569698
448,nao_irrigado,1.2355408149,-0.0089139669,0.0089139669,4.2363185560
835,nao_irrigado,1.1041758434,-0.0107601339,0.0107601339,4.2338956665
877,irrigado,1.2991136942,0.0079669592,0.0079669592,4.2138931684
2157,irrigado,1.4186008938,0.0062041292,0.0062041292,4.1792764854
456,nao_irrigado,1.4993579950,-0.0049903583,0.0049903583,4.1460409228
392,nao_irrigado,1.4317976464,-0.0059348938,0.0059348938,4.1426192921
2166,irrigado,1.4747656788,0.0053219325,0.0053219325,4.1394030969
399,nao_irrigado,0.9947905835,-0.0120100320,0.0120100320,4.1052938236
452,nao_irrigado,1.1833764085,-0.0093273888,0.0093273888,4.0945397889
461,nao_irrigado,1.2489217749,-0.0082959854,0.0082959854,4.0471861322
2158,irrigado,1.4236454459,0.0058299110,0.0058299110,4.0457587748
1045,nao_irrigado,1.0790709790,-0.0106784355,0.0106784355,4.0420333051
447,nao_irrigado,1.2230066119,-0.0086461322,0.0086461322,4.0405158697
2159,irrigado,1.4277996001,0.0056983794,0.0056983794,4.0136134726
444,nao_irrigado,1.3470884397,-0.0067751323,0.0067751323,3.9867793727
479,nao_irrigado,1.2782674429,-0.0075605350,0.0075605350,3.9054341240
990,nao_irrigado,1.0686862631,-0.0104707469,0.0104707469,3.8860704175
2142,irrigado,1.3632345953,0.0063148002,0.0063148002,3.8842587709
476,nao_irrigado,1.1972246316,-0.0086515663,0.0086515663,3.8828302574
421,nao_irrigado,1.2771935042,-0.0074432451,0.0074432451,3.8471011304
2144,irrigado,1.3951134155,0.0057670172,0.0057670172,3.8409005150
1044,nao_irrigado,1.1717973510,-0.0088364958,0.0088364958,3.8064127703
2143,irrigado,1.3777056109,0.0058994188,0.0058994188,3.7911376568
393,nao_irrigado,1.4084445133,-0.0054106742,0.0054106742,3.7667074586
878,irrigado,1.2029890256,0.0081969436,0.0081969436,3.7183646627
410,nao_irrigado,1.1673584530,-0.0086901614,0.0086901614,3.7143931035
443,nao_irrigado,1.3934670874,-0.0054907596,0.0054907596,3.7089900193
2141,irrigado,1.3443211800,0.0060581980,0.0060581980,3.6537956104
2115,irrigado,1.2408424865,0.0073898843,0.0073898843,3.5978942703
2307,nao_irrigado,1.2196721557,-0.0076877941,0.0076877941,3.5976746109
467,nao_irrigado,1.3798497362,-0.0054152311,0.0054152311,3.5911709131
375,irrigado,1.1599267017,0.0085017693,0.0085017693,3.5852649477
2308,nao_irrigado,1.2001919256,-0.0079255605,0.0079255605,3.5814562137
2114,irrigado,1.2211547253,0.0075113875,0.0075113875,3.5291745923
873,irrigado,1.0959252439,0.0092752560,0.0092752560,3.5285951362
2160,irrigado,1.4081686302,0.0048370675,0.0048370675,3.5123268670
2173,irrigado,1.2678057952,0.0068049491,0.0068049491,3.5076506346
463,nao_irrigado,1.2109053723,-0.0076059720,0.0076059720,3.5072002777
2116,irrigado,1.2515222360,0.0068071974,0.0068071974,3.4075370305
1250,irrigado,1.2140506804,0.0073118950,0.0073118950,3.3971915543
989,nao_irrigado,1.0697029282,-0.0093157993,0.0093157993,3.3836407458
494,irrigado,1.1769388367,0.0077855668,0.0077855668,3.3754130145
991,nao_irrigado,0.9960995958,-0.0102553431,0.0102553431,3.3404996628
2113,irrigado,1.1978372380,0.0073687852,0.0073687852,3.3215824992
834,nao_irrigado,1.0713462488,-0.0091440595,0.0091440595,3.3181944834
451,nao_irrigado,1.1617789103,-0.0077940811,0.0077940811,3.2850361048
458,nao_irrigado,1.3292450528,-0.0053182580,0.0053182580,3.2342528610
495,irrigado,1.1725540338,0.0075243016,0.0075243016,3.2331034343
475,nao_irrigado,1.1839517290,-0.0072136328,0.0072136328,3.1670249366
2193,nao_irrigado,1.0363302751,-0.0092885674,0.0092885674,3.1644359156
2165,irrigado,1.4242704734,0.0037897433,0.0037897433,3.1509673889
1251,irrigado,1.1988316870,0.0069363857,0.0069363857,3.1372895826
430,irrigado,1.1956076691,0.0069375791,0.0069375791,3.1177975042
449,nao_irrigado,1.2120236523,-0.0067018830,0.0067018830,3.1159020364
1694,irrigado,0.8732652305,0.0113722958,0.0113722958,3.0698318410
969,nao_irrigado,0.9579164545,-0.0101625650,0.0101625650,3.0625543066
2140,irrigado,1.3327560318,0.0048746435,0.0048746435,3.0606449166
836,nao_irrigado,1.1087667610,-0.0079576790,0.0079576790,3.0279489423
1219,irrigado,1.1559975251,0.0072798079,0.0072798079,3.0226078663
462,nao_irrigado,1.2192759948,-0.0062871348,0.0062871348,2.9782393873
2072,nao_irrigado,1.1852988905,-0.0067588631,0.0067588631,2.9750682217
438,irrigado,1.2231133177,0.0062229563,0.0062229563,2.9737952061
2397,irrigado,1.0491959407,0.0086489768,0.0086489768,2.9625854716
1043,nao_irrigado,1.1663760674,-0.0069922533,0.0069922533,2.9603830535
1249,irrigado,1.1765189981,0.0068258779,0.0068258779,2.9500735148
417,nao_irrigado,1.0382507338,-0.0087659810,0.0087659810,2.9461662467
2112,irrigado,1.1769595685,0.0067762213,0.0067762213,2.9309357811
2161,irrigado,1.3851675983,0.0038412939,0.0038412939,2.9308867530
2306,nao_irrigado,1.1848104039,-0.0066373195,0.0066373195,2.9184965450
2309,nao_irrigado,1.1392022627,-0.0072784724,0.0072784724,2.9177384746
460,nao_irrigado,1.2478763344,-0.0057172837,0.0057172837,2.9048043739
1042,nao_irrigado,1.1649866358,-0.0068077745,0.0068077745,2.8704951967
457,nao_irrigado,1.3850888252,-0.0036333065,0.0036333065,2.8387814151
459,nao_irrigado,1.2740228093,-0.0051343824,0.0051343824,2.8103849692
2446,irrigado,0.9803249110,0.0092706272,0.0092706272,2.8087984396
924,nao_irrigado,1.0575777702,-0.0081732183,0.0081732183,2.8050613405
995,nao_irrigado,0.9874858933,-0.0091357917,0.0091357917,2.7938670874
879,irrigado,1.1328139735,0.0069962568,0.0069962568,2.7537608958
496,irrigado,1.1380963054,0.0069212590,0.0069212590,2.7535229386
1218,irrigado,1.1570577197,0.0066534911,0.0066534911,2.7533046954
2194,nao_irrigado,1.0240686960,-0.0084930603,0.0084930603,2.7378918568
2445,irrigado,1.0249872535,0.0084744710,0.0084744710,2.7354067828
450,nao_irrigado,1.1842783723,-0.0062056290,0.0062056290,2.7250381226
1054,nao_irrigado,1.1474473407,-0.0067192211,0.0067192211,2.7225876010
900,irrigado,1.0236919050,0.0084496482,0.0084496482,2.7164297993
892,irrigado,0.9997450748,0.0086845316,0.0086845316,2.6712085809
2071,nao_irrigado,1.1733121877,-0.0061739428,0.0061739428,2.6429920990
2164,irrigado,1.4010047501,0.0029468342,0.0029468342,2.6352189856
416,nao_irrigado,1.0100915067,-0.0084339002,0.0084339002,2.6250486942
2139,irrigado,1.3322293375,0.0038545048,0.0038545048,2.6080144987
2073,nao_irrigado,1.1697879572,-0.0061378420,0.0061378420,2.6052082792
445,nao_irrigado,1.2423555932,-0.0050917622,0.0050917622,2.5949907398
2398,irrigado,1.0408418081,0.0079100543,0.0079100543,2.5852275062
1181,nao_irrigado,1.1661459020,-0.0061289247,0.0061289247,2.5786669077
2396,irrigado,1.0330484481,0.0079996024,0.0079996024,2.5762838280
493,irrigado,1.1594084316,0.0062176573,0.0062176573,2.5759200053
1255,irrigado,1.0799986673,0.0073332928,0.0073332928,2.5742935594
1180,nao_irrigado,1.1593158173,-0.0061736891,0.0061736891,2.5559774570
888,irrigado,1.0006254676,0.0084047517,0.0084047517,2.5534347986
2117,irrigado,1.2478963786,0.0048884234,0.0048884234,2.5398247165
988,nao_irrigado,0.9951365929,-0.0084356854,0.0084356854,2.5329805774
880,irrigado,1.1064791581,0.0068582965,0.0068582965,2.5294790172
442,nao_irrigado,1.3064719799,-0.0039953528,0.0039953528,2.5101301447
1921,irrigado,1.2886967853,0.0041983303,0.0041983303,2.4891741062
380,irrigado,1.1604419311,0.0059745138,0.0059745138,2.4752348211
2192,nao_irrigado,1.0087414702,-0.0080867701,0.0080867701,2.4637592583
429,irrigado,1.2822643600,0.0042156781,0.0042156781,2.4568769654
2138,irrigado,1.3327161067,0.0034808839,0.0034808839,2.4464608012
1202,nao_irrigado,1.0828053195,-0.0069794767,0.0069794767,2.4358677404
1726,nao_irrigado,1.0374515849,-0.0076124851,0.0076124851,2.4331017032
2162,irrigado,1.3774320624,0.0027959102,0.0027959102,2.4223766972
1727,nao_irrigado,1.0476050607,-0.0074325131,0.0074325131,2.4168684728
468,nao_irrigado,1.2868916287,-0.0040233697,0.0040233697,2.4008976860
881,irrigado,1.0096571294,0.0078684774,0.0078684774,2.3732889094
439,irrigado,1.2250775181,0.0048281807,0.0048281807,2.3716070330
914,irrigado,0.9087783310,0.0092345729,0.0092345729,2.3486870810
1183,nao_irrigado,1.1286996639,-0.0061294765,0.0061294765,2.3464078009
1695,irrigado,0.8568641086,0.0099562393,0.0099562393,2.3442401250
1920,irrigado,1.2646991290,0.0042065626,0.0042065626,2.3437998482
2137,irrigado,1.3286821100,0.0032811217,0.0032811217,2.3334207494
1053,nao_irrigado,1.0514518802,-0.0071860273,0.0071860273,2.3321788380
1182,nao_irrigado,1.1523040035,-0.0057385909,0.0057385909,2.3207852507
2111,irrigado,1.1575670705,0.0056445957,0.0056445957,2.3120595484
1666,nao_irrigado,1.2395551453,-0.0044134649,0.0044134649,2.2788201397
425,nao_irrigado,1.2173732535,-0.0046909065,0.0046909065,2.2633037675
1922,irrigado,1.2911190171,0.0036471413,0.0036471413,2.2614207358
398,nao_irrigado,1.1088344829,-0.0061408192,0.0061408192,2.2280620403
2163,irrigado,1.3794514978,0.0023157001,0.0023157001,2.2233878884
1667,nao_irrigado,1.1750269416,-0.0051693544,0.0051693544,2.2111284398
816,nao_irrigado,0.9103800616,-0.0088686797,0.0088686797,2.1974600805
441,nao_irrigado,1.2795174757,-0.0035975220,0.0035975220,2.1675305020
1640,irrigado,1.1767000063,0.0050315680,0.0050315680,2.1608229933
911,irrigado,0.8938395458,0.0089584694,0.0089584694,2.1343121161
1807,irrigado,1.1433589845,0.0054140217,0.0054140217,2.1222766931
1641,irrigado,1.1602293623,0.0051395386,0.0051395386,2.1061173330
1662,irrigado,1.3158252695,0.0029449565,0.0029449565,2.1055159441
1223,nao_irrigado,1.0169793980,-0.0071066809,0.0071066809,2.0831893522
2136,irrigado,1.3123820512,0.0029229434,0.0029229434,2.0744405958
2174,irrigado,1.1962748098,0.0045299952,0.0045299952,2.0614246461
1254,irrigado,1.0863965117,0.0060748792,0.0060748792,2.0596997153
1728,nao_irrigado,1.0453134828,-0.0066516638,0.0066516638,2.0586843212
358,irrigado,0.9356797582,0.0081664447,0.0081664447,2.0452178429
376,irrigado,1.1157704760,0.0056265100,0.0056265100,2.0445796157
1016,nao_irrigado,1.1992530887,-0.0044417918,0.0044417918,2.0410640005
815,nao_irrigado,0.8662078823,-0.0090732577,0.0090732577,2.0133112572
2444,irrigado,1.0342913959,0.0066837422,0.0066837422,2.0043788217
480,nao_irrigado,1.1813683547,-0.0046044384,0.0046044384,2.0016625363
1172,nao_irrigado,1.0622366885,-0.0062614734,0.0062614734,1.9918850991
1693,irrigado,0.8371985941,0.0094208464,0.0094208464,1.9863028731
1179,nao_irrigado,1.1117159491,-0.0055401176,0.0055401176,1.9813502906
1923,irrigado,1.2817357631,0.0031380857,0.0031380857,1.9789269232
1663,irrigado,1.3260382703,0.0025037077,0.0025037077,1.9745626735
2070,nao_irrigado,1.1521079796,-0.0049159820,0.0049159820,1.9572176899
929,irrigado,0.9293287351,0.0080388810,0.0080388810,1.9495941724
1795,irrigado,1.1351412374,0.0051206705,0.0051206705,1.9420349682
904,nao_irrigado,0.9973273270,-0.0070627022,0.0070627022,1.9417982721
497,irrigado,1.0824907368,0.0058500289,0.0058500289,1.9364047773
1661,irrigado,1.2999198121,0.0027678013,0.0027678013,1.9287246379
1639,irrigado,1.1925379621,0.0042664813,0.0042664813,1.9221476695
1808,irrigado,1.0830897846,0.0057986587,0.0057986587,1.9174961993
2310,nao_irrigado,1.0647249603,-0.0060483457,0.0060483457,1.9134542349
2074,nao_irrigado,1.1400191755,-0.0049642748,0.0049642748,1.9034312586
1046,nao_irrigado,0.8904240518,-0.0084769833,0.0084769833,1.9010159693
1244,irrigado,1.1267946995,0.0051341952,0.0051341952,1.8961691659
950,irrigado,1.0727927575,0.0058915489,0.0058915489,1.8944795411
1796,irrigado,1.1762380269,0.0044106364,0.0044106364,1.8844408320
1729,nao_irrigado,1.0463943367,-0.0062349221,0.0062349221,1.8818250499
1741,nao_irrigado,1.0740397472,-0.0058415344,0.0058415344,1.8801911892
1806,irrigado,1.1806987888,0.0043376685,0.0043376685,1.8799959134
355,irrigado,0.9825922801,0.0071294539,0.0071294539,1.8797123956
837,nao_irrigado,1.1234544092,-0.0051321785,0.0051321785,1.8745410821
