rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,2149,irrigado,1.4902737561,0.0114193652,0.0114193652,6.9215463115
2,2150,irrigado,1.4622316354,0.0114409616,0.0114409616,6.7569469183
3,2170,irrigado,1.5129594006,0.0106340659,0.0106340659,6.7164845926
4,2148,irrigado,1.4982480930,0.0107269027,0.0107269027,6.6660363092
5,2151,irrigado,1.4386108148,0.0114181367,0.0114181367,6.6002320496
6,2169,irrigado,1.5394527221,0.0095796313,0.0095796313,6.4165133429
7,2152,irrigado,1.4165888847,0.0112820538,0.0112820538,6.4035557126
8,890,irrigado,1.2012280858,0.0138281207,0.0138281207,6.1879046202
9,2171,irrigado,1.4392738490,0.0104214668,0.0104214668,6.1653263351
10,2168,irrigado,1.5420715553,0.0084942981,0.0084942981,5.9546958372
11,2153,irrigado,1.3907871922,0.0103664532,0.0103664532,5.8400417290
12,2147,irrigado,1.4727716699,0.0090729513,0.0090729513,5.7793062333
13,422,nao_irrigado,1.4089657865,-0.0099698267,0.0099698267,5.7782021553
14,970,nao_irrigado,1.2595922405,-0.0120554003,0.0120554003,5.7694208365
15,464,nao_irrigado,1.2573306335,-0.0112413908,0.0112413908,5.3968160757
16,2167,irrigado,1.5257724797,0.0072379051,0.0072379051,5.3000678065
17,423,nao_irrigado,1.3968122685,-0.0090227221,0.0090227221,5.2855519828
18,889,irrigado,1.1261324174,0.0126385329,0.0126385329,5.1976379301
19,2172,irrigado,1.3536097577,0.0092310100,0.0092310100,5.1090579419
20,465,nao_irrigado,1.2729477669,-0.0103323729,0.0103323729,5.0933695311
