wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
383,nao_irrigado,1.7115496692,-0.0189935360,0.0189935360,10.1218253992
988,irrigado,1.2568064370,0.0189693799,0.0189693799,7.1864424404
382,nao_irrigado,1.5183839550,-0.0127181924,0.0127181924,6.7019566375
384,nao_irrigado,1.6101879772,-0.0104419215,0.0104419215,6.5033628650
408,nao_irrigado,1.3943789714,-0.0135322632,0.0135322632,6.1861368106
385,nao_irrigado,1.5049854408,-0.0105202120,0.0105202120,5.8533694294
388,nao_irrigado,1.3547119819,-0.0129608532,0.0129608532,5.7326283825
386,nao_irrigado,1.3870494844,-0.0113876989,0.0113876989,5.3951403535
389,nao_irrigado,1.3516862389,-0.0118858989,0.0118858989,5.3403163433
409,nao_irrigado,1.5032577658,-0.0089399485,0.0089399485,5.2941514038
2286,irrigado,1.0874072232,0.0165725818,0.0165725818,5.2647817862
669,nao_irrigado,1.5463766775,-0.0079838246,0.0079838246,5.2400695473
1276,irrigado,1.1589835555,0.0150766913,0.0150766913,5.2066569001
989,irrigado,1.1651634536,0.0149495556,0.0149495556,5.2023388294
670,nao_irrigado,1.4929096424,-0.0087587102,0.0087587102,5.1646839751
668,nao_irrigado,1.5668037509,-0.0072384005,0.0072384005,5.1130082151
407,nao_irrigado,1.2228014017,-0.0133129127,0.0133129127,5.0056795654
387,nao_irrigado,1.3477497517,-0.0109711839,0.0109711839,4.9977194932
1633,irrigado,1.1740773420,0.0141008089,0.0141008089,4.9653352480
971,irrigado,1.4161478786,0.0094239087,0.0094239087,4.9013155407
1096,irrigado,1.4790230187,0.0082369441,0.0082369441,4.8943321489
671,nao_irrigado,1.4133141951,-0.0094410760,0.0094410760,4.8890305040
470,irrigado,1.2802057008,0.0113853859,0.0113853859,4.7066263624
1277,irrigado,1.1844285052,0.0131582946,0.0131582946,4.7050605536
1095,irrigado,1.4571772996,0.0079314810,0.0079314810,4.6477731641
667,nao_irrigado,1.5537050831,-0.0060239784,0.0060239784,4.6074877362
390,nao_irrigado,1.3131361270,-0.0104577412,0.0104577412,4.5968429531
851,nao_irrigado,1.2261430930,-0.0119654313,0.0119654313,4.5598290837
852,nao_irrigado,1.2279335094,-0.0119084472,0.0119084472,4.5515889405
378,nao_irrigado,1.2341327830,-0.0115734118,0.0115734118,4.4752877757
469,irrigado,1.2818564089,0.0106315235,0.0106315235,4.4557821480
1632,irrigado,1.1568575816,0.0128388837,0.0128388837,4.4168130019
1240,irrigado,1.1473245713,0.0129508702,0.0129508702,4.3942940479
1092,irrigado,1.2894984713,0.0101832289,0.0101832289,4.3494848891
2484,nao_irrigado,1.3086181854,-0.0098229378,0.0098229378,4.3475878797
2285,irrigado,1.0109211054,0.0151926778,0.0151926778,4.2938654080
2431,irrigado,1.1046014273,0.0134372144,0.0134372144,4.2879851744
1275,irrigado,1.1035148213,0.0134459349,0.0134459349,4.2840157459
1918,nao_irrigado,1.4211849299,-0.0073548778,0.0073548778,4.2161156061
987,irrigado,1.1818145546,0.0117966014,0.0117966014,4.2159466988
2306,nao_irrigado,1.1747002660,-0.0118560109,0.0118560109,4.1907603736
672,nao_irrigado,1.3133846907,-0.0092525204,0.0092525204,4.1804247724
1919,nao_irrigado,1.4038961556,-0.0075524780,0.0075524780,4.1733700635
931,nao_irrigado,1.0115422217,-0.0147881279,0.0147881279,4.1575494378
1278,irrigado,1.1801148189,0.0116343144,0.0116343144,4.1487186409
1093,irrigado,1.3326963113,0.0087252221,0.0087252221,4.1218382961
932,nao_irrigado,0.9999001410,-0.0148971099,0.0148971099,4.1204131779
2483,nao_irrigado,1.3310784018,-0.0085716923,0.0085716923,4.0581742932
1917,nao_irrigado,1.4197297898,-0.0067904334,0.0067904334,4.0109778924
379,nao_irrigado,1.3342682054,-0.0083252900,0.0083252900,3.9932437576
