rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,383,nao_irrigado,1.7115496692,-0.0189935360,0.0189935360,10.1218253992
2,988,irrigado,1.2568064370,0.0189693799,0.0189693799,7.1864424404
3,382,nao_irrigado,1.5183839550,-0.0127181924,0.0127181924,6.7019566375
4,384,nao_irrigado,1.6101879772,-0.0104419215,0.0104419215,6.5033628650
5,408,nao_irrigado,1.3943789714,-0.0135322632,0.0135322632,6.1861368106
6,385,nao_irrigado,1.5049854408,-0.0105202120,0.0105202120,5.8533694294
7,388,nao_irrigado,1.3547119819,-0.0129608532,0.0129608532,5.7326283825
8,386,nao_irrigado,1.3870494844,-0.0113876989,0.0113876989,5.3951403535
9,389,nao_irrigado,1.3516862389,-0.0118858989,0.0118858989,5.3403163433
10,409,nao_irrigado,1.5032577658,-0.0089399485,0.0089399485,5.2941514038
11,2286,irrigado,1.0874072232,0.0165725818,0.0165725818,5.2647817862
12,669,nao_irrigado,1.5463766775,-0.0079838246,0.0079838246,5.2400695473
13,1276,irrigado,1.1589835555,0.0150766913,0.0150766913,5.2066569001
14,989,irrigado,1.1651634536,0.0149495556,0.0149495556,5.2023388294
15,670,nao_irrigado,1.4929096424,-0.0087587102,0.0087587102,5.1646839751
16,668,nao_irrigado,1.5668037509,-0.0072384005,0.0072384005,5.1130082151
17,407,nao_irrigado,1.2228014017,-0.0133129127,0.0133129127,5.0056795654
18,387,nao_irrigado,1.3477497517,-0.0109711839,0.0109711839,4.9977194932
19,1633,irrigado,1.1740773420,0.0141008089,0.0141008089,4.9653352480
20,971,irrigado,1.4161478786,0.0094239087,0.0094239087,4.9013155407
