wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1668,irrigado,1.6873013429,0.0141852674,0.0141852674,7.8054286615
807,irrigado,1.2831222448,0.0192384237,0.0192384237,7.5054263842
2271,nao_irrigado,1.6525399379,-0.0137974865,0.0137974865,7.4780686837
1669,irrigado,1.5619674642,0.0149048848,0.0149048848,7.4016873805
2282,nao_irrigado,1.8581667814,-0.0105974433,0.0105974433,7.3999584663
1667,irrigado,1.7531440793,0.0120806352,0.0120806352,7.3844049482
2272,nao_irrigado,1.6305929103,-0.0137204043,0.0137204043,7.3328976568
2276,nao_irrigado,1.7508226592,-0.0118415313,0.0118415313,7.2843621616
995,irrigado,1.2814696960,0.0186508392,0.0186508392,7.2811618143
2275,nao_irrigado,1.7017461228,-0.0123426980,0.0123426980,7.2067184872
2270,nao_irrigado,1.6583840475,-0.0128068475,0.0128068475,7.1459402798
2273,nao_irrigado,1.6242471742,-0.0130339007,0.0130339007,7.0473610549
2274,nao_irrigado,1.6547056973,-0.0125743283,0.0125743283,7.0410840299
2277,nao_irrigado,1.7741457155,-0.0105625635,0.0105625635,6.9396116719
808,irrigado,1.2596103070,0.0175943566,0.0175943566,6.7773203754
1666,irrigado,1.7487083115,0.0104869638,0.0104869638,6.7763920139
806,irrigado,1.2026541030,0.0172783095,0.0172783095,6.3580390324
2283,nao_irrigado,1.6291470472,-0.0109042398,0.0109042398,6.2925339661
2281,nao_irrigado,1.8422044054,-0.0077605103,0.0077605103,6.2746537562
1670,irrigado,1.4135116320,0.0138850695,0.0138850695,6.2369477281
2269,nao_irrigado,1.6269896278,-0.0107284218,0.0107284218,6.2165711462
2278,nao_irrigado,1.7654360197,-0.0078061584,0.0078061584,5.8824688123
1665,irrigado,1.6572235922,0.0089390264,0.0089390264,5.7214639322
2280,nao_irrigado,1.8062389975,-0.0060415057,0.0060415057,5.4527327037
553,nao_irrigado,1.6814919851,-0.0072554538,0.0072554538,5.2333840617
2279,nao_irrigado,1.7714888548,-0.0058847940,0.0058847940,5.2101636715
552,nao_irrigado,1.6792644704,-0.0070416422,0.0070416422,5.1431159485
2268,nao_irrigado,1.5792580585,-0.0083653432,0.0083653432,5.0957989532
2307,nao_irrigado,1.6991383609,-0.0062696058,0.0062696058,4.9658798534
455,irrigado,1.1836686404,0.0137162913,0.0137162913,4.9507490194
558,nao_irrigado,1.5152438255,-0.0088641312,0.0088641312,4.9377140756
557,nao_irrigado,1.5359431253,-0.0085066371,0.0085066371,4.9168836053
994,irrigado,1.1294779086,0.0144015854,0.0144015854,4.9133813018
1269,nao_irrigado,1.0451841047,-0.0155853638,0.0155853638,4.8984525980
1826,irrigado,1.5135964156,0.0087054249,0.0087054249,4.8707426492
559,nao_irrigado,1.4871056372,-0.0090204244,0.0090204244,4.8451411507
554,nao_irrigado,1.6301677565,-0.0069319308,0.0069319308,4.8413613159
809,irrigado,1.1792430266,0.0134671656,0.0134671656,4.8358228952
560,nao_irrigado,1.4717292739,-0.0091999606,0.0091999606,4.8290698692
561,nao_irrigado,1.4627498249,-0.0092717398,0.0092717398,4.8075596384
556,nao_irrigado,1.5547092173,-0.0078213272,0.0078213272,4.7655483943
562,nao_irrigado,1.4504241150,-0.0091293400,0.0091293400,4.6896873106
555,nao_irrigado,1.5840493803,-0.0069602272,0.0069602272,4.6060776787
965,nao_irrigado,1.3212917317,-0.0106793616,0.0106793616,4.5702141138
563,nao_irrigado,1.4294429797,-0.0087439194,0.0087439194,4.4365964515
2308,nao_irrigado,1.6882807488,-0.0049184604,0.0049184604,4.4125916182
387,nao_irrigado,1.4610630503,-0.0078763613,0.0078763613,4.2869020130
658,irrigado,1.2206914357,0.0112369310,0.0112369310,4.2388001672
2306,nao_irrigado,1.6418280931,-0.0050247731,0.0050247731,4.2041352506
1804,nao_irrigado,1.2148965089,-0.0111913699,0.0111913699,4.1912253805
564,nao_irrigado,1.4111666216,-0.0082502261,0.0082502261,4.1582105313
1671,irrigado,1.2512743839,0.0105696774,0.0105696774,4.1570311269
1270,nao_irrigado,1.0488770852,-0.0135079484,0.0135079484,4.1563547199
925,nao_irrigado,1.3651475065,-0.0089108298,0.0089108298,4.1553169868
2267,nao_irrigado,1.5200991573,-0.0066455826,0.0066455826,4.1500554518
1827,irrigado,1.4825468763,0.0071733341,0.0071733341,4.1435466526
805,irrigado,1.1069677878,0.0126079934,0.0126079934,4.1357822759
551,nao_irrigado,1.5492555484,-0.0061658812,0.0061658812,4.1294611957
