rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,1668,irrigado,1.6873013429,0.0141852674,0.0141852674,7.8054286615
2,807,irrigado,1.2831222448,0.0192384237,0.0192384237,7.5054263842
3,2271,nao_irrigado,1.6525399379,-0.0137974865,0.0137974865,7.4780686837
4,1669,irrigado,1.5619674642,0.0149048848,0.0149048848,7.4016873805
5,2282,nao_irrigado,1.8581667814,-0.0105974433,0.0105974433,7.3999584663
6,1667,irrigado,1.7531440793,0.0120806352,0.0120806352,7.3844049482
7,2272,nao_irrigado,1.6305929103,-0.0137204043,0.0137204043,7.3328976568
8,2276,nao_irrigado,1.7508226592,-0.0118415313,0.0118415313,7.2843621616
9,995,irrigado,1.2814696960,0.0186508392,0.0186508392,7.2811618143
10,2275,nao_irrigado,1.7017461228,-0.0123426980,0.0123426980,7.2067184872
11,2270,nao_irrigado,1.6583840475,-0.0128068475,0.0128068475,7.1459402798
12,2273,nao_irrigado,1.6242471742,-0.0130339007,0.0130339007,7.0473610549
13,2274,nao_irrigado,1.6547056973,-0.0125743283,0.0125743283,7.0410840299
14,2277,nao_irrigado,1.7741457155,-0.0105625635,0.0105625635,6.9396116719
15,808,irrigado,1.2596103070,0.0175943566,0.0175943566,6.7773203754
16,1666,irrigado,1.7487083115,0.0104869638,0.0104869638,6.7763920139
17,806,irrigado,1.2026541030,0.0172783095,0.0172783095,6.3580390324
18,2283,nao_irrigado,1.6291470472,-0.0109042398,0.0109042398,6.2925339661
19,2281,nao_irrigado,1.8422044054,-0.0077605103,0.0077605103,6.2746537562
20,1670,irrigado,1.4135116320,0.0138850695,0.0138850695,6.2369477281
