wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
2281,nao_irrigado,1.7372391798,-0.0109764954,0.0109764954,7.6543598964
553,nao_irrigado,1.5349556257,-0.0121587483,0.0121587483,6.9350843081
1670,irrigado,1.3903539928,0.0142342659,0.0142342659,6.9105670988
1669,irrigado,1.4304304788,0.0136404506,0.0136404506,6.9099664165
2282,nao_irrigado,1.6398705746,-0.0103435955,0.0103435955,6.8297925340
554,nao_irrigado,1.4595280207,-0.0129773982,0.0129773982,6.8172366738
2280,nao_irrigado,1.6925320740,-0.0094644561,0.0094644561,6.7896636728
1668,irrigado,1.4531690125,0.0125567010,0.0125567010,6.6124111898
552,nao_irrigado,1.5564351989,-0.0105268069,0.0105268069,6.4119618845
1667,irrigado,1.4584515143,0.0115617013,0.0115617013,6.2475041332
1665,irrigado,1.4598371554,0.0115045134,0.0115045134,6.2328951862
555,nao_irrigado,1.3544068435,-0.0125654266,0.0125654266,6.0349931276
1666,irrigado,1.4512205311,0.0111247832,0.0111247832,6.0310945259
2277,nao_irrigado,1.5437738651,-0.0097441419,0.0097441419,6.0260166260
2278,nao_irrigado,1.5916047274,-0.0089937427,0.0089937427,6.0087097121
1664,irrigado,1.4544455464,0.0109476318,0.0109476318,5.9795627213
2279,nao_irrigado,1.6278117238,-0.0083279529,0.0083279529,5.9567063462
2276,nao_irrigado,1.4869353599,-0.0103817465,0.0103817465,5.9454546286
551,nao_irrigado,1.5287957682,-0.0097370673,0.0097370673,5.9351043298
2274,nao_irrigado,1.4082940939,-0.0113896300,0.0113896300,5.8840139420
2275,nao_irrigado,1.4400172766,-0.0109027871,0.0109027871,5.8768530594
1671,irrigado,1.2879555158,0.0126546440,0.0126546440,5.6796512137
2273,nao_irrigado,1.3688903233,-0.0110982075,0.0110982075,5.5362757774
1663,irrigado,1.4508605058,0.0098027621,0.0098027621,5.5028560133
1242,irrigado,1.3653885320,0.0110357887,0.0110357887,5.4908386287
1243,irrigado,1.3364728913,0.0107928676,0.0107928676,5.2240905806
416,nao_irrigado,1.2564964493,-0.0119279909,0.0119279909,5.2054340458
881,nao_irrigado,1.1326395756,-0.0136148217,0.0136148217,5.1482469402
556,nao_irrigado,1.2465399931,-0.0116199230,0.0116199230,5.0242721311
2272,nao_irrigado,1.3284658327,-0.0101893239,0.0101893239,4.9368048150
1662,irrigado,1.4247627555,0.0086706159,0.0086706159,4.8987995922
921,irrigado,1.2646316690,0.0109180539,0.0109180539,4.8513613062
415,nao_irrigado,1.1990675900,-0.0113940540,0.0113940540,4.6551647430
874,irrigado,1.2553007328,0.0104201642,0.0104201642,4.5983356689
873,irrigado,1.2430685005,0.0104670746,0.0104670746,4.5450580459
550,nao_irrigado,1.4097106507,-0.0078736424,0.0078736424,4.4930981849
2283,nao_irrigado,1.3794069536,-0.0083019886,0.0083019886,4.4853283242
857,irrigado,1.2413661771,0.0101881753,0.0101881753,4.4240526832
1241,irrigado,1.2892363531,0.0092254336,0.0092254336,4.3224716753
2271,nao_irrigado,1.2896560504,-0.0091084949,0.0091084949,4.2784024547
922,irrigado,1.1595474467,0.0108920729,0.0108920729,4.2229466706
630,irrigado,1.1621538195,0.0107570614,0.0107570614,4.1845464642
629,irrigado,1.1500991315,0.0108262021,0.0108262021,4.1411600014
1661,irrigado,1.3771159590,0.0074385672,0.0074385672,4.1282400153
856,irrigado,1.2406593462,0.0093923498,0.0093923498,4.1031829294
1672,irrigado,1.1791819672,0.0102795970,0.0102795970,4.0946859821
557,nao_irrigado,1.1594495920,-0.0105360263,0.0105360263,4.0806762734
2307,nao_irrigado,1.3990179787,-0.0068196693,0.0068196693,4.0107603231
2308,nao_irrigado,1.4149466672,-0.0065208864,0.0065208864,3.9855424865
631,irrigado,1.1547396662,0.0102485294,0.0102485294,3.9385595258
1660,irrigado,1.3599234027,0.0071809093,0.0071809093,3.9245789748
843,irrigado,1.2710549711,0.0084937741,0.0084937741,3.9243575892
628,irrigado,1.1232078594,0.0104765155,0.0104765155,3.8438295497
882,nao_irrigado,1.0313352487,-0.0117783986,0.0117783986,3.8215681000
488,irrigado,1.2383116395,0.0087122032,0.0087122032,3.8186984011
1659,irrigado,1.3557301902,0.0067364302,0.0067364302,3.7230276300
875,irrigado,1.2275456124,0.0085233008,0.0085233008,3.6801987699
1726,nao_irrigado,1.0783503232,-0.0106354880,0.0106354880,3.6432563104
964,nao_irrigado,1.0410692688,-0.0111148297,0.0111148297,3.6147421469
1801,irrigado,1.2412790135,0.0080276794,0.0080276794,3.5637336351
2333,irrigado,1.0717415520,0.0105114374,0.0105114374,3.5550173475
963,nao_irrigado,1.0911903424,-0.0102095585,0.0102095585,3.5492716510
2309,nao_irrigado,1.3831981453,-0.0058386144,0.0058386144,3.5272850105
2337,irrigado,1.0946011613,0.0099977199,0.0099977199,3.4850282971
1802,irrigado,1.2431008668,0.0077092814,0.0077092814,3.4477372924
632,irrigado,1.1279643709,0.0094056665,0.0094056665,3.4456432483
880,nao_irrigado,1.1588717445,-0.0089033152,0.0089033152,3.4275121587
1727,nao_irrigado,1.0881823473,-0.0099339295,0.0099339295,3.4218881908
489,irrigado,1.2009882592,0.0082338941,0.0082338941,3.4088217263
2336,irrigado,1.0963500592,0.0097304312,0.0097304312,3.3889426824
2306,nao_irrigado,1.3217514537,-0.0063428419,0.0063428419,3.3665393241
876,irrigado,1.2664120864,0.0071200999,0.0071200999,3.3503722921
