rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,2281,nao_irrigado,1.7372391798,-0.0109764954,0.0109764954,7.6543598964
2,553,nao_irrigado,1.5349556257,-0.0121587483,0.0121587483,6.9350843081
3,1670,irrigado,1.3903539928,0.0142342659,0.0142342659,6.9105670988
4,1669,irrigado,1.4304304788,0.0136404506,0.0136404506,6.9099664165
5,2282,nao_irrigado,1.6398705746,-0.0103435955,0.0103435955,6.8297925340
6,554,nao_irrigado,1.4595280207,-0.0129773982,0.0129773982,6.8172366738
7,2280,nao_irrigado,1.6925320740,-0.0094644561,0.0094644561,6.7896636728
8,1668,irrigado,1.4531690125,0.0125567010,0.0125567010,6.6124111898
9,552,nao_irrigado,1.5564351989,-0.0105268069,0.0105268069,6.4119618845
10,1667,irrigado,1.4584515143,0.0115617013,0.0115617013,6.2475041332
11,1665,irrigado,1.4598371554,0.0115045134,0.0115045134,6.2328951862
12,555,nao_irrigado,1.3544068435,-0.0125654266,0.0125654266,6.0349931276
13,1666,irrigado,1.4512205311,0.0111247832,0.0111247832,6.0310945259
14,2277,nao_irrigado,1.5437738651,-0.0097441419,0.0097441419,6.0260166260
15,2278,nao_irrigado,1.5916047274,-0.0089937427,0.0089937427,6.0087097121
16,1664,irrigado,1.4544455464,0.0109476318,0.0109476318,5.9795627213
17,2279,nao_irrigado,1.6278117238,-0.0083279529,0.0083279529,5.9567063462
18,2276,nao_irrigado,1.4869353599,-0.0103817465,0.0103817465,5.9454546286
19,551,nao_irrigado,1.5287957682,-0.0097370673,0.0097370673,5.9351043298
20,2274,nao_irrigado,1.4082940939,-0.0113896300,0.0113896300,5.8840139420
