wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
975,nao_irrigado,1.4201353617,-0.0131019158,0.0131019158,6.6810426386
2229,irrigado,1.3599671839,0.0122973454,0.0122973454,6.0014780901
858,nao_irrigado,1.4482325821,-0.0109389156,0.0109389156,5.9909541117
391,nao_irrigado,1.2680947666,-0.0131290294,0.0131290294,5.7813764129
859,nao_irrigado,1.4184826994,-0.0103739871,0.0103739871,5.5886318868
976,nao_irrigado,1.3713250321,-0.0109285231,0.0109285231,5.5263043646
2230,irrigado,1.4317000796,0.0096905833,0.0096905833,5.3965853529
1731,nao_irrigado,1.0882747842,-0.0147421844,0.0147421844,5.3447493386
2390,nao_irrigado,1.1460542414,-0.0133792710,0.0133792710,5.1498950214
369,irrigado,1.2295725415,0.0120225182,0.0120225182,5.1116106451
974,nao_irrigado,1.2988446714,-0.0107202991,0.0107202991,5.0096600075
1732,nao_irrigado,1.0783444458,-0.0139379534,0.0139379534,4.9661458264
987,nao_irrigado,1.3181666066,-0.0099788842,0.0099788842,4.8311474769
986,nao_irrigado,1.2567020164,-0.0108701458,0.0108701458,4.8167711499
2391,nao_irrigado,1.1386734847,-0.0126267181,0.0126267181,4.8070657487
1730,nao_irrigado,1.0516885458,-0.0138427571,0.0138427571,4.7687527541
990,nao_irrigado,1.2416085489,-0.0109596622,0.0109596622,4.7619133088
1663,irrigado,1.4612047867,0.0076222961,0.0076222961,4.7525095247
995,nao_irrigado,1.1873530763,-0.0117017739,0.0117017739,4.7315188061
857,nao_irrigado,1.3886259193,-0.0084642601,0.0084642601,4.6520178387
390,nao_irrigado,1.2782402257,-0.0100484415,0.0100484415,4.6196687673
2389,nao_irrigado,1.1047889656,-0.0125773585,0.0125773585,4.5845765819
2315,nao_irrigado,1.2407602717,-0.0104977680,0.0104977680,4.5735418736
2228,irrigado,1.2510565545,0.0103302343,0.0103302343,4.5687146519
1664,irrigado,1.4175448400,0.0078022298,0.0078022298,4.5624743536
2312,nao_irrigado,1.2730853089,-0.0099192430,0.0099192430,4.5375315284
1452,nao_irrigado,1.5751355831,-0.0051534051,0.0051534051,4.4550105344
994,nao_irrigado,1.1982356056,-0.0105974698,0.0105974698,4.3584666752
1451,nao_irrigado,1.5757838326,-0.0048904235,0.0048904235,4.3545342056
2392,nao_irrigado,1.1307273600,-0.0115553352,0.0115553352,4.3343308065
1450,nao_irrigado,1.5780160710,-0.0046870788,0.0046870788,4.2872083660
1453,nao_irrigado,1.5635575543,-0.0049029086,0.0049029086,4.2862771459
2447,irrigado,1.0720561947,0.0122898347,0.0122898347,4.2744742463
2294,irrigado,1.3004004329,0.0086887854,0.0086887854,4.2128173968
2313,nao_irrigado,1.2378293128,-0.0095953670,0.0095953670,4.1978945100
1729,nao_irrigado,1.0233843545,-0.0127318407,0.0127318407,4.1584248828
1665,irrigado,1.3799539594,0.0073128945,0.0073128945,4.1431973195
2311,nao_irrigado,1.2810813254,-0.0087743617,0.0087743617,4.1310927095
2314,nao_irrigado,1.2242208701,-0.0095707767,0.0095707767,4.1066484695
