rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
1,975,nao_irrigado,1.4201353617,-0.0131019158,0.0131019158,6.6810426386
2,2229,irrigado,1.3599671839,0.0122973454,0.0122973454,6.0014780901
3,858,nao_irrigado,1.4482325821,-0.0109389156,0.0109389156,5.9909541117
4,391,nao_irrigado,1.2680947666,-0.0131290294,0.0131290294,5.7813764129
5,859,nao_irrigado,1.4184826994,-0.0103739871,0.0103739871,5.5886318868
6,976,nao_irrigado,1.3713250321,-0.0109285231,0.0109285231,5.5263043646
7,2230,irrigado,1.4317000796,0.0096905833,0.0096905833,5.3965853529
8,1731,nao_irrigado,1.0882747842,-0.0147421844,0.0147421844,5.3447493386
9,2390,nao_irrigado,1.1460542414,-0.0133792710,0.0133792710,5.1498950214
10,369,irrigado,1.2295725415,0.0120225182,0.0120225182,5.1116106451
11,974,nao_irrigado,1.2988446714,-0.0107202991,0.0107202991,5.0096600075
12,1732,nao_irrigado,1.0783444458,-0.0139379534,0.0139379534,4.9661458264
13,987,nao_irrigado,1.3181666066,-0.0099788842,0.0099788842,4.8311474769
14,986,nao_irrigado,1.2567020164,-0.0108701458,0.0108701458,4.8167711499
15,2391,nao_irrigado,1.1386734847,-0.0126267181,0.0126267181,4.8070657487
16,1730,nao_irrigado,1.0516885458,-0.0138427571,0.0138427571,4.7687527541
17,990,nao_irrigado,1.2416085489,-0.0109596622,0.0109596622,4.7619133088
18,1663,irrigado,1.4612047867,0.0076222961,0.0076222961,4.7525095247
19,995,nao_irrigado,1.1873530763,-0.0117017739,0.0117017739,4.7315188061
20,857,nao_irrigado,1.3886259193,-0.0084642601,0.0084642601,4.6520178387
