sample_uid,nomenclaura,bloco,replicata,tecnica,cultivar,condicao,classe,classe_legenda,data_coleta_iso,dia,turno_original,turno,NDVI,EVI,WBI,PRI,SIPI,REP
2017-02-23__manha__B1_BR16_IRRIG_REPROD00000.asd,B1_BR16_IRRIG_REPROD00000.asd,B1,1,0,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.8467191794974352,0.8545637675626787,1.020492818499854,0.08375681725228122,0.9743362999871189,719.0552513156535
2017-02-23__manha__B1_BR16_IRRIG_REPROD00001.asd,B1_BR16_IRRIG_REPROD00001.asd,B1,1,1,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.846274200012867,0.8549818154836268,1.020312748492111,0.08359614630290717,0.974599531073896,719.0248227311588
2017-02-23__manha__B1_BR16_IRRIG_REPROD00002.asd,B1_BR16_IRRIG_REPROD00002.asd,B1,1,2,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.8456276130262274,0.8569850417714551,1.0201867731821077,0.08379133671816613,0.9745206004505795,719.003441321823
2017-02-23__manha__B1_BR16_IRRIG_REPROD00003.asd,B1_BR16_IRRIG_REPROD00003.asd,B1,1,3,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.8448312058278203,0.8563850040210234,1.020333379389152,0.08358751992915227,0.9746378234226863,718.983856915419
2017-02-23__manha__B1_BR16_IRRIG_REPROD00004.asd,B1_BR16_IRRIG_REPROD00004.asd,B1,1,4,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.8387873257190427,0.843826750365428,1.0177840972377332,0.07492929101513919,0.9773889714784647,719.2128961792861
2017-02-23__manha__B1_BR16_IRRIG_REPROD00005.asd,B1_BR16_IRRIG_REPROD00005.asd,B1,1,5,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.8341390746112486,0.8450341621198296,1.0176638402797944,0.07400401148513387,0.9772975998832757,719.1768432908127
2017-02-23__manha__B1_BR16_IRRIG_REPROD00006.asd,B1_BR16_IRRIG_REPROD00006.asd,B1,1,6,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.8289229489990649,0.8436758271098623,1.0173317033671543,0.07240306537635205,0.9769141629846506,719.1484316834604
2017-02-23__manha__B1_BR16_IRRIG_REPROD00007.asd,B1_BR16_IRRIG_REPROD00007.asd,B1,1,7,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.8248457499503216,0.8413717451617392,1.0168453784503502,0.07152449180610428,0.9763455641433366,719.1223937830916
2017-02-23__manha__B2_BR16_IRRIG_REPROD00000.asd,B2_BR16_IRRIG_REPROD00000.asd,B2,2,0,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.8505931046781651,0.8196218738763903,1.017751753087376,0.09036351775216807,0.978785791057268,719.5809565522576
2017-02-23__manha__B2_BR16_IRRIG_REPROD00001.asd,B2_BR16_IRRIG_REPROD00001.asd,B2,2,1,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.8503297115753033,0.8180146315904324,1.0174601564585564,0.08969528556023898,0.9790471751232294,719.5781025353087
2017-02-23__manha__B2_BR16_IRRIG_REPROD00002.asd,B2_BR16_IRRIG_REPROD00002.asd,B2,2,2,BR16,IRR,C,C (BR16 IRR),2017-02-23,dia2,manha,manha,0.8480769395069798,0.818640128909134,1.0174274502474803,0.0888061548886801,0.9790612496601546,719.5728170878212
