figure_id,figure_title,panel_title,n_true_classes,n_pred_classes,row_labels,col_labels,source_path
01_multiclasse_global_e_subsets,Matrizes de confusao - classificacao multiclasse global e subsets,04_classificacao,6,6,A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),C:\Users\muril\OneDrive\Documentos\AgroSATHidrico\estresse_hidrico\outputs\tabelas\confusion_matrix.csv
01_multiclasse_global_e_subsets,Matrizes de confusao - classificacao multiclasse global e subsets,07_subset_bandas,6,6,A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),C:\Users\muril\OneDrive\Documentos\AgroSATHidrico\estresse_hidrico\outputs\tabelas\classificacao_subset_bandas\confusion_matrix_kruskal_top_20.csv
01_multiclasse_global_e_subsets,Matrizes de confusao - classificacao multiclasse global e subsets,08_optuna_subset,6,6,A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),C:\Users\muril\OneDrive\Documentos\AgroSATHidrico\estresse_hidrico\outputs\tabelas\optuna_classificacao_subset\optuna_confusion_matrix_kruskal_top_20.csv
02_subset_por_dia_lda_optuna,Matrizes de confusao - subset por dia (LDA/Optuna),Dia 2,6,6,A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),C:\Users\muril\OneDrive\Documentos\AgroSATHidrico\estresse_hidrico\outputs\tabelas\classificacao_subset_por_dia\lda_optuna_best_kruskal_top_20_confusion_by_day.csv
02_subset_por_dia_lda_optuna,Matrizes de confusao - subset por dia (LDA/Optuna),Dia 3,6,6,A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),C:\Users\muril\OneDrive\Documentos\AgroSATHidrico\estresse_hidrico\outputs\tabelas\classificacao_subset_por_dia\lda_optuna_best_kruskal_top_20_confusion_by_day.csv
02_subset_por_dia_lda_optuna,Matrizes de confusao - subset por dia (LDA/Optuna),Dia 4,6,6,A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),C:\Users\muril\OneDrive\Documentos\AgroSATHidrico\estresse_hidrico\outputs\tabelas\classificacao_subset_por_dia\lda_optuna_best_kruskal_top_20_confusion_by_day.csv
02_subset_por_dia_lda_optuna,Matrizes de confusao - subset por dia (LDA/Optuna),Dia 5,6,6,A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),C:\Users\muril\OneDrive\Documentos\AgroSATHidrico\estresse_hidrico\outputs\tabelas\classificacao_subset_por_dia\lda_optuna_best_kruskal_top_20_confusion_by_day.csv
02_subset_por_dia_lda_optuna,Matrizes de confusao - subset por dia (LDA/Optuna),Dia 6,6,6,A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),C:\Users\muril\OneDrive\Documentos\AgroSATHidrico\estresse_hidrico\outputs\tabelas\classificacao_subset_por_dia\lda_optuna_best_kruskal_top_20_confusion_by_day.csv
02_subset_por_dia_lda_optuna,Matrizes de confusao - subset por dia (LDA/Optuna),Dia 9,6,6,A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),A (EMB48 IRR) | B (EMB48 NIRR) | C (BR16 IRR) | D (BR16 NIRR) | E (CD202 IRR) | F (CD202 NIRR),C:\Users\muril\OneDrive\Documentos\AgroSATHidrico\estresse_hidrico\outputs\tabelas\classificacao_subset_por_dia\lda_optuna_best_kruskal_top_20_confusion_by_day.csv
03_irrigacao_bandas_diversificadas,Matrizes de confusao - irrigacao com bandas diversificadas,Global,2,2,Nao irrigado | Irrigado,Nao irrigado | Irrigado,C:\Users\muril\OneDrive\Documentos\AgroSATHidrico\estresse_hidrico\outputs\tabelas\classificacao_irrigacao_bandas_diversificadas\matriz_confusao.csv
