dia,condicao,banda,comprimento_onda_nm,media_reflectancia,desvio_padrao,n
dia2,IRR,band_350,350,0.12865066686822077,0.0062229982510622,12
dia2,IRR,band_351,351,0.12822556693746523,0.006353371870990456,12
dia2,IRR,band_352,352,0.12722235453707978,0.0065444710947128865,12
dia2,IRR,band_353,353,0.12572929245144807,0.006576114693177477,12
dia2,IRR,band_354,354,0.12360807441634548,0.006681959212454542,12
dia2,IRR,band_355,355,0.12146233367558668,0.006610042911689839,12
dia2,IRR,band_356,356,0.11974524341298676,0.00635069374116933,12
dia2,IRR,band_357,357,0.11788568005837156,0.006042339177368223,12
dia2,IRR,band_358,358,0.11589724672334874,0.005718740324270868,12
dia2,IRR,band_359,359,0.11432808257752262,0.005356919363819385,12
dia2,IRR,band_360,360,0.11283955162952054,0.005234274599883482,12
dia2,IRR,band_361,361,0.11125457499382037,0.005363997709448992,12
dia2,IRR,band_362,362,0.10968805068075262,0.005521308549970155,12
dia2,IRR,band_363,363,0.10808133058990856,0.005633282878304378,12
dia2,IRR,band_364,364,0.10650786432752378,0.005543686068983174,12
dia2,IRR,band_365,365,0.10498077916196152,0.00528299299149137,12
dia2,IRR,band_366,366,0.1034008713848825,0.0049917146121773925,12
dia2,IRR,band_367,367,0.10172873629634976,0.004679905161323208,12
dia2,IRR,band_368,368,0.10015284066469142,0.004517084788896033,12
dia2,IRR,band_369,369,0.09875995938864139,0.004573030376791115,12
dia2,IRR,band_370,370,0.09732925521625817,0.004743906043826402,12
dia2,IRR,band_371,371,0.0959040313272659,0.0047886150679760705,12
dia2,IRR,band_372,372,0.09449806960639488,0.00472157420525652,12
dia2,IRR,band_373,373,0.09314208823951141,0.004661746636794825,12
dia2,IRR,band_374,374,0.09196105086517242,0.004470877251403972,12
dia2,IRR,band_375,375,0.09083240554693896,0.004287866854857055,12
dia2,IRR,band_376,376,0.08971259657814651,0.004166625325958518,12
dia2,IRR,band_377,377,0.08861589664679433,0.003998853654662118,12
dia2,IRR,band_378,378,0.08759511339351178,0.003956793613281052,12
dia2,IRR,band_379,379,0.08661858720851588,0.003962496218766197,12
dia2,IRR,band_380,380,0.0856768119467005,0.003959226908598371,12
dia2,IRR,band_381,381,0.08481885165128124,0.003955483201442173,12
dia2,IRR,band_382,382,0.08399714837846034,0.003958822482841718,12
dia2,IRR,band_383,383,0.08320836137008505,0.003961534647387563,12
dia2,IRR,band_384,384,0.08247337638717597,0.0039078312375334864,12
dia2,IRR,band_385,385,0.08171741794678782,0.003831629108665362,12
dia2,IRR,band_386,386,0.08102903508609613,0.003705734951869459,12
dia2,IRR,band_387,387,0.08040896406305693,0.003568488651976803,12
dia2,IRR,band_388,388,0.0797871452509298,0.00347891343006943,12
dia2,IRR,band_389,389,0.07920296542878764,0.0034318552486061736,12
dia2,IRR,band_390,390,0.07869164628107772,0.003365102459779939,12
dia2,IRR,band_391,391,0.07825671428182505,0.0033106935934327504,12
dia2,IRR,band_392,392,0.07783178069499805,0.003258813634481312,12
dia2,IRR,band_393,393,0.07735946070390796,0.00320709821596584,12
dia2,IRR,band_394,394,0.0768738233137136,0.0031854682942798083,12
dia2,IRR,band_395,395,0.07642675990043869,0.0031762890904087444,12
dia2,IRR,band_396,396,0.07602372920651577,0.003131908168082088,12
dia2,IRR,band_397,397,0.0756128009513869,0.003098406350562555,12
dia2,IRR,band_398,398,0.07520800694536821,0.0030716821999563046,12
dia2,IRR,band_399,399,0.07485201717999368,0.0030198744771894087,12
dia2,IRR,band_400,400,0.07449173258409923,0.0028805132106339906,12
dia2,IRR,band_401,401,0.07413485380464713,0.0027910581219572662,12
dia2,IRR,band_402,402,0.07378254433573239,0.002791904168771243,12
dia2,IRR,band_403,403,0.07341516552980627,0.002756376128432779,12
dia2,IRR,band_404,404,0.07303267940738166,0.002752493981867613,12
dia2,IRR,band_405,405,0.07261832238488096,0.002736086695772828,12
dia2,IRR,band_406,406,0.07217173253936802,0.0026815957344162324,12
dia2,IRR,band_407,407,0.07172291162653234,0.002641866275967429,12
dia2,IRR,band_408,408,0.07130819720326577,0.0025712897912720943,12
dia2,IRR,band_409,409,0.070912837330225,0.0025016187659277433,12
dia2,IRR,band_410,410,0.07050264554799167,0.0024791314262548286,12
dia2,IRR,band_411,411,0.07010673762766839,0.0024607780940846913,12
dia2,IRR,band_412,412,0.06973708088629961,0.002450769635769797,12
dia2,IRR,band_413,413,0.0693862138064485,0.0024389073984775076,12
dia2,IRR,band_414,414,0.06902310886282446,0.002445512743078739,12
dia2,IRR,band_415,415,0.06861383304514111,0.0024424062402768035,12
dia2,IRR,band_416,416,0.06820643806866096,0.0024233417819116455,12
dia2,IRR,band_417,417,0.06784346327719276,0.0024163704529033235,12
dia2,IRR,band_418,418,0.06751199282081057,0.0024151965026162664,12
dia2,IRR,band_419,419,0.06718247873616749,0.0024159657802021966,12
dia2,IRR,band_420,420,0.06684423318950217,0.0024146532167442975,12
dia2,IRR,band_421,421,0.06650313020791641,0.002392359732860299,12
dia2,IRR,band_422,422,0.06617074811137616,0.002388999457752997,12
dia2,IRR,band_423,423,0.06584567963603223,0.0023778804059012264,12
dia2,IRR,band_424,424,0.06551735074947668,0.0023551492570305596,12
dia2,IRR,band_425,425,0.06517202177135552,0.00235570977366052,12
dia2,IRR,band_426,426,0.0648481966057734,0.002351537510117899,12
dia2,IRR,band_427,427,0.06453178673802899,0.0023489414657700456,12
dia2,IRR,band_428,428,0.06421351200636376,0.002347591148891376,12
dia2,IRR,band_429,429,0.06391276882428898,0.0023171698633907547,12
