dia,banda,comprimento_onda_nm,status,ranking
dia2,band_2444,2444,Confirmado,1
dia3,band_350,350,Confirmado,1
dia3,band_351,351,Confirmado,1
dia3,band_352,352,Confirmado,1
dia3,band_353,353,Confirmado,1
dia3,band_354,354,Confirmado,1
dia3,band_355,355,Confirmado,1
dia3,band_356,356,Confirmado,1
dia3,band_357,357,Confirmado,1
dia3,band_358,358,Confirmado,1
dia3,band_359,359,Confirmado,1
dia3,band_360,360,Confirmado,1
dia3,band_361,361,Confirmado,1
dia3,band_362,362,Confirmado,1
dia3,band_363,363,Confirmado,1
dia3,band_364,364,Confirmado,1
dia3,band_365,365,Confirmado,1
dia3,band_366,366,Confirmado,1
dia3,band_367,367,Confirmado,1
dia3,band_368,368,Confirmado,1
dia3,band_369,369,Confirmado,1
dia3,band_370,370,Confirmado,1
dia3,band_371,371,Confirmado,1
dia3,band_372,372,Confirmado,1
dia3,band_373,373,Confirmado,1
dia3,band_374,374,Confirmado,1
dia3,band_375,375,Confirmado,1
dia3,band_376,376,Confirmado,1
dia3,band_377,377,Confirmado,1
dia3,band_378,378,Confirmado,1
dia3,band_379,379,Confirmado,1
dia3,band_380,380,Confirmado,1
dia3,band_381,381,Confirmado,1
dia3,band_382,382,Confirmado,1
dia3,band_383,383,Confirmado,1
dia3,band_384,384,Confirmado,1
dia3,band_385,385,Confirmado,1
dia3,band_386,386,Confirmado,1
dia3,band_387,387,Confirmado,1
dia3,band_388,388,Confirmado,1
dia3,band_389,389,Confirmado,1
dia3,band_390,390,Confirmado,1
dia3,band_391,391,Confirmado,1
dia3,band_392,392,Confirmado,1
dia3,band_393,393,Confirmado,1
dia3,band_394,394,Confirmado,1
dia3,band_395,395,Confirmado,1
dia3,band_396,396,Confirmado,1
dia3,band_397,397,Confirmado,1
dia3,band_398,398,Confirmado,1
dia3,band_399,399,Confirmado,1
dia3,band_400,400,Confirmado,1
dia3,band_422,422,Confirmado,1
dia4,band_350,350,Confirmado,1
dia4,band_351,351,Confirmado,1
dia4,band_352,352,Confirmado,1
dia4,band_353,353,Confirmado,1
dia4,band_354,354,Confirmado,1
dia4,band_355,355,Confirmado,1
dia4,band_356,356,Confirmado,1
dia4,band_357,357,Confirmado,1
dia4,band_358,358,Confirmado,1
dia4,band_359,359,Confirmado,1
dia4,band_360,360,Confirmado,1
dia4,band_361,361,Confirmado,1
dia4,band_362,362,Confirmado,1
dia4,band_363,363,Confirmado,1
dia4,band_364,364,Confirmado,1
dia4,band_365,365,Confirmado,1
dia4,band_366,366,Confirmado,1
dia4,band_367,367,Confirmado,1
dia4,band_368,368,Confirmado,1
dia4,band_369,369,Confirmado,1
dia4,band_370,370,Confirmado,1
dia4,band_371,371,Confirmado,1
dia4,band_372,372,Confirmado,1
dia4,band_373,373,Confirmado,1
dia4,band_374,374,Confirmado,1
dia4,band_375,375,Confirmado,1
dia4,band_376,376,Confirmado,1
dia4,band_377,377,Confirmado,1
dia4,band_378,378,Confirmado,1
dia4,band_379,379,Confirmado,1
dia4,band_380,380,Confirmado,1
dia4,band_381,381,Confirmado,1
dia4,band_382,382,Confirmado,1
dia4,band_383,383,Confirmado,1
dia4,band_384,384,Confirmado,1
dia4,band_385,385,Confirmado,1
dia4,band_386,386,Confirmado,1
dia4,band_387,387,Confirmado,1
dia4,band_388,388,Confirmado,1
dia4,band_389,389,Confirmado,1
dia4,band_390,390,Confirmado,1
dia4,band_391,391,Confirmado,1
dia4,band_392,392,Confirmado,1
dia4,band_393,393,Confirmado,1
dia4,band_394,394,Confirmado,1
dia4,band_395,395,Confirmado,1
dia4,band_396,396,Confirmado,1
dia4,band_397,397,Confirmado,1
dia4,band_398,398,Confirmado,1
dia4,band_399,399,Confirmado,1
dia4,band_400,400,Confirmado,1
dia4,band_401,401,Confirmado,1
dia4,band_402,402,Confirmado,1
dia4,band_403,403,Confirmado,1
dia4,band_404,404,Confirmado,1
dia4,band_405,405,Confirmado,1
dia4,band_406,406,Confirmado,1
dia4,band_407,407,Confirmado,1
dia4,band_408,408,Confirmado,1
dia4,band_409,409,Confirmado,1
dia4,band_410,410,Confirmado,1
dia4,band_411,411,Confirmado,1
dia4,band_412,412,Confirmado,1
dia4,band_413,413,Confirmado,1
dia4,band_414,414,Confirmado,1
dia4,band_415,415,Confirmado,1
dia4,band_422,422,Confirmado,1
dia4,band_423,423,Confirmado,1
dia4,band_424,424,Confirmado,1
dia4,band_425,425,Confirmado,1
dia4,band_426,426,Confirmado,1
dia4,band_427,427,Confirmado,1
dia4,band_428,428,Confirmado,1
dia4,band_429,429,Confirmado,1
dia4,band_430,430,Confirmado,1
dia4,band_431,431,Confirmado,1
dia4,band_437,437,Confirmado,1
dia4,band_438,438,Confirmado,1
dia4,band_439,439,Confirmado,1
