analysis_id,analysis_label,scope,cultivar,feature,coeficiente_lda,abs_coeficiente_lda
global,Classificacao binaria IRR vs NIRR,global,,band_381,2.9174387638544745,2.9174387638544745
global,Classificacao binaria IRR vs NIRR,global,,band_721,-2.304750031206119,2.304750031206119
global,Classificacao binaria IRR vs NIRR,global,,band_2444,-0.9228048070554282,0.9228048070554282
genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,BR16,band_721,-2.5646981055901987,2.5646981055901987
genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,BR16,band_381,2.290126611226591,2.290126611226591
genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,BR16,band_2444,-0.9875410574581049,0.9875410574581049
genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,CD202,band_381,3.463066037812059,3.463066037812059
genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,CD202,band_2444,-2.4068024578791567,2.4068024578791567
genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,CD202,band_721,-1.1996300942117637,1.1996300942117637
genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,EMB48,band_721,-4.864340759654006,4.864340759654006
genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,EMB48,band_381,3.287092949185515,3.287092949185515
genotipo_EMB48,Classificacao binaria IRR vs NIRR - EMB48,por_genotipo,EMB48,band_2444,-0.09491444439470076,0.09491444439470076
