cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,scope,y_true,y_pred,prob_irrigado,predicao_label,acertou
BR16,IRR,2017-02-23,dia2,1,B1,BR16_IRR_B1,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,1,1,0.8053082386969405,IRR,True
BR16,IRR,2017-02-23,dia2,2,B2,BR16_IRR_B2,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,1,0,0.45567011726330053,NIRR,False
BR16,IRR,2017-02-23,dia2,3,B3,BR16_IRR_B3,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,1,0,0.08656618197730431,NIRR,False
BR16,IRR,2017-02-23,dia2,4,B4,BR16_IRR_B4,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,1,0,0.046563114436629506,NIRR,False
BR16,NIRR,2017-02-23,dia2,1,B1,BR16_NIRR_B1,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,0,0,0.1932106465848847,NIRR,True
BR16,NIRR,2017-02-23,dia2,2,B2,BR16_NIRR_B2,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,0,0,0.07604701582015526,NIRR,True
BR16,NIRR,2017-02-23,dia2,3,B3,BR16_NIRR_B3,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,0,0,0.011898637204643368,NIRR,True
BR16,NIRR,2017-02-23,dia2,4,B4,BR16_NIRR_B4,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,0,0,0.031923618882621636,NIRR,True
BR16,IRR,2017-02-24,dia3,1,B1,BR16_IRR_B1,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,1,1,0.9021738063664042,IRR,True
BR16,IRR,2017-02-24,dia3,2,B2,BR16_IRR_B2,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,1,1,0.6658950075792168,IRR,True
BR16,IRR,2017-02-24,dia3,3,B3,BR16_IRR_B3,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,1,1,0.7699190542892854,IRR,True
BR16,IRR,2017-02-24,dia3,4,B4,BR16_IRR_B4,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,1,1,0.9996363800869206,IRR,True
BR16,NIRR,2017-02-24,dia3,1,B1,BR16_NIRR_B1,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,0,0,0.003651901050938321,NIRR,True
BR16,NIRR,2017-02-24,dia3,2,B2,BR16_NIRR_B2,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,0,0,0.0018235684721728126,NIRR,True
BR16,NIRR,2017-02-24,dia3,3,B3,BR16_NIRR_B3,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,0,0,0.06358031634692671,NIRR,True
BR16,NIRR,2017-02-24,dia3,4,B4,BR16_NIRR_B4,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,0,0,0.015969121365415763,NIRR,True
BR16,IRR,2017-02-25,dia4,1,B1,BR16_IRR_B1,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,1,1,0.9952112534704998,IRR,True
BR16,IRR,2017-02-25,dia4,2,B2,BR16_IRR_B2,genotipo_BR16,Classificacao binaria IRR vs NIRR - BR16,por_genotipo,1,1,0.9558557598382608,IRR,True
