cultivar,condicao,data_coleta_iso,dia,replicata,bloco,grupo_cv,analysis_id,analysis_label,scope,y_true,y_pred,prob_irrigado,predicao_label,acertou
CD202,IRR,2017-02-23,dia2,1,B1,CD202_IRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,0,0.042228601796323116,NIRR,False
CD202,IRR,2017-02-23,dia2,2,B2,CD202_IRR_B2,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,0,0.29437921311475745,NIRR,False
CD202,IRR,2017-02-23,dia2,3,B3,CD202_IRR_B3,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,0,0.197844821062048,NIRR,False
CD202,IRR,2017-02-23,dia2,4,B4,CD202_IRR_B4,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.8292883470535262,IRR,True
CD202,NIRR,2017-02-23,dia2,1,B1,CD202_NIRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.016379825021252088,NIRR,True
CD202,NIRR,2017-02-23,dia2,2,B2,CD202_NIRR_B2,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.06833553626395138,NIRR,True
CD202,NIRR,2017-02-23,dia2,3,B3,CD202_NIRR_B3,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,5.402503951629938e-05,NIRR,True
CD202,NIRR,2017-02-23,dia2,4,B4,CD202_NIRR_B4,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.0018217906527585469,NIRR,True
CD202,IRR,2017-02-24,dia3,1,B1,CD202_IRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,0,0.13575247631361662,NIRR,False
CD202,IRR,2017-02-24,dia3,2,B2,CD202_IRR_B2,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.958741320737855,IRR,True
CD202,IRR,2017-02-24,dia3,3,B3,CD202_IRR_B3,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.7863898373285938,IRR,True
CD202,IRR,2017-02-24,dia3,4,B4,CD202_IRR_B4,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9997527530846831,IRR,True
CD202,NIRR,2017-02-24,dia3,1,B1,CD202_NIRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.07582023203060026,NIRR,True
CD202,NIRR,2017-02-24,dia3,2,B2,CD202_NIRR_B2,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.004455698405105218,NIRR,True
CD202,NIRR,2017-02-24,dia3,3,B3,CD202_NIRR_B3,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,9.074371728793238e-06,NIRR,True
CD202,NIRR,2017-02-24,dia3,4,B4,CD202_NIRR_B4,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.008686436484310698,NIRR,True
CD202,IRR,2017-02-25,dia4,1,B1,CD202_IRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9998748592193855,IRR,True
CD202,IRR,2017-02-25,dia4,2,B2,CD202_IRR_B2,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.910449592414664,IRR,True
CD202,IRR,2017-02-25,dia4,3,B3,CD202_IRR_B3,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9999584726961505,IRR,True
CD202,IRR,2017-02-25,dia4,4,B4,CD202_IRR_B4,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9999704995231655,IRR,True
CD202,NIRR,2017-02-25,dia4,1,B1,CD202_NIRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.22781126832376786,NIRR,True
CD202,NIRR,2017-02-25,dia4,2,B2,CD202_NIRR_B2,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.37519289236995357,NIRR,True
CD202,NIRR,2017-02-25,dia4,3,B3,CD202_NIRR_B3,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.0031942255417069594,NIRR,True
CD202,NIRR,2017-02-25,dia4,4,B4,CD202_NIRR_B4,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.03965294240608536,NIRR,True
CD202,IRR,2017-02-26,dia5,1,B1,CD202_IRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9953507996848049,IRR,True
CD202,IRR,2017-02-26,dia5,2,B2,CD202_IRR_B2,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9978766466239,IRR,True
CD202,IRR,2017-02-26,dia5,3,B3,CD202_IRR_B3,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9997807847532477,IRR,True
CD202,IRR,2017-02-26,dia5,4,B4,CD202_IRR_B4,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9999888551677463,IRR,True
CD202,NIRR,2017-02-26,dia5,1,B1,CD202_NIRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.009177396543426657,NIRR,True
CD202,NIRR,2017-02-26,dia5,2,B2,CD202_NIRR_B2,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.0009618954293837067,NIRR,True
CD202,NIRR,2017-02-26,dia5,3,B3,CD202_NIRR_B3,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.0001040894520516287,NIRR,True
CD202,NIRR,2017-02-26,dia5,4,B4,CD202_NIRR_B4,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.0004224863940111307,NIRR,True
CD202,IRR,2017-02-27,dia6,1,B1,CD202_IRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9999967957180521,IRR,True
CD202,IRR,2017-02-27,dia6,2,B2,CD202_IRR_B2,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9998271198995068,IRR,True
CD202,IRR,2017-02-27,dia6,3,B3,CD202_IRR_B3,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9981938935863295,IRR,True
CD202,IRR,2017-02-27,dia6,4,B4,CD202_IRR_B4,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9999375475734911,IRR,True
CD202,NIRR,2017-02-27,dia6,1,B1,CD202_NIRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.003979920425938067,NIRR,True
CD202,NIRR,2017-02-27,dia6,2,B2,CD202_NIRR_B2,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.0021068195893150423,NIRR,True
CD202,NIRR,2017-02-27,dia6,3,B3,CD202_NIRR_B3,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,5.7142897054156254e-05,NIRR,True
CD202,NIRR,2017-02-27,dia6,4,B4,CD202_NIRR_B4,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,0,0,0.0008058146746445845,NIRR,True
CD202,IRR,2017-03-02,dia9,1,B1,CD202_IRR_B1,genotipo_CD202,Classificacao binaria IRR vs NIRR - CD202,por_genotipo,1,1,0.9999956444161894,IRR,True
